#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1941;1941 - Counter Attack;Final Burn Alpha;;1990;Capcom;Shooter;;;;;0;;;;;
1942b;1942;Final Burn Alpha;1942;1984;Capcom;Shooter;;;;;0;;;;;
1943kai;1943 Kai: Midway Kaisen;Final Burn Alpha;;1987;Capcom;Shooter;;;;;0;;;;;
1943;1943: The Battle of Midway;Final Burn Alpha;;1987;Capcom;Shooter;;;;;0;;;;;
1944;1944: The Loop Master;Final Burn Alpha;;2000;Capcom, supported by Eighting/Raizing;Shooter;;;;;0;;;;;
1945kiii;1945k III;Final Burn Alpha;;2000;Oriental;Shooter;;;;;0;;;;;
19xx;19XX: The War Against Destiny;Final Burn Alpha;;1996;Capcom;Shooter;;;;;0;;;;;
4dwarrio;4-D Warriors;MAME (Advance);;1985;Coreland / Sega;Shooter;;;;;0;;;;;
aso;ASO - Armored Scrum Object;MAME (Advance);;1985;SNK;Shooter;;;;;0;;;;;
aerofgt;Aero Fighters;Final Burn Alpha;;1992;Video System Co.;Shooter;;;;;0;;;;;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;Final Burn Alpha;;1994;Video System Co.;Shooter;;;;;0;;;;;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;Final Burn Alpha;;1995;Video System Co.;Shooter;;;;;0;;;;;
aerofgts;Aero Fighters Special;Final Burn Alpha;;1996;Video System;Shooter;;;;;0;;;;;
aeroboto;Aeroboto;MAME (Advance);formatz;1984;[Jaleco] (Williams license);Shooter;;;;;0;;;;;
aburner;After Burner;Final Burn Alpha;aburner2;1987;Sega;Shooter;;;;;0;;;;;
aburner2;After Burner II;Final Burn Alpha;;1987;Sega;Shooter;;;;;0;;;;;
airattck;Air Attack;Final Burn Alpha;;1996;Comad;Shooter;;;;;0;;;;;
airbustr;Air Buster: Trouble Specialty Raid Unit;Final Burn Alpha;;1990;Kaneko (Namco license);Shooter;;;;;0;;;;;
airduel;Air Duel;MAME (Advance);;1990;Irem;Shooter;;;;;0;;;;;
agalletu;Air Gallet;Final Burn Alpha;;1996;Banpresto / Gazelle;Shooter;;;;;0;;;;;
airwolf;Airwolf;Final Burn Alpha;;1987;Kyugo (UA Theatre license);Shooter;;;;;0;;;;;
ajax;Ajax;Final Burn Alpha;;1987;Konami;Shooter;;;;;0;;;;;
alcon;Alcon;MAME (Advance);slapfigh;1986;Taito America Corp.;Shooter;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian;Final Burn Alpha;;1991;SNK;Shooter;;;;;0;;;;;
androdun;Andro Dunos;Final Burn Alpha;;1992;Visco;Shooter;;;;;0;;;;;
arbalest;Arbalester;Final Burn Alpha;;1989;Seta;Shooter;;;;;0;;;;;
argus;Argus;MAME (Advance);;1986;[NMK] (Jaleco license);Shooter;;;;;0;;;;;
armedf;Armed Formation;Final Burn Alpha;;1988;Nichibutsu;Shooter;;;;;0;;;;;
batrider;Armed Police Batrider;Final Burn Alpha;;1998;Raizing / Eighting;Shooter;;;;;0;;;;;
ashura;Ashura Blaster;Final Burn Alpha;;1990;Taito Corporation Japan;Shooter;;;;;0;;;;;
asuka;Asuka;Final Burn Alpha;;1988;Taito Corporation;Shooter;;;;;0;;;;;
bwings;B-Wings;MAME (Advance);;1984;Data East Corporation;Shooter;;;;;0;;;;;
batsugun;Batsugun;Final Burn Alpha;;1993;Toaplan;Shooter;;;;;0;;;;;
bbakraid;Battle Bakraid - Unlimited Version;Final Burn Alpha;;1999;Eighting;Shooter;;;;;0;;;;;
bgaregga;Battle Garegga;Final Burn Alpha;;1996;Raizing / Eighting;Shooter;;;;;0;;;;;
ddp2;Bee Storm - DoDonPachi II;Final Burn Alpha;;2001;IGS;Shooter;;;;;0;;;;;
blswhstl;Bells and Whistles;Final Burn Alpha;;1991;Konami;Shooter;;;;;0;;;;;
bermudat;Bermuda Triangle;MAME (Advance);;1987;SNK;Shooter;;;;;0;;;;;
bioatack;Bio Attack;MAME (Advance);;1983;Taito Corporation (Fox Video Games license);Shooter;;;;;0;;;;;
mp_bio;Bio-hazard Battle;MAME (Advance);;1993;Sega;Shooter;;;;;0;;;;;
bioship;Bio-ship Paladin;MAME (Advance);;1990;UPL (American Sammy license);Shooter;;;;;0;;;;;
blkheart;Black Heart;MAME (Advance);;1991;UPL;Shooter;;;;;0;;;;;
blastoff;Blast Off;MAME (Advance);;1989;Namco;Shooter;;;;;0;;;;;
blazeon;Blaze On;Final Burn Alpha;;1992;Atlus;Shooter;;;;;0;;;;;
blazstar;Blazing Star;Final Burn Alpha;;1998;Yumekobo;Shooter;;;;;0;;;;;
bluehawk;Blue Hawk;Final Burn Alpha;;1993;Dooyong;Shooter;;;;;0;;;;;
brain;Brain;Final Burn Alpha;;1986;Coreland / Sega;Shooter;;;;;0;;;;;
brvblade;Brave Blade;MAME (Advance);;2000;Eighting/Raizing;Shooter;;;;;0;;;;;
ctomaday;Captain Tomaday;Final Burn Alpha;;1999;Visco;Shooter;;;;;0;;;;;
chimerab;Chimera Beast;Final Burn Alpha;;1993;Jaleco;Shooter;;;;;0;;;;;
choplift;Choplifter;Final Burn Alpha;;1985;Sega;Shooter;;;;;0;;;;;
chopper;Chopper I;MAME (Advance);;1988;SNK;Shooter;;;;;0;;;;;
legion;Chouji Meikyuu Legion;Final Burn Alpha;;1987;Nichibutsu;Shooter;;;;;0;;;;;
chukatai;Chuka Taisen;Final Burn Alpha;;1988;Taito Corporation Japan;Shooter;;;;;0;;;;;
cobracom;Cobra-Command;Final Burn Alpha;;1988;Data East Corporation;Shooter;;;;;0;;;;;
cavenger;Cosmic Avenger;Final Burn Alpha;;1981;Universal;Shooter;;;;;0;;;;;
cosmccop;Cosmic Cop;Final Burn Alpha;;1991;Irem;Shooter;;;;;0;;;;;
cosmogng;Cosmo Gang the Video;MAME (Advance);;1991;Namco;Shooter;;;;;0;;;;;
cotton2;Cotton 2;MAME (Advance);;1997;Success;Shooter;;;;;0;;;;;
cottonbm;Cotton Boomerang;MAME (Advance);;1998;Success;Shooter;;;;;0;;;;;
cybattlr;Cybattler;Final Burn Alpha;;1993;Jaleco;Shooter;;;;;0;;;;;
