#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020bb;Super Baseball 2020;Arcade;;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;MAME (Advance);;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;MAME (Libretro);;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;MAME (Mame4all);;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;MAME;;1991;Pallas;Sports/Baseball;;;;;0;;;;;
3countb;3 Count Bout;Arcade;;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;MAME (Advance);;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;MAME (Libretro);;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;MAME (Mame4all);;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;MAME;;1993;SNK;Sports/Wrestling;;;;;0;;;;;
alpham2;Alpha Mission II;Arcade;;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;MAME (Advance);;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;MAME (Libretro);;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;MAME (Mame4all);;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;MAME;;1991;SNK;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;Arcade;;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;MAME (Advance);;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;MAME (Libretro);;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;MAME (Mame4all);;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;MAME;;1992;Visco;Action/Shooter;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;Arcade;;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;MAME (Advance);;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;MAME (Libretro);;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;MAME (Mame4all);;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;MAME;;1994;ADK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;Arcade;;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;MAME (Advance);;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;MAME (Libretro);;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;MAME (Mame4all);;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;MAME;;1994;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;Arcade;;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;MAME (Advance);;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;MAME (Libretro);;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;MAME (Mame4all);;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;MAME;;1996;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;Arcade;;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;MAME (Advance);;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;MAME (Libretro);;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;MAME (Mame4all);;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;MAME;;1992;SNK;Action/Fighting;;;;;0;;;;;
bangbead;Bang Bead;Arcade;;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;MAME (Advance);;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;MAME (Libretro);;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;MAME (Mame4all);;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;MAME;;2000;Visco;Sports/Other;;;;;0;;;;;
bjourney;Blue's Journey;Arcade;;1990;ADK;Action/General;;;;;0;;;;;
bjourney;Blue's Journey;MAME (Advance);;1990;ADK;Action/General;;;;;0;;;;;
bjourney;Blue's Journey;MAME (Libretro);;1990;ADK;Action/General;;;;;0;;;;;
