#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
seq1;16 Step Simple Sequencer;HBMame;;2003;Scott Lawrence;Multimedia;;;;;0;;;;;
1942;1942 (Revision B);HBMame;;1984;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1942c64;1942 with C64 music;HBMame;1942;2015;Minwah;Shoot-'Em-Up;;;;;0;;;;;
1942fpa;1942 with attract mode in free play;HBMame;1942;2015;cmonkey;Shoot-'Em-Up;;;;;0;;;;;
1943;1943: The Battle of Midway (Euro);HBMame;;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943h;1943: The Battle of Midway (US, Rev C) (hacked);HBMame;1943;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1944da;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg alt);HBMame;1944;2000;Razoola;Shoot-'Em-Up;;;;;0;;;;;
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);HBMame;1944;2000;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1944;1944: The Loop Master (USA 000620);HBMame;;2000;Eighting / Raizing (Capcom license);Shoot-'Em-Up;;;;;0;;;;;
1944fp;1944: The Loop Master (USA 000620) Fire Power Ver;HBMame;1944;2000;Qxs8;Shoot-'Em-Up;;;;;0;;;;;
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);HBMame;19xx;1996;bootleg;Shoot-'Em-Up;;;;;0;;;;;
19xx;19XX: The War Against Destiny (USA 951207);HBMame;;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
2020bbcd;2020 Super Baseball (CD conversion);HBMame;2020bb;1991;bootleg;Baseball;;;;;0;;;;;
2020bbd;2020 Super Baseball (MGD2);HBMame;2020bb;1991;SNK / Pallas;Baseball;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);HBMame;;1991;SNK / Pallas;Baseball;;;;;0;;;;;
pacman25;25 MAP PAC [c];HBMame;puckman;2004;Scott Lawrence;Maze;;;;;0;;;;;
3countbd;3 Count Bout (MGD2);HBMame;3countb;1993;SNK;Wrestling;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);HBMame;;1993;SNK;Wrestling;;;;;0;;;;;
711qbert;7-11 Q*bert;HBMame;qbert;1982;Hack;Platform;;;;;0;;;;;
96in1c;96 in 1 v1 [h];HBMame;madpac;2005;David Widel;Compilation;;;;;0;;;;;
96in1a;96 in 1 v2 [h];HBMame;madpac;2005;David Widel;Compilation;;;;;0;;;;;
96in1;96 in 1 v3 [h];HBMame;madpac;2005;David Widel;Compilation;;;;;0;;;;;
96in1b;96 in 1 v4 [h];HBMame;madpac;2005;David Widel;Compilation;;;;;0;;;;;
abortman;Abortman;HBMame;puckman;2001;Paul Copeland;Maze;;;;;0;;;;;
abscam;Abscam;HBMame;puckman;1981;GL (US Billiards License);Maze;;;;;0;;;;;
absurd;Absurd!/QuadBlok (non-working alpha ver 3);HBMame;;2006;Scott Lawrence;Compilation;;;;;0;;;;;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;HBMame;;1994;Video System Co.;Shoot-'Em-Up;;;;;0;;;;;
sonicwi2eh;Aero Fighters 2 / Sonic Wings 2 (Hack alternate set by Robert);HBMame;sonicwi2;1994;Robert;Shoot-'Em-Up;;;;;0;;;;;
sonicwi2px;Aero Fighters 2 / Sonic Wings 2 (Plus Max hack by Xyahzhs);HBMame;sonicwi2;1994;Xyahzhs;Shoot-'Em-Up;;;;;0;;;;;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;HBMame;;1995;Video System Co.;Shoot-'Em-Up;;;;;0;;;;;
sonicwi3h;Aero Fighters 3 / Sonic Wings 3 (ExChar hack by Wesker);HBMame;sonicwi3;1995;Wesker;Shoot-'Em-Up;;;;;0;;;;;
sonicwi3eh;Aero Fighters 3 / Sonic Wings 3 (Hack alternate set by Robert);HBMame;sonicwi3;1995;Robert;Shoot-'Em-Up;;;;;0;;;;;
sonicwi3px;Aero Fighters 3 / Sonic Wings 3 (Plus Max hack by Xyahzhs);HBMame;sonicwi3;1995;Xyahzhs;Shoot-'Em-Up;;;;;0;;;;;
airwolf;Airwolf;HBMame;;1987;Kyugo;Shoot-'Em-Up;;;;;0;;;;;
airwolffr;Airwolf (French);HBMame;airwolf;2007;Arkatrad;Shoot-'Em-Up;;;;;0;;;;;
aa;Alien Armada;HBMame;;2003;David Widel;Shoot-'Em-Up;;;;;0;;;;;
avspd;Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg);HBMame;avsp;1994;bootleg;Beat-'Em-Up;;;;;0;;;;;
avsp;Alien vs. Predator (Euro 940520);HBMame;;1994;Capcom;Beat-'Em-Up;;;;;0;;;;;
aliensv;Aliens;HBMame;tempest;1980;Atari;Shoot-'Em-Up;;;;;0;;;;;
aliensva;Aliens alt version;HBMame;tempest;1980;Atari;Shoot-'Em-Up;;;;;0;;;;;
alpham2d;Alpha Mission II (MGD2);HBMame;alpham2;1991;SNK;Shoot-'Em-Up;;;;;0;;;;;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);HBMame;;1991;SNK;Shoot-'Em-Up;;;;;0;;;;;
alpha1v;Alpha One (Vision Electronics);HBMame;;1988;Vision Electronics;Shoot-'Em-Up;;;;;0;;;;;
amidar;Amidar;HBMame;;1982;Konami;Maze;;;;;0;;;;;
amidarf;Amidar (French);HBMame;amidar;2007;Arkatrad;Maze;;;;;0;;;;;
amidargr;Amidar (Greek);HBMame;amidar;2004;GreekRoms;Maze;;;;;0;;;;;
androdund;Andro Dunos (MGD2);HBMame;androdun;1992;Visco;Shoot-'Em-Up;;;;;0;;;;;
androdun;Andro Dunos (NGM-049)(NGH-049);HBMame;;1992;Visco;Shoot-'Em-Up;;;;;0;;;;;
androdunpx;Andro Dunos (Plus Max hack by Xyahzhs);HBMame;androdun;1992;Xyahzhs;Shoot-'Em-Up;;;;;0;;;;;
andromd;Andromeda;HBMame;galnamco;1979;hack;Shoot-'Em-Up;;;;;0;;;;;
pc_ark;Arkanoid (PlayChoice-10);HBMame;;2002;NES->PC-10;Breakout;;;;;0;;;;;
arkanoid;Arkanoid (World, older);HBMame;;1986;Taito Corporation Japan;Breakout;;;;;0;;;;;
akgcdx;Arkanoid Deluxe (Game Corporation);HBMame;arkanoid;2000;[Hack];Breakout;;;;;0;;;;;
aktaytdx;Arkanoid Deluxe (Japan, Tayto);HBMame;arkanoid;2000;Hack;Breakout;;;;;0;;;;;
arkll32;Arkanoid LL32;HBMame;arkanoid;2000;Hack;Breakout;;;;;0;;;;;
armwar1d;Armored Warriors (Euro 941011 Phoenix Edition) (bootleg);HBMame;armwar;1994;bootleg;Beat-'Em-Up;;;;;0;;;;;
armwar;Armored Warriors (Euro 941024);HBMame;;1994;Capcom;Beat-'Em-Up;;;;;0;;;;;
aofbh;Art of Fighting (Boss hack by Yumeji);HBMame;aof;1992;Yumeji;Fighter;;;;;0;;;;;
aofd;Art of Fighting (MGD2);HBMame;aof;1992;SNK;Fighter;;;;;0;;;;;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);HBMame;;1992;SNK;Fighter;;;;;0;;;;;
aof2bh;Art of Fighting 2 (Boss hack by Yumeji);HBMame;aof2;1994;Yumeji;Fighter;;;;;0;;;;;
aof2b1;Art of Fighting 2 (Boss hack);HBMame;aof2;1994;hack;Fighter;;;;;0;;;;;
aof2b;Art of Fighting 2 (Geese instead of Mr. Big);HBMame;aof2;1994;TcwLee;Fighter;;;;;0;;;;;
aof2br2;Art of Fighting 2 (Geese instead of Ryo);HBMame;aof2;1994;TcwLee;Fighter;;;;;0;;;;;
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);HBMame;;1994;SNK;Fighter;;;;;0;;;;;
aof3b;Art of Fighting 3 (Boss hack by Dodowang);HBMame;aof3;1996;Dodowang;Fighter;;;;;0;;;;;
aof3bh;Art of Fighting 3 (Boss hack by Yumeji);HBMame;aof3;1996;Yumeji;Fighter;;;;;0;;;;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;HBMame;;1996;SNK;Fighter;;;;;0;;;;;
asteroid6;Asteroids (Six-Bullet Hack);HBMame;asteroid;1979;Clay Cowgill;Shoot-'Em-Up;;;;;0;;;;;
asteroid;Asteroids (rev 4);HBMame;;1979;Atari;Shoot-'Em-Up;;;;;0;;;;;
astdelux4;Asteroids Deluxe (Unknown Revision) [h];HBMame;asteroid;1980;Atari;Shoot-'Em-Up;;;;;0;;;;;
astrob2h;Astro Blaster (ver 2 Hack);HBMame;astrob;1981;Clay Cowgill;Shoot-'Em-Up;;;;;0;;;;;
astrob;Astro Blaster (version 3);HBMame;;1981;Sega;Shoot-'Em-Up;;;;;0;;;;;
astrofbl;Astro Fighter (Black Background);HBMame;astrof;1979;Hack;Shoot-'Em-Up;;;;;0;;;;;
astrof;Astro Fighter (set 1);HBMame;;1979;Data East;Shoot-'Em-Up;;;;;0;;;;;
astroped;Astropede;HBMame;centiped;2002;Twisty;Shoot-'Em-Up;;;;;0;;;;;
astropd2;Astropede II;HBMame;centiped;2002;Twisty;Shoot-'Em-Up;;;;;0;;;;;
asukac;Asuka & Asuka (Chinese);HBMame;asuka;1988;Taito Corporation;Shoot-'Em-Up;;;;;0;;;;;
asuka;Asuka & Asuka (World);HBMame;;1988;Taito Corporation;Shoot-'Em-Up;;;;;0;;;;;
athens04;Athens 2004;HBMame;trackfld;2004;Gameland.gr;Olympic;;;;;0;;;;;
baby2;Baby Pacman 2 (Alt);HBMame;puckman;2000;T-Bone;Maze;;;;;0;;;;;
baby3;Baby Pacman 3 (Alt);HBMame;puckman;2000;T-Bone;Maze;;;;;0;;;;;
baddudef;Bad Dudes vs. Dragonninja (French);HBMame;baddudes;2007;Arkatrad;Beat-'Em-Up;;;;;0;;;;;
baddudes;Bad Dudes vs. Dragonninja (US);HBMame;;1988;Data East USA;Beat-'Em-Up;;;;;0;;;;;
bagman;Bagman;HBMame;;1982;Valadon Automation;Maze;;;;;0;;;;;
bagturbo;Bagman Turbo (Stern set 1) [c];HBMame;bagman;1991;Tim Arcadecollecting;Maze;;;;;0;;;;;
bakatonod;Bakatonosama Mahjong Manyuki (MGD2);HBMame;bakatono;1991;Monolith Corp.;Mature;;;;;0;;;;;
bakatono;Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002);HBMame;;1991;Monolith Corp.;Mature;;;;;0;;;;;
ballonwc;Ballon World Cup;HBMame;tehkanwc;1985;Grand Master Peter;Sports;;;;;0;;;;;
bace;Balloon Ace;HBMame;;2003;David Widel;Flying;;;;;0;;;;;
b2b;Bang Bang Busters (2010 NCI release);HBMame;;2000;Visco;Platform;;;;;0;;;;;
bangbead;Bang Bead;HBMame;;2000;Visco;Sports;;;;;0;;;;;
bangbeadp;Bang Bead (prototype);HBMame;bangbead;2000;Visco;Sports;;;;;0;;;;;
bstarsd;Baseball Stars Professional (MGD2);HBMame;bstars;1990;SNK;Baseball;;;;;0;;;;;
bstars;Baseball Stars Professional (NGM-002);HBMame;;1990;SNK;Baseball;;;;;0;;;;;
batsugun;Batsugun;HBMame;;1993;Toaplan;Shoot-'Em-Up;;;;;0;;;;;
batsugunt;Batsugun Transparent (HACK BY EEZEZY(LB70));HBMame;batsugun;1993;Eezezy;Shoot-'Em-Up;;;;;0;;;;;
batcird;Battle Circuit (Euro 970319 Phoenix Edition) (bootleg);HBMame;batcir;1997;bootleg;Beat-'Em-Up;;;;;0;;;;;
