#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3D Game Collection - 55 in 1 (Europe);3D Game Collection: 55 in 1 (Europe);Nintendo 3DS;;2012;Mastertronic;Board Games;;;;;0;;;;;
3D Mahjongg (Europe);3D Mahjongg (Europe);Nintendo 3DS;;2012;Purple Hills;Mahjong;;;;;0;;;;;
4 Elements (Europe);4 Elements (Europe);Nintendo 3DS;;2012;Licensed 4U;Puzzle;;;;;0;;;;;
50 Classic Games 3D (USA);50 Classic Games 3D (USA);Nintendo 3DS;;2012;Maximum Family Games;Casino;;;;;0;;;;;
7th Dragon III Code - VFD (USA);7th Dragon III Code: VFD (USA);Nintendo 3DS;;2016;Sega;Role-Playing;;;;;0;;;;;
Ace Combat - Assault Horizon Legacy+ (USA);Ace Combat: Assault Horizon Legacy+ (USA);Nintendo 3DS;;2015;Bandai Namco Games;Flying;;;;;0;;;;;
Adventure Time - Explore the Dungeon Because I DON'T KNOW! (USA);Adventure Time: Explore the Dungeon Because I DON'T KNOW! (USA);Nintendo 3DS;;2013;D3Publisher;Adventure;;;;;0;;;;;
Adventure Time - Finn & Jake Investigations (USA);Adventure Time: Finn & Jake Investigations (USA);Nintendo 3DS;;2015;Little Orbit;Adventure;;;;;0;;;;;
Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA);Adventure Time: Hey Ice King! Why'd You Steal Our Garbage!! (USA);Nintendo 3DS;;2012;D3Publisher;Adventure;;;;;0;;;;;
Adventure Time - The Secret of the Nameless Kingdom (USA);Adventure Time: The Secret of the Nameless Kingdom (USA);Nintendo 3DS;;2014;Little Orbit;Adventure;;;;;0;;;;;
Adventures of Tintin, The - The Game (USA);Adventures of Tintin, The: The Game (USA);Nintendo 3DS;;2011;Ubisoft;Adventure;;;;;0;;;;;
Alien Chaos 3D (USA);Alien Chaos 3D (USA);Nintendo 3DS;;2012;Giant Media Group;Action;;;;;0;;;;;
Amazing Spider-Man 2, The (USA);Amazing Spider-Man 2, The (USA);Nintendo 3DS;;2014;Activision;Adventure;;;;;0;;;;;
Amazing Spider-Man, The (USA);Amazing Spider-Man, The (USA);Nintendo 3DS;;2012;Activision;Adventure;;;;;0;;;;;
American Mensa Academy (USA);American Mensa Academy (USA);Nintendo 3DS;;2012;Square Enix;Puzzle;;;;;0;;;;;
Angler's Club - Ultimate Bass Fishing 3D (Europe);Angler's Club: Ultimate Bass Fishing 3D (Europe);Nintendo 3DS;;2011;D3Publisher;Sports/Fishing;;;;;0;;;;;
Angry Birds Star Wars (USA);Angry Birds Star Wars (USA);Nintendo 3DS;;2013;Activision;Puzzle;;;;;0;;;;;
Angry Birds Trilogy (USA);Angry Birds Trilogy (USA);Nintendo 3DS;;2012;Activision;Compilation;;;;;0;;;;;
Animal Crossing - Happy Home Designer (USA);Animal Crossing: Happy Home Designer (USA);Nintendo 3DS;;2015;Nintendo;Simulation;;;;;0;;;;;
Animal Crossing - New Leaf - Welcome amiibo (USA);Animal Crossing: New Leaf - Welcome amiibo (USA);Nintendo 3DS;;2013;Nintendo;Virtual Life;;;;;0;;;;;
Animal Hospital (Europe);Animal Hospital (Europe);Nintendo 3DS;;2013;Bigben Interactive;Virtual Life;;;;;0;;;;;
Arcade Classics 3D (Europe);Arcade Classics 3D (Europe);Nintendo 3DS;;2012;Enjoy Gaming;Miscellaneous;;;;;0;;;;;
Are You Smarter than a 5th Grader (USA);Are You Smarter than a 5th Grader (USA);Nintendo 3DS;;2015;GameMill Entertainment;Game Show;;;;;0;;;;;
Art Academy - Lessons for Everyone (USA);Art Academy: Lessons for Everyone (USA);Nintendo 3DS;;2012;Nintendo;Educational;;;;;0;;;;;
Asphalt 3D (USA);Asphalt 3D (USA);Nintendo 3DS;;2011;Ubisoft;Driving;;;;;0;;;;;
Asterix - The Mansions of the Gods (Europe);Asterix: The Mansions of the Gods (Europe);Nintendo 3DS;;2014;Bigben Interactive;Adventure;;;;;0;;;;;
Atlantic Quest (Europe);Atlantic Quest (Europe);Nintendo 3DS;;2014;Joindots;Puzzle;;;;;0;;;;;
Azada (Europe);Azada (Europe);Nintendo 3DS;;2012;MSL;Puzzle;;;;;0;;;;;
Azure Striker Gunvolt - Striker Pack (USA);Azure Striker Gunvolt: Striker Pack (USA);Nintendo 3DS;;2016;Yacht Club Games;Compilation;;;;;0;;;;;
Barbie Dreamhouse Party (USA);Barbie Dreamhouse Party (USA);Nintendo 3DS;;2013;Little Orbit;Adventure;;;;;0;;;;;
Barbie and Her Sisters - Puppy Rescue (USA);Barbie and Her Sisters: Puppy Rescue (USA);Nintendo 3DS;;2015;Little Orbit;Simulation;;;;;0;;;;;
Batman - Arkham Origins Blackgate (USA);Batman: Arkham Origins Blackgate (USA);Nintendo 3DS;;2013;Warner Bros. Interactive Entertainment;Adventure;;;;;0;;;;;
Battleship (USA);Battleship (USA);Nintendo 3DS;;2012;Activision;Shooter;;;;;0;;;;;
Bella Sara 2 (Europe);Bella Sara 2 (Europe);Nintendo 3DS;;2013;Bigben Interactive;Virtual Life;;;;;0;;;;;
Bella Sara - The Magical Horse Adventures (Europe);Bella Sara: The Magical Horse Adventures (Europe);Nintendo 3DS;;2012;Bigben Interactive;Virtual Life;;;;;0;;;;;
Ben 10 - Galactic Racing (USA);Ben 10: Galactic Racing (USA);Nintendo 3DS;;2011;D3Publisher;Driving;;;;;0;;;;;
Ben 10 - Omniverse (USA);Ben 10: Omniverse (USA);Nintendo 3DS;;2012;D3Publisher;Action;;;;;0;;;;;
Ben 10 - Omniverse 2 (USA);Ben 10: Omniverse 2 (USA);Nintendo 3DS;;2013;D3Publisher;Action;;;;;0;;;;;
Best Friends - My Horse 3D (Europe);Best Friends: My Horse 3D (Europe);Nintendo 3DS;;2015;TREVA Entertainment;Simulation;;;;;0;;;;;
Best of Arcade Games (Europe);Best of Arcade Games (Europe);Nintendo 3DS;;2014;Bigben Interactive;Compilation;;;;;0;;;;;
Best of Board Games (Europe);Best of Board Games (Europe);Nintendo 3DS;;2014;Bigben Interactive;Compilation;;;;;0;;;;;
Best of Casual Games (Europe);Best of Casual Games (Europe);Nintendo 3DS;;2014;Bigben Interactive;Compilation;;;;;0;;;;;
Beyblade - Evolution (USA);Beyblade: Evolution (USA);Nintendo 3DS;;2013;Rising Star Games;Action;;;;;0;;;;;
Big Hero 6 - Battle in the Bay (USA);Big Hero 6: Battle in the Bay (USA);Nintendo 3DS;;2014;GameMill Entertainment;Platform;;;;;0;;;;;
Bit.Trip Saga (USA);Bit.Trip Saga (USA);Nintendo 3DS;;2011;Aksys Games;Compilation;;;;;0;;;;;
Blazblue - Continuum Shift II (USA);Blazblue: Continuum Shift II (USA);Nintendo 3DS;;2011;Aksys Games;Fighter;;;;;0;;;;;
Boulder Dash-XL 3D (USA);Boulder Dash-XL 3D (USA);Nintendo 3DS;;2012;Giant Media Group;Puzzle;;;;;0;;;;;
Bowling Bonanza 3D (Europe);Bowling Bonanza 3D (Europe);Nintendo 3DS;;2012;Mastertronic;Sports/Bowling;;;;;0;;;;;
Brain Age - Concentration Training (USA);Brain Age: Concentration Training (USA);Nintendo 3DS;;2013;Nintendo;Educational;;;;;0;;;;;
Brain Training 3D (Europe);Brain Training 3D (Europe);Nintendo 3DS;;2012;Funbox Media;Educational;;;;;0;;;;;
Bratz - Fashion Boutique (USA);Bratz: Fashion Boutique (USA);Nintendo 3DS;;2012;Activision;Miscellaneous;;;;;0;;;;;
Bravely Default (USA);Bravely Default (USA);Nintendo 3DS;;2014;Nintendo;Role-Playing;;;;;0;;;;;
Bravely Second - End Layer (USA);Bravely Second: End Layer (USA);Nintendo 3DS;;2016;Nintendo;Role-Playing;;;;;0;;;;;
Brunswick Pro Bowling (USA);Brunswick Pro Bowling (USA);Nintendo 3DS;;2011;Crave;Sports/Bowling;;;;;0;;;;;
Bust-A-Move Universe (USA);Bust-A-Move Universe (USA);Nintendo 3DS;;2011;Square Enix;Puzzle;;;;;0;;;;;
