#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
101-in-1 Explosive Megamix (USA);101-in-1 Explosive Megamix (USA);Nintendo WiiWare;;2011;Nordcurrent;Board Game;;;;;0;;;;;
2 Fast 4 Gnomz (USA);2 Fast 4 Gnomz (USA);Nintendo WiiWare;;2012;QubicGames;Action;;;;;0;;;;;
3 Degrees Celcius (Japan);3 Degrees Celcius (Japan);Nintendo WiiWare;;2009;Kemco;Other;;;;;0;;;;;
3-2-1, Rattle Battle! (USA);3-2-1, Rattle Battle! (USA);Nintendo WiiWare;;2009;Tecmo;Other;;;;;0;;;;;
3D Pixel Racing (USA);3D Pixel Racing (USA);Nintendo WiiWare;;2011;Microforum Ltd.;Racing;;;;;0;;;;;
5 Arcade Gems (USA);5 Arcade Gems (USA);Nintendo WiiWare;;2011;Nordcurrent;Racing;;;;;0;;;;;
5 Spots Party (USA);5 Spots Party (USA);Nintendo WiiWare;;2009;Cosmonaut Games;Puzzle;;;;;0;;;;;
5-in-1 Solitaire (USA);5-in-1 Solitaire (USA);Nintendo WiiWare;;2010;Digital Leisure;Board Game;;;;;0;;;;;
81diver Wii (Japan);81diver Wii (Japan);Nintendo WiiWare;;2009;Silver Star Japan;Other;;;;;0;;;;;
ANIMA - Ark of Sinners (USA);ANIMA - Ark of Sinners (USA);Nintendo WiiWare;;2011;Anima Game Studio;Action;;;;;0;;;;;
Adventure Island - The Beginning (USA);Adventure Island - The Beginning (USA);Nintendo WiiWare;;2009;Hudson Soft;Platformer;;;;;0;;;;;
Adventure on Lost Island - Hidden Object Game (USA);Adventure on Lost Island - Hidden Object Game (USA);Nintendo WiiWare;;2010;Ateam Inc.;Other;;;;;0;;;;;
Aero Guitar (Japan);Aero Guitar (Japan);Nintendo WiiWare;;2008;Yudo;Music;;;;;0;;;;;
Aha! I Found It! - Hidden Object Game (USA);Aha! I Found It! - Hidden Object Game (USA);Nintendo WiiWare;;2010;Ateam Inc.;Adventure;;;;;0;;;;;
Aha! I Got It! - Escape Game (USA);Aha! I Got It! - Escape Game (USA);Nintendo WiiWare;;2009;Ateam Inc.;Puzzle;;;;;0;;;;;
Airport Mania - First Flight (USA);Airport Mania - First Flight (USA);Nintendo WiiWare;;2010;Reflexive Entertainment, Lemon Games;Puzzle;;;;;0;;;;;
Alien Crush Returns (USA);Alien Crush Returns (USA);Nintendo WiiWare;;2008;Hudson Soft, Tamsoft;Action;;;;;0;;;;;
Amazing Brain Train, The! (USA);Amazing Brain Train, The! (USA);Nintendo WiiWare;;2010;Grubby Games;Education;;;;;0;;;;;
And Yet It Moves (USA);And Yet It Moves (USA);Nintendo WiiWare;;2010;Broken Rules;Puzzle;;;;;0;;;;;
Ant Nation (USA);Ant Nation (USA);Nintendo WiiWare;;2009;Konami;Simulation;;;;;0;;;;;
AquaSpace (USA);AquaSpace (USA);Nintendo WiiWare;;2010;Nintendo, Paon;Simulation;;;;;0;;;;;
Arcade Essentials (USA);Arcade Essentials (USA);Nintendo WiiWare;;2011;Nordcurrent;Arcade;;;;;0;;;;;
Arcade Sports (USA);Arcade Sports (USA);Nintendo WiiWare;;2010;Icon Games;Sports;;;;;0;;;;;
Arkanoid Plus! (USA);Arkanoid Plus! (USA);Nintendo WiiWare;;2009;Taito;Puzzle;;;;;0;;;;;
Around the World (USA);Around the World (USA);Nintendo WiiWare;;2010;Wizarbox;Education;;;;;0;;;;;
Art Style - CUBELLO (USA);Art Style - CUBELLO (USA);Nintendo WiiWare;;2008;Nintendo, skip Ltd.;Puzzle;;;;;0;;;;;
Art Style - ORBIENT (USA);Art Style - ORBIENT (USA);Nintendo WiiWare;;2008;Nintendo, skip Ltd.;Puzzle;;;;;0;;;;;
Art Style - ROTOHEX (USA);Art Style - ROTOHEX (USA);Nintendo WiiWare;;2008;Nintendo, skip Ltd.;Puzzle;;;;;0;;;;;
Art Style - ROTOZOA (USA);Art Style - ROTOZOA (USA);Nintendo WiiWare;;2010;Nintendo, skip Ltd.;Action;;;;;0;;;;;
Art Style - light trax (USA);Art Style - light trax (USA);Nintendo WiiWare;;2010;Nintendo, skip Ltd.;Racing;;;;;0;;;;;
Art of Balance (USA);Art of Balance (USA);Nintendo WiiWare;;2010;Shin'en Multimedia;Puzzle;;;;;0;;;;;
Astro Bugz Revenge (USA);Astro Bugz Revenge (USA);Nintendo WiiWare;;2010;Sudden Games;Action;;;;;0;;;;;
Aya and the Cubes of Light (USA);Aya and the Cubes of Light (USA);Nintendo WiiWare;;2011;Object Vision Software;Platformer;;;;;0;;;;;
Bakutan (Japan);Bakutan (Japan);Nintendo WiiWare;;2008;Alpha Unit;Other;;;;;0;;;;;
Balloon Pop Festival (USA);Balloon Pop Festival (USA);Nintendo WiiWare;;2010;UFO Interactive;Puzzle;;;;;0;;;;;
Bang Attack (USA);Bang Attack (USA);Nintendo WiiWare;;2010;Engine Software;Puzzle;;;;;0;;;;;
Battle Poker (USA);Battle Poker (USA);Nintendo WiiWare;;2009;Left Field Productions;Board Games;;;;;0;;;;;
Bejeweled 2 (USA);Bejeweled 2 (USA);Nintendo WiiWare;;2010;PopCap Games;Puzzle;;;;;0;;;;;
