#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
A Tale of Vengeance;A Tale of Vengeance;OpenBOR;;;;;;;;;;;;;;
Airgallet Fighters Winq;Airgallet Fighters Winq;OpenBOR;;;;;;;;;;;;;;
Aliens Clash;Aliens Clash;OpenBOR;;;;;;;;;;;;;;
Aliens Vs Predator Aftermath (Demo);Aliens Vs Predator Aftermath (Demo);OpenBOR;;;;;;;;;;;;;;
Angel 0;Angel 0;OpenBOR;;;;;;;;;;;;;;
Armored Warriors - Cyberbots (Demo);Armored Warriors - Cyberbots (Demo);OpenBOR;;;;;;;;;;;;;;
Art Of Figting - Trouble In South Town;Art Of Figting - Trouble In South Town;OpenBOR;;;;;;;;;;;;;;
Art of Fighting - Beats of Rage Remix III (SNK music);Art of Fighting - Beats of Rage Remix III (SNK music);OpenBOR;;;;;;;;;;;;;;
Art of Fighting - Beats of Rage Remix III (Trance Music);Art of Fighting - Beats of Rage Remix III (Trance Music);OpenBOR;;;;;;;;;;;;;;
Asterix and Caesars Challenge;Asterix and Caesars Challenge;OpenBOR;;;;;;;;;;;;;;
Avengers;Avengers;OpenBOR;;;;;;;;;;;;;;
Avengers - United Battle Force;Avengers - United Battle Force;OpenBOR;;;;;;;;;;;;;;
Bad Ass Babes Episode one;Bad Ass Babes Episode one;OpenBOR;;;;;;;;;;;;;;
Balance Of Power;Balance Of Power;OpenBOR;;;;;;;;;;;;;;
Bare Knuckle - Next Generation;Bare Knuckle - Next Generation;OpenBOR;;;;;;;;;;;;;;
Bare Knuckle III. Yesterday Once More;Bare Knuckle III. Yesterday Once More;OpenBOR;;;;;;;;;;;;;;
Bare Knuckle VI;Bare Knuckle VI;OpenBOR;;;;;;;;;;;;;;
Batman - Gotham Knight;Batman - Gotham Knight;OpenBOR;;;;;;;;;;;;;;
Battle Arena Toshinden Origin;Battle Arena Toshinden Origin;OpenBOR;;;;;;;;;;;;;;
Battle Toads;Battle Toads;OpenBOR;;;;;;;;;;;;;;
Battletoads & Double Dragon II - The Revenge;Battletoads & Double Dragon II - The Revenge;OpenBOR;;;;;;;;;;;;;;
Battletoads & Double Dragon III - The T.Bird Mission;Battletoads & Double Dragon III - The T.Bird Mission;OpenBOR;;;;;;;;;;;;;;
Battletoads & Double Dragon IV - The Return of the Dark Forces;Battletoads & Double Dragon IV - The Return of the Dark Forces;OpenBOR;;;;;;;;;;;;;;
Beats Of Rage Xtra;Beats Of Rage Xtra;OpenBOR;;;;;;;;;;;;;;
Beats of Fighting;Beats of Fighting;OpenBOR;;;;;;;;;;;;;;
Beats of Rage;Beats of Rage;OpenBOR;;;;;;;;;;;;;;
Beats of Rage Remix - Rhythm of Destruction;Beats of Rage Remix - Rhythm of Destruction;OpenBOR;;;;;;;;;;;;;;
Bleach;Bleach;OpenBOR;;;;;;;;;;;;;;
Burn Kingdom;Burn Kingdom;OpenBOR;;;;;;;;;;;;;;
Captain Commando and the Avengers;Captain Commando and the Avengers;OpenBOR;;;;;;;;;;;;;;
Castlevania - LCD Chronicles;Castlevania - LCD Chronicles;OpenBOR;;;;;;;;;;;;;;
Castlevania - Moonlit Nocturne (Demo);Castlevania - Moonlit Nocturne (Demo);OpenBOR;;;;;;;;;;;;;;
Castlevania - Pulse of Animosity (Demo);Castlevania - Pulse of Animosity (Demo);OpenBOR;;;;;;;;;;;;;;
Castlevania - Vampire Hunters;Castlevania - Vampire Hunters;OpenBOR;;;;;;;;;;;;;;
Castlevania Legacy of Dracula;Castlevania Legacy of Dracula;OpenBOR;;;;;;;;;;;;;;
Chaotix Rage;Chaotix Rage;OpenBOR;;;;;;;;;;;;;;
Chaves Streets;Chaves Streets;OpenBOR;;;;;;;;;;;;;;
Chrono Killer;Chrono Killer;OpenBOR;;;;;;;;;;;;;;
City Of Heroes;City Of Heroes;OpenBOR;;;;;;;;;;;;;;
ClaFan - Classic Fantasy (Demo);ClaFan - Classic Fantasy (Demo);OpenBOR;;;;;;;;;;;;;;
Code Name - Sailor V;Code Name - Sailor V;OpenBOR;;;;;;;;;;;;;;
Cosmic Damage;Cosmic Damage;OpenBOR;;;;;;;;;;;;;;
Crime Buster;Crime Buster;OpenBOR;;;;;;;;;;;;;;
Crisis Evil 1;Crisis Evil 1;OpenBOR;;;;;;;;;;;;;;
Crisis Evil 2;Crisis Evil 2;OpenBOR;;;;;;;;;;;;;;
Crisis Evil 3 - Santiago Infected;Crisis Evil 3 - Santiago Infected;OpenBOR;;;;;;;;;;;;;;
Dante Must Kill;Dante Must Kill;OpenBOR;;;;;;;;;;;;;;
DarkStalkers (Demo);DarkStalkers (Demo);OpenBOR;;;;;;;;;;;;;;
Demon's Hand;Demon's Hand;OpenBOR;;;;;;;;;;;;;;
Denjin Makai ZERO;Denjin Makai ZERO;OpenBOR;;;;;;;;;;;;;;
Dojo Crashers;Dojo Crashers;OpenBOR;;;;;;;;;;;;;;
Doom Ultra Violence;Doom Ultra Violence;OpenBOR;;;;;;;;;;;;;;
Double Dragon - Renegade;Double Dragon - Renegade;OpenBOR;;;;;;;;;;;;;;
Double Dragon - Unleashed;Double Dragon - Unleashed;OpenBOR;;;;;;;;;;;;;;
