#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
18wheelr;18 Wheeler (Deluxe) (Rev. A);Sega Naomi;;2000;Sega;Driving;;;;;0;;;;;
18wheels;18 Wheeler (Standart);Sega Naomi;18wheelr;2000;Sega;Driving;;;;;0;;;;;
18wheelu;18 Wheeler (Upright);Sega Naomi;18wheelr;2000;Sega;Driving;;;;;0;;;;;
alpilota;Airline Pilots (Rev. A);Sega Naomi;alpiltdx;1999;Sega;Flying;;;;;0;;;;;
alpiltdx;Airline Pilots Deluxe (Rev. B);Sega Naomi;;1999;Sega;Flying;;;;;0;;;;;
ausfache;Akatsuki Blitzkampf Ausf. Achse;Sega Naomi;;2008;Subtle Style;Fighter;;;;;0;;;;;
alienfnta;Alien Front (Rev. A);Sega Naomi;alienfnt;2001;Sega;Shooter;;;;;0;;;;;
alienfnt;Alien Front (Rev. T);Sega Naomi;;2001;Sega;Shooter;;;;;0;;;;;
asndynmt;Asian Dynamite / Dynamite Deka EX;Sega Naomi;;2006;Sega;Beat-'Em-Up;;;;;0;;;;;
azumanga;Azumanga Daioh Puzzle Bobble (GDL-0018);Sega Naomi;;2002;Moss;Puzzle;;;;;0;;;;;
beachspi;Beach Spikers (GDS-0014);Sega Naomi;;2002;Sega;Sports/Volleyball;;;;;0;;;;;
bdrdown;Border Down (Rev. A) (GDL-0023A);Sega Naomi;;2004;G-Rev;Shooter;;;;;0;;;;;
brickppl;Brick People / Block PeePoo (Ver 1.002);Sega Naomi;;2009;Sega;Puzzle;;;;;0;;;;;
cspike;Cannon Spike / Gun Spike;Sega Naomi;;2000;Psikyo / Capcom;Beat-'Em-Up;;;;;0;;;;;
capsnkb;Capcom Vs. SNK Millennium Fight 2000;Sega Naomi;capsnk;2000;Capcom / SNK;Fighter;;;;;0;;;;;
capsnka;Capcom Vs. SNK Millennium Fight 2000 (Rev. A);Sega Naomi;capsnk;2000;Capcom / SNK;Fighter;;;;;0;;;;;
capsnk;Capcom Vs. SNK Millennium Fight 2000 (Rev. C);Sega Naomi;;2000;Capcom / SNK;Fighter;;;;;0;;;;;
cvs2gd;Capcom vs SNK 2 Millionaire Fighting 2001 (Rev. A) (GDL-0007A);Sega Naomi;;2001;Capcom / SNK;Fighter;;;;;0;;;;;
cvsgd;Capcom vs SNK Millenium Fight 2000 Pro (GDL-0004);Sega Naomi;;2001;Capcom / SNK;Fighter;;;;;0;;;;;
cfield;Chaos Field (GDL-0025);Sega Naomi;;2004;Able;Shooter;;;;;0;;;;;
cleoftp;Cleopatra Fortune Plus (GDL-0012);Sega Naomi;;2002;Altron;Puzzle;;;;;0;;;;;
clubkprz;Club Kart Prize;Sega Naomi;;2003;Sega;Driving;;;;;0;;;;;
clubkcyc;Club Kart for Cycraft (Rev. A) (GDS-0029A);Sega Naomi;;2003;Sega;Driving;;;;;0;;;;;
clubkrto;Club Kart: European Session (2001);Sega Naomi;clubkrt;2001;Sega;Driving;;;;;0;;;;;
clubkrtc;Club Kart: European Session (2001) (Rev. C);Sega Naomi;clubkrt;2001;Sega;Driving;;;;;0;;;;;
clubkrt;Club Kart: European Session (2001) (Rev. D);Sega Naomi;;2001;Sega;Driving;;;;;0;;;;;
clubk2kp;Club Kart: European Session (2003) (Prototype);Sega Naomi;clubk2k3;2003;Sega;Driving;;;;;0;;;;;
clubk2k3;Club Kart: European Session (2003) (Rev. A);Sega Naomi;;2003;Sega;Driving;;;;;0;;;;;
confmiss;Confidential Mission (GDS-0001);Sega Naomi;;2000;Sega;Gun;;;;;0;;;;;
csmasho;Cosmic Smash;Sega Naomi;csmash;2001;Sega;Sports/Tennis;;;;;0;;;;;
csmash;Cosmic Smash (Rev. A);Sega Naomi;;2001;Sega;Sports/Tennis;;;;;0;;;;;
crackndj;Crackin' DJ;Sega Naomi;;2000;Sega;Rhythm;;;;;0;;;;;
crakndj2;Crackin' DJ Part 2;Sega Naomi;;2001;Sega / Hitmaker;Rhythm;;;;;0;;;;;
crzytaxi;Crazy Taxi;Sega Naomi;;1999;Sega;Driving;;;;;0;;;;;
doa2;Dead or Alive 2 (Rev. A);Sega Naomi;;1999;Tecmo;Fighter;;;;;0;;;;;
doa2m;Dead or Alive 2 Millennium;Sega Naomi;doa2;2000;Tecmo;Fighter;;;;;0;;;;;
deathcox;Death Crimson OX;Sega Naomi;;2000;Ecole;Gun;;;;;0;;;;;
shangril;Dengen Tenshi Taisen Janshi Shangri-la;Sega Naomi;;1999;Marvelous Ent.;Mahjong;;;;;0;;;;;
derbyocm;Derby Owners Club (Main) (Rev. B);Sega Naomi;derbyoc;1999;Sega;Sports/Horse Racing;;;;;0;;;;;
derbyo2km;Derby Owners Club 2000 Ver.2 (Main) (Rev. A);Sega Naomi;derbyo2k;2000;Sega / Hitmaker;Sports/Horse Racing;;;;;0;;;;;
derbyoc2m;Derby Owners Club II Ver.2.1 (Main) (Rev. B);Sega Naomi;derbyoc2;2001;Sega / Hitmaker;Sports/Horse Racing;;;;;0;;;;;
derbyoc2;Derby Owners Club II Ver.2.1 (Rev. B);Sega Naomi;;2001;Sega / Hitmaker;Sports/Horse Racing;;;;;0;;;;;
drbyocwc;Derby Owners Club World Edition (Rev. C);Sega Naomi;derbyocw;2001;Sega / Hitmaker;Sports/Horse Racing;;;;;0;;;;;
derbyocwm;Derby Owners Club World Edition EX (Main) (Rev. D);Sega Naomi;derbyocw;2005;Sega;Sports/Horse Racing;;;;;0;;;;;
dinoking;Dinosaur King (USA);Sega Naomi;;2005;Sega;Fighter;;;;;0;;;;;
dinoki25;Dinosaur King: D-Team VS. the Alpha Fortress (Export) (Ver 2.500) (MDA-C0047);Sega Naomi;;2008;Sega;Fighter;;;;;0;;;;;
dinokior;Dinosaur King: Operation: Dinosaur Rescue (USA, Export);Sega Naomi;;2006;Sega;Fighter;;;;;0;;;;;
starseek;Doki Doki Idol Star Seeker (GDL-0005);Sega Naomi;;2001;G-Rev;Puzzle;;;;;0;;;;;
dybb99;Dynamite Baseball '99 / World Series 99 (Rev. B);Sega Naomi;;1999;Sega;Sports/Baseball;;;;;0;;;;;
dybbnao;Dynamite Baseball Naomi;Sega Naomi;;1998;Sega;Sports/Baseball;;;;;0;;;;;
f355;Ferrari F355 Challenge;Sega Naomi;;1999;Sega;Driving;;;;;0;;;;;
f355twin;Ferrari F355 Challenge (Twin);Sega Naomi;;1999;Sega;Driving;;;;;0;;;;;
f355twn2;Ferrari F355 Challenge 2 (Twin);Sega Naomi;;2001;Sega;Driving;;;;;0;;;;;
f355twn2d;Ferrari F355 Challenge 2 Deluxe;Sega Naomi;f355twn2;2001;Sega;Driving;;;;;0;;;;;
f355twind;Ferrari F355 Challenge Deluxe (Twin);Sega Naomi;f355twin;1999;Sega;Driving;;;;;0;;;;;
gram2000;Giant Gram 2000;Sega Naomi;;2000;Sega;Sports/Wrestling;;;;;0;;;;;
ggram2;Giant Gram: All Japan Pro Wrestling 2;Sega Naomi;;1999;Sega;Sports/Wrestling;;;;;0;;;;;
