#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020bb;Super Baseball 2020;Arcade;;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;Mame (Advance);;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;Mame (Libretro);;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;Mame (Mame4all);;1991;Pallas;Sports/Baseball;;;;;0;;;;;
2020bb;Super Baseball 2020;Mame;;1991;Pallas;Sports/Baseball;;;;;0;;;;;
3countb;3 Count Bout;Arcade;;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;Mame (Advance);;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;Mame (Libretro);;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;Mame (Mame4all);;1993;SNK;Sports/Wrestling;;;;;0;;;;;
3countb;3 Count Bout;Mame;;1993;SNK;Sports/Wrestling;;;;;0;;;;;
alpham2;Alpha Mission II;Arcade;;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;Mame (Advance);;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;Mame (Libretro);;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;Mame (Mame4all);;1991;SNK;Action/Shooter;;;;;0;;;;;
alpham2;Alpha Mission II;Mame;;1991;SNK;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;Arcade;;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;Mame (Advance);;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;Mame (Libretro);;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;Mame (Mame4all);;1992;Visco;Action/Shooter;;;;;0;;;;;
androdun;Andro Dunos;Mame;;1992;Visco;Action/Shooter;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;Arcade;;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;Mame (Advance);;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;Mame (Libretro);;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;Mame (Mame4all);;1994;ADK;Action/Fighting;;;;;0;;;;;
aodk;Aggressors of Dark Kombat;Mame;;1994;ADK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;Arcade;;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;Mame (Advance);;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;Mame (Libretro);;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;Mame (Mame4all);;1994;SNK;Action/Fighting;;;;;0;;;;;
aof2;Art of Fighting 2;Mame;;1994;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;Arcade;;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;Mame (Advance);;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;Mame (Libretro);;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;Mame (Mame4all);;1996;SNK;Action/Fighting;;;;;0;;;;;
aof3;Art of Fighting 3 The Path of the Warrior;Mame;;1996;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;Arcade;;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;Mame (Advance);;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;Mame (Libretro);;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;Mame (Mame4all);;1992;SNK;Action/Fighting;;;;;0;;;;;
aof;Art of Fighting;Mame;;1992;SNK;Action/Fighting;;;;;0;;;;;
bangbead;Bang Bead;Arcade;;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;Mame (Advance);;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;Mame (Libretro);;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;Mame (Mame4all);;2000;Visco;Sports/Other;;;;;0;;;;;
bangbead;Bang Bead;Mame;;2000;Visco;Sports/Other;;;;;0;;;;;
bjourney;Blue's Journey;Arcade;;1990;ADK;Action/General;;;;;0;;;;;
bjourney;Blue's Journey;Mame (Advance);;1990;ADK;Action/General;;;;;0;;;;;
bjourney;Blue's Journey;Mame (Libretro);;1990;ADK;Action/General;;;;;0;;;;;
