#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - The Living Daylights (Europe);007 - The Living Daylights (Europe);Atari 800;;;;;;;;;;;;;;
180 (Europe);180 (Europe);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 1 Side A);221B Baker Street (USA) (Disk 1 Side A);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 1 Side B);221B Baker Street (USA) (Disk 1 Side B);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 2) (Case Library 1);221B Baker Street (USA) (Disk 2) (Case Library 1);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 3) (Case Library 2);221B Baker Street (USA) (Disk 3) (Case Library 2);Atari 800;;;;;;;;;;;;;;
3-D Noughts & Crosses (Europe);3-D Noughts & Crosses (Europe);Atari 800;;;;;;;;;;;;;;
3-D Pac Plus (Germany);3-D Pac Plus (Germany);Atari 800;;;;;;;;;;;;;;
3-D Red Baron (USA);3-D Red Baron (USA);Atari 800;;;;;;;;;;;;;;
3-D Tic-Tac-Toe (Adventure International) (USA);3-D Tic-Tac-Toe (Adventure International) (USA);Atari 800;;;;;;;;;;;;;;
3-D Tic-Tac-Toe (Atari) (USA);3-D Tic-Tac-Toe (Atari) (USA);Atari 800;;;;;;;;;;;;;;
3d24 (Poland) (Proto);3d24 (Poland) (Proto);Atari 800;;;;;;;;;;;;;;
747 Flight Simulator (Europe);747 Flight Simulator (Europe);Atari 800;;;;;;;;;;;;;;
747 Landing Simulator (USA);747 Landing Simulator (USA);Atari 800;;;;;;;;;;;;;;
A-E (USA) (Side A);A-E (USA) (Side A);Atari 800;;;;;;;;;;;;;;
A-E (USA) (Side B);A-E (USA) (Side B);Atari 800;;;;;;;;;;;;;;
A-Zone (Europe);A-Zone (Europe);Atari 800;;;;;;;;;;;;;;
AD 2044 (Poland) (Side A);AD 2044 (Poland) (Side A);Atari 800;;;;;;;;;;;;;;
AD 2044 (Poland) (Side B);AD 2044 (Poland) (Side B);Atari 800;;;;;;;;;;;;;;
Abracadabra! (USA);Abracadabra! (USA);Atari 800;;;;;;;;;;;;;;
Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 1);Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 1);Atari 800;;;;;;;;;;;;;;
Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 2);Abraxas Adventure #1 - Assault on the Astral Rift (USA) (Disk 2);Atari 800;;;;;;;;;;;;;;
Abuse (USA);Abuse (USA);Atari 800;;;;;;;;;;;;;;
Accion (Peru) (Unl);Accion (Peru) (Unl);Atari 800;;;;;;;;;;;;;;
Ace Dribbler and the Roadhogs (Europe) (Unl);Ace Dribbler and the Roadhogs (Europe) (Unl);Atari 800;;;;;;;;;;;;;;
Ace of Aces (USA);Ace of Aces (USA);Atari 800;;;;;;;;;;;;;;
Acey-Deucey (USA);Acey-Deucey (USA);Atari 800;;;;;;;;;;;;;;
Acrobat (Germany);Acrobat (Germany);Atari 800;;;;;;;;;;;;;;
Action Biker (USA);Action Biker (USA);Atari 800;;;;;;;;;;;;;;
Action Quest (USA);Action Quest (USA);Atari 800;;;;;;;;;;;;;;
Adax (Poland);Adax (Poland);Atari 800;;;;;;;;;;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Atari 800;;;;;;;;;;;;;;
Adventure Master (USA) (Side A);Adventure Master (USA) (Side A);Atari 800;;;;;;;;;;;;;;
Adventure Master (USA) (Side B);Adventure Master (USA) (Side B);Atari 800;;;;;;;;;;;;;;
Adventure No. 01 - Adventureland (USA);Adventure No. 01 - Adventureland (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 02 - Pirate Adventure (USA);Adventure No. 02 - Pirate Adventure (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 03 - Mission Impossible (USA);Adventure No. 03 - Mission Impossible (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 04 - Voodoo Castle (USA);Adventure No. 04 - Voodoo Castle (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 05 - The Count (USA);Adventure No. 05 - The Count (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 06 - Strange Odyssey (USA);Adventure No. 06 - Strange Odyssey (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 07 - Mystery Fun House (USA);Adventure No. 07 - Mystery Fun House (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 08 - Pyramid of Doom (USA);Adventure No. 08 - Pyramid of Doom (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 09 - Ghost Town (USA);Adventure No. 09 - Ghost Town (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 10 - Savage Island - Part I (USA);Adventure No. 10 - Savage Island - Part I (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 11 - Savage Island - Part II (USA);Adventure No. 11 - Savage Island - Part II (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 12 - The Golden Voyage (USA);Adventure No. 12 - The Golden Voyage (USA);Atari 800;;;;;;;;;;;;;;
Adventure No. 13 - The Sorcerer of Claymorgue Castle (USA);Adventure No. 13 - The Sorcerer of Claymorgue Castle (USA);Atari 800;;;;;;;;;;;;;;
Adventure Quest (USA);Adventure Quest (USA);Atari 800;;;;;;;;;;;;;;
Adventure Telephone (Europe);Adventure Telephone (Europe);Atari 800;;;;;;;;;;;;;;
Adventure in Time (USA);Adventure in Time (USA);Atari 800;;;;;;;;;;;;;;
Adventure on a Boat (USA);Adventure on a Boat (USA);Atari 800;;;;;;;;;;;;;;
Adventure! (USA);Adventure! (USA);Atari 800;;;;;;;;;;;;;;
AdventureWriter (USA);AdventureWriter (USA);Atari 800;;;;;;;;;;;;;;
