#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
azumanga;Azumanga Daioh Puzzle Bobble (GDL-0018);Sega Naomi;;2002;Moss (Taito license);Puzzle;;;;;0;;;;;
bb2bmh;Bubble Bobble (Memories Hack);HBMame;bublbobl;2000;Taito;Platform;;;;;0;;;;;
bbaladar;Bubble Bobble Bootleg;HBMame;bublbobl;2012;Aladar;Platform;;;;;0;;;;;
bbhackv1;Bubble Bobble (Level Hack);HBMame;bublbobl;2000;Taito;Platform;;;;;0;;;;;
bbredux;Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB);MAME (Advance);bublbobl;2013;bootleg (Punji);Platform;;;;;0;;;;;
bbredux;Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB);MAME (Libretro);bublbobl;2013;bootleg (Punji);Platform;;;;;0;;;;;
bbredux;Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB);MAME (Mame4all);bublbobl;2013;bootleg (Punji);Platform;;;;;0;;;;;
bbredux;Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB);MAME;bublbobl;2013;bootleg (Punji);Platform;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);Arcade;bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);Final Burn Alpha;bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME (Advance);bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME (Advance);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME (Libretro);bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME (Libretro);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME (Mame4all);bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME (Mame4all);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME;bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
boblbobl;Bobble Bobble (bootleg of Bubble Bobble);MAME;bublbobl;1986;bootleg;Platform;;;;;0;;;;;
boblcave;Bubble Bobble: Lost Cave V1.2 (for Bobble Bobble PCB);HBMame;bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
boblcave;Bubble Bobble: Lost Cave V1.2 (for Bobble Bobble PCB);MAME (Advance);bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
boblcave;Bubble Bobble: Lost Cave V1.2 (for Bobble Bobble PCB);MAME (Libretro);bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
boblcave;Bubble Bobble: Lost Cave V1.2 (for Bobble Bobble PCB);MAME (Mame4all);bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
boblcave;Bubble Bobble: Lost Cave V1.2 (for Bobble Bobble PCB);MAME;bublbobl;2013;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bub68705;Bubble Bobble (boolteg with 68705) [Bootleg];Final Burn Alpha;bublbobl;1986;bootleg;;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);Arcade;bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);Final Burn Alpha;bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME (Advance);bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME (Advance);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME (Libretro);bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME (Libretro);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME (Mame4all);bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME (Mame4all);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME;bublbobl;1986;bootleg;Platform / Run Jump;;;;;0;;;;;
bub68705;Bubble Bobble (bootleg with 68705);MAME;bublbobl;1986;bootleg;Platform;;;;;0;;;;;
Bubble Bobble (Europe);Bubble Bobble (Europe);Amstrad CPC;;1987;Firebird Software;Platform;;;;;0;;;;;
Bubble Bobble (Europe);Bubble Bobble (Europe);Atari ST;;1987;Firebird;Platform;;;;;0;;;;;
Bubble Bobble (Europe);Bubble Bobble (Europe);Commodore 64;;1987;Firebird;Platform;;;;;0;;;;;
Bubble Bobble (Europe);Bubble Bobble (Europe);Sega Master System;;1992;Sega;Platform;;;;;0;;;;;
Bubble Bobble (Europe);Bubble Bobble (Europe);Sinclair ZX Spectrum;;1987;Firebird Software;Platform;;;;;0;;;;;
Bubble Bobble (Japan);Bubble Bobble (Japan);Microsoft MSX2;;1987;Taito;Platform;;;;;0;;;;;
Bubble Bobble (Japan);Bubble Bobble (Japan);Nintendo Famicom Disk System;;1987;Taito Corp.;Platform;;;;;0;;;;;
Bubble Bobble (Korea) (Alt 1) (Unl);Bubble Bobble (Korea) (Alt 1) (Unl);Microsoft MSX;;;;;;;;;0;;;;;
Bubble Bobble (Korea) (Unl);Bubble Bobble (Korea) (Unl);Microsoft MSX;;;;;;;;;0;;;;;
Bubble Bobble (Original 2006);Bubble Bobble;Future Pinball;;2006;Original;Pinball;;;;;0;;;;;
Bubble Bobble (Original) (1.0);Bubble Bobble (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Bubble Bobble (Original) (2006) (ruckage) (1.0);Bubble Bobble (Original) (2006) (ruckage) (1.0);Future Pinball;;;;;;;;;;;;;;
Bubble Bobble (USA);Bubble Bobble (USA);Nintendo Entertainment System;;1988;Taito Corporation;Platform;;;;;0;;;;;
Bubble Bobble (USA, Europe);Bubble Bobble (USA, Europe);Nintendo Game Boy;;1991;Taito Corporation;Platform;;;;;0;;;;;
Bubble Bobble (USA, Europe);Bubble Bobble (USA, Europe);Sega Game Gear;;1994;Taito Corporation;Platform;;;;;0;;;;;
Bubble Bobble - Also featuring Rainbow Islands (USA);Bubble Bobble - Also featuring Rainbow Islands (USA);Sega Saturn;;1996;Taito/Probe;Platform;;;;;0;;;;;
Bubble Bobble - Double Shot (USA) (En,Fr,Es);Bubble Bobble - Double Shot;Nintendo DS;;;;;;;;;0;;;;;
Bubble Bobble - Evolution (USA);Bubble Bobble - Evolution (USA);Sony PSP;;2006;Codemasters;Puzzle;;;;;0;;;;;
Bubble Bobble - Extended Screens (Europe) (Unl);Bubble Bobble - Extended Screens (Europe) (Unl);Atari ST;;1987;David Broadhurst;Platform;;;;;0;;;;;
Bubble Bobble - Old & New (USA);Bubble Bobble - Old & New (USA);Nintendo Game Boy Advance;;2003;Empire Interactive;Platform;;;;;0;;;;;
Bubble Bobble 2 (Europe) (Proto);Bubble Bobble 2 (Europe) (Proto);Atari ST;;1988;Software Creations;Action;;;;;0;;;;;
Bubble Bobble 2 (Europe) (Unl);Bubble Bobble 2 (Europe) (Unl);Amstrad CPC;;1988;Saturn-Soft;Platform;;;;;0;;;;;
Bubble Bobble 4 CPC (Europe) (Unl);Bubble Bobble 4 CPC (Europe) (Unl);Amstrad CPC;;2011;CNG Soft;Platform;;;;;0;;;;;
Bubble Bobble also featuring Rainbow Islands (USA);Bubble Bobble also featuring Rainbow Islands (USA);Sony PlayStation;;1996;Acclaim;Action;;;;;0;;;;;
Bubble Bobble II (USA) (Unl);Bubble Bobble II (USA) (Unl);Commodore 64;;1989;Luca Antignano (South Soft);Shoot-'Em-Up;;;;;0;;;;;
Bubble Bobble Part 2 (Europe) (Proto);Bubble Bobble Part 2 (Europe) (Proto);Sony PlayStation;;1997;EastPoint;Platform;;;;;0;;;;;
Bubble Bobble Part 2 (USA);Bubble Bobble Part 2 (USA);Nintendo Entertainment System;;1993;Taito Corporation;Platform;;;;;0;;;;;
Bubble Bobble Part 2 (USA, Europe);Bubble Bobble Part 2 (USA, Europe);Nintendo Game Boy;;1993;Taito Corporation;Platform;;;;;0;;;;;
Bubble Bobble Plus! (USA);Bubble Bobble Plus! (USA);Nintendo WiiWare;;2009;Taito;Arcade;;;;;0;;;;;
Bubble Bobble Revolution (USA) (Rev 1);Bubble Bobble Revolution;Nintendo DS;;;;;;;;;0;;;;;
Bubble Bobble Revolution (USA);Bubble Bobble Revolution;Nintendo DS;;;;;;;;;0;;;;;
Bubble Bobble Strikes Again (Europe) (Unl);Bubble Bobble Strikes Again (Europe) (Unl);Atari ST;;1989;Beerdrinkers;Action;;;;;0;;;;;
BubbleBobble_v1.1_2518;Bubble Bobble;Commodore Amiga;;;;;;;;;0;;;;;
bubblem;Bubble Memories The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);Arcade;;1995;Taito Corporation Japan;Platform / Run Jump;;;;;0;;;;;
bubblem;Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);Arcade;;1995;Taito Corporation Japan;Platform;;;;;0;;;;;
bubblem;Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);Final Burn Alpha;;1995;Taito Corporation Japan;Platform;;;;;0;;;;;
bubblem;Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);MAME (Advance);;1995;Taito Corporation Japan;Platform;;;;;0;;;;;
