#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
ATR - All Terrain Racing (Europe);ATR - All Terrain Racing (Europe);Commodore Amiga CD32;;1995;Team 17;Driving;;;;;0;;;;;
Akira (Europe);Akira (Europe);Commodore Amiga CD32;;1994;ICE;Action;;;;;0;;;;;
Alfred Chicken (Europe);Alfred Chicken (Europe);Commodore Amiga CD32;;1993;Mindscape;Platform;;;;;0;;;;;
Alien Breed '92 Special Edition & Qwak (Europe);Alien Breed '92 Special Edition & Qwak (Europe);Commodore Amiga CD32;;1994;Team 17;Miscellaneous;;;;;0;;;;;
Alien Breed - Tower Assault (Europe);Alien Breed - Tower Assault (Europe);Commodore Amiga CD32;;1994;Team 17;Shooter;;;;;0;;;;;
Alien Breed 3D (Europe);Alien Breed 3D (Europe);Commodore Amiga CD32;;1995;Team 17;Shooter;;;;;0;;;;;
Amiga CD32 Sports Football (Europe);Amiga CD32 Sports Football (Europe);Commodore Amiga CD32;;1993;Commodore;Sports/Football;;;;;0;;;;;
Arabian Nights (Europe);Arabian Nights (Europe);Commodore Amiga CD32;;1993;Buzz;Platform;;;;;0;;;;;
Arcade Pool (Europe);Arcade Pool (Europe);Commodore Amiga CD32;;1994;Team 17;Sports/Pool and Dart;;;;;0;;;;;
Banshee (Europe);Banshee (Europe);Commodore Amiga CD32;;1994;Core;Shooter;;;;;0;;;;;
Base Jumpers (Europe);Base Jumpers (Europe);Commodore Amiga CD32;;1994;Rasputin;Platform;;;;;0;;;;;
Battle Chess (Europe);Battle Chess (Europe);Commodore Amiga CD32;;1994;Interplay;Board Games;;;;;0;;;;;
Battletoads (Europe);Battletoads (Europe);Commodore Amiga CD32;;1994;Minscape;Beat-'Em-Up;;;;;0;;;;;
Beavers (Europe);Beavers (Europe);Commodore Amiga CD32;;1994;Unique;Platform;;;;;0;;;;;
Beneath A Steel Sky (Europe);Beneath A Steel Sky (Europe);Commodore Amiga CD32;;1994;Virgin;Adventure;;;;;0;;;;;
Benefactor (Europe);Benefactor (Europe);Commodore Amiga CD32;;1994;Psygnosis;Platform;;;;;0;;;;;
