#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Crisis Core - Final Fantasy VII (USA) (Undub);Crisis Core - Final Fantasy VII (USA) (Undub);Sony PSP;;2008;Square Enix;Role-Playing;;;;;0;;;;;
Crisis Core - Final Fantasy VII (USA);Crisis Core - Final Fantasy VII (USA);Sony PSP;;2008;Square Enix;Role-Playing;;;;;0;;;;;
Dirge of Cerberus - Final Fantasy VII (USA);Dirge of Cerberus - Final Fantasy VII (USA);Sony PlayStation 2;;2006;Square Enix;Action;;;;;0;;;;;
Dissidia - Final Fantasy (USA);Dissidia - Final Fantasy (USA);Sony PSP;;2009;Square Enix;Fighter;;;;;0;;;;;
Dissidia 012 - Duodecim Final Fantasy (Europe) (Undub);Dissidia 012 - Duodecim Final Fantasy (Europe) (Undub);Sony PSP;;2011;Square Enix;Fighter;;;;;0;;;;;
Dissidia 012 - Duodecim Final Fantasy (USA);Dissidia 012 - Duodecim Final Fantasy (USA);Sony PSP;;2011;Square Enix;Fighter;;;;;0;;;;;
Dissidia 012 - Prologus Final Fantasy (USA);Dissidia 012 - Prologus Final Fantasy (USA);Sony PSP;;2011;Square Enix;Fighter;;;;;0;;;;;
Dragon Quest & Final Fantasy in Itadaki Street Portable (Japan) (Translated En);Dragon Quest & Final Fantasy in Itadaki Street Portable (Japan) (Translated En);Sony PSP;;2006;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy (Japan);Final Fantasy (Japan);Bandai WonderSwan Color;;2000;Square;Role-Playing;;;;;0;;;;;
Final Fantasy (USA);Final Fantasy (USA);Nintendo Entertainment System;;1990;Nintendo;Role-Playing;;;;;0;;;;;
Final Fantasy - 20th Anniversary Edition (USA);Final Fantasy - 20th Anniversary Edition (USA);Sony PSP;;2007;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy - Crystal Chronicles (USA);Final Fantasy - Crystal Chronicles (USA);Nintendo GameCube;;2004;Game Designers Studio, The;Role-Playing;;;;;0;;;;;
Final Fantasy - Mystic Quest (USA) (Rev 1);Final Fantasy - Mystic Quest (USA) (Rev 1);Super Nintendo Entertainment System;;1992;Squaresoft;Role-Playing;1;;;;;;;;
Final Fantasy - Mystic Quest (USA);Final Fantasy - Mystic Quest (USA);Super Nintendo Entertainment System;;1992;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy - The 4 Heroes of Light (USA);Final Fantasy - The 4 Heroes of Light;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy Adventure (USA);Final Fantasy Adventure (USA);Nintendo Game Boy;;1991;Square Enix;Adventure;;;;;0;;;;;
Final Fantasy Anthology - Final Fantasy V (USA);Final Fantasy Anthology - Final Fantasy V (USA);Sony Playstation;;1999;Squaresoft;Role-Playing;;;;;0;;;;;
Final Fantasy Anthology - Final Fantasy VI (USA);Final Fantasy Anthology - Final Fantasy VI (USA);Sony PlayStation;;1999;Squaresoft;Role-Playing;;;;;0;;;;;
Final Fantasy Chronicles - Chrono Trigger (USA);Final Fantasy Chronicles - Chrono Trigger (USA);Sony Playstation;;2001;Squaresoft;Role-Playing;;;;;0;;;;;
Final Fantasy Chronicles - Final Fantasy IV (USA);Final Fantasy Chronicles - Final Fantasy IV (USA);Sony Playstation;;2001;Squaresoft;Role-Playing;;;;;0;;;;;
Final Fantasy Collection (Japan);Final Fantasy Collection (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Final Fantasy Crystal Chronicles - Echoes of Time (USA) (En,Fr,Es);Final Fantasy Crystal Chronicles - Echoes of Time;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy Crystal Chronicles - Echoes of Time (USA);Final Fantasy Crystal Chronicles - Echoes of Time (USA);Nintendo Wii;;2009;Square-Enix;Role-Playing;;;;;0;;;;;
Final Fantasy Crystal Chronicles - My Life as a Darklord (USA);Final Fantasy Crystal Chronicles - My Life as a Darklord (USA);Nintendo WiiWare;;2009;Square Enix;Strategy;;;;;0;;;;;
Final Fantasy Crystal Chronicles - My Life as a King (USA);Final Fantasy Crystal Chronicles - My Life as a King (USA);Nintendo WiiWare;;2008;Square Enix;Strategy;;;;;0;;;;;
Final Fantasy Crystal Chronicles - Ring of Fates (USA) (En,Es);Final Fantasy Crystal Chronicles - Ring of Fates;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy Crystal Chronicles - The Crystal Bearers (USA);Final Fantasy Crystal Chronicles - The Crystal Bearers (USA);Nintendo Wii;;2009;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy Explorers (USA);Final Fantasy Explorers (USA);Nintendo 3DS;;2016;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy Explorers (USA);Final Fantasy Explorers (USA);Nintendo 3DS;;;Square Enix;;;;;;0;;;;;
Final Fantasy Fables - Chocobo Tales (USA);Final Fantasy Fables - Chocobo Tales;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy Fables - Chocobo's Dungeon (USA);Final Fantasy Fables - Chocobo's Dungeon (USA);Nintendo Wii;;2008;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy I & II - Dawn of Souls (USA, Australia);Final Fantasy I & II - Dawn of Souls (USA, Australia);Nintendo Game Boy Advance;;2004;Nintendo;Role-Playing;;;;;0;;;;;
Final Fantasy I (Japan);Final Fantasy I (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Final Fantasy II (Japan) (Translated En);Final Fantasy II (Japan) (Translated En);Nintendo Famicom;;1988;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy II (Japan);Final Fantasy II (Japan);Bandai WonderSwan Color;;2001;Square;Role-Playing;;;;;0;;;;;
Final Fantasy II (Japan);Final Fantasy II (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Final Fantasy II (USA) (Rev 1);Final Fantasy II (USA) (Rev 1);Super Nintendo Entertainment System;;1991;Squaresoft;Role-Playing;1;;;;;;;;
Final Fantasy II (USA);Final Fantasy II (USA);Super Nintendo Entertainment System;;1991;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy II - 20th Anniversary Edition (USA);Final Fantasy II - 20th Anniversary Edition (USA);Sony PSP;;2007;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy III (Japan) (Translated En);Final Fantasy III (Japan) (Translated En);Nintendo Famicom;;1990;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy III (USA) (Rev 1);Final Fantasy III (USA) (Rev 1);Super Nintendo Entertainment System;;1994;Squaresoft;Role-Playing;1;;;;;;;;
Final Fantasy III (USA);Final Fantasy III (USA);Sony PSP;;2012;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy III (USA);Final Fantasy III (USA);Super Nintendo Entertainment System;;1994;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy III (USA);Final Fantasy III;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy IV (Japan) (Translated En);Final Fantasy IV (Japan) (Translated En);Nintendo Super Famicom;;1991;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy IV (Japan) (Translated En);Final Fantasy IV (Japan) (Translated En);Nintendo Super Famicom;;;;;;;;;;;;;
Final Fantasy IV (Japan);Final Fantasy IV (Japan);Bandai WonderSwan Color;;2002;Square;Role-Playing;;;;;0;;;;;
Final Fantasy IV (Japan);Final Fantasy IV (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Final Fantasy IV (USA) (En,Fr,Es);Final Fantasy IV;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy IV - The After Years (USA);Final Fantasy IV - The After Years (USA);Nintendo WiiWare;;2009;Square Enix, Matrix Software;RPG;;;;;0;;;;;
Final Fantasy IV - The Complete Collection (USA);Final Fantasy IV - The Complete Collection (USA);Sony PSP;;2011;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy IV Advance (USA, Australia);Final Fantasy IV Advance (USA, Australia);Nintendo Game Boy Advance;;2005;Nintendo;Role-Playing;;;;;0;;;;;
Final Fantasy IX (USA) (Disc 1);Final Fantasy IX (USA) (Disc 1);Sony PlayStation;;2000;Square EA;Role-Playing;;;;;0;;;;;
Final Fantasy IX (USA) (Disc 2);Final Fantasy IX (USA) (Disc 2);Sony Playstation;;2000;Square EA;Role-Playing;;;;;0;;;;;
Final Fantasy IX (USA) (Disc 3);Final Fantasy IX (USA) (Disc 3);Sony PlayStation;;2000;Square EA;Role-Playing;;;;;0;;;;;
Final Fantasy IX (USA) (Disc 4);Final Fantasy IX (USA) (Disc 4);Sony Playstation;;2000;Square EA;Role-Playing;;;;;0;;;;;
Final Fantasy Legend II (USA);Final Fantasy Legend II (USA);Nintendo Game Boy;;1990;Square Enix;Adventure;;;;;0;;;;;
Final Fantasy Legend III (USA);Final Fantasy Legend III (USA);Nintendo Game Boy;;1991;Square Enix;Adventure;;;;;0;;;;;
Final Fantasy Legend, The (USA);Final Fantasy Legend, The (USA);Nintendo Game Boy;;1989;Square Enix;Adventure;;;;;0;;;;;
Final Fantasy Origins (USA);Final Fantasy Origins (USA);Sony Playstation;;2003;Square Enix USA;Role-Playing;;;;;0;;;;;
Final Fantasy Tactics (USA);Final Fantasy Tactics (USA);Sony Playstation;;1998;SCEA;Strategy;;;;;0;;;;;
Final Fantasy Tactics - The War of the Lions (USA);Final Fantasy Tactics - The War of the Lions (USA);Sony PSP;;2007;Square Enix;Strategy;;;;;0;;;;;
Final Fantasy Tactics A2 - Grimoire of the Rift (USA) (En,Fr,Es);Final Fantasy Tactics A2 - Grimoire of the Rift;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy Tactics Advance (USA, Australia);Final Fantasy Tactics Advance (USA, Australia);Nintendo Game Boy Advance;;2003;Nintendo;Role-Playing;;;;;0;;;;;
Final Fantasy Type-0 (Japan) (Translated En);Final Fantasy Type-0 (Japan) (Translated En);Sony PSP;;2011;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy V (Japan) (Translated En);Final Fantasy V (Japan) (Translated En);Nintendo Super Famicom;;1992;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy V (Japan) (Translated En);Final Fantasy V (Japan) (Translated En);Nintendo Super Famicom;;;;;;;;;;;;;
Final Fantasy V (Japan);Final Fantasy V (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Final Fantasy V Advance (USA);Final Fantasy V Advance (USA);Nintendo Game Boy Advance;;2006;Nintendo;Role-Playing;;;;;0;;;;;
