#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1024 Bytes (Original) (2006) (northernpinballteam) (1.0);1024 Bytes (Original) (2006) (northernpinballteam) (1.0);Future Pinball;;;;;;;;;;;;;;
2001 (Gottlieb) (1971) (Popotte) (2.0.0);2001 (Gottlieb) (1971) (Popotte) (2.0.0);Future Pinball;;;;;;;;;;;;;;
2050 (Original) (2006) (Tii) (1.1);2050 (Original) (2006) (Tii) (1.1);Future Pinball;;;;;;;;;;;;;;
300 - Prepare For Glory (Original) (2008) (Brad Bambara) (1.0);300 - Prepare For Glory (Original) (2008) (Brad Bambara) (1.0);Future Pinball;;;;;;;;;;;;;;
50_50 (Original) (2006) (Leon Spalding) (RC1a);50_50 (Original) (2006) (Leon Spalding) (RC1a);Future Pinball;;;;;;;;;;;;;;
ACDC (Stern) (Pro) (2012) (1.0);ACDC (Stern) (Pro) (2012) (1.0);Future Pinball;;;;;;;;;;;;;;
ACDC - Devil Girl (Stern) (2012) (Ultimate) (1.0);ACDC - Devil Girl (Stern) (2012) (Ultimate) (1.0);Future Pinball;;;;;;;;;;;;;;
Abra Ca Dabra (Gottlieb) (1975) (Popotte) (1.50);Abra Ca Dabra (Gottlieb) (1975) (Popotte) (1.50);Future Pinball;;;;;;;;;;;;;;
Abra Ca Dabra ULTRA (Gottlieb) (1975) (Popotte,  SLAMT1LT) (1.1);Abra Ca Dabra ULTRA (Gottlieb) (1975) (Popotte,  SLAMT1LT) (1.1);Future Pinball;;;;;;;;;;;;;;
Add A Ball (Williams) (1969) (Margoni) (1.0);Add A Ball (Williams) (1969) (Margoni) (1.0);Future Pinball;;;;;;;;;;;;;;
Addams Family Pinball 20th Anniversary Edition (Bally);Addams Family Pinball 20th Anniversary Edition (Bally);Future Pinball;;;;;;;;;;;;;;
Air Aces (Bally) (1975) (Popotte) (1.00);Air Aces (Bally) (1975) (Popotte) (1.00);Future Pinball;;;;;;;;;;;;;;
Air Hockey (Original) (2009) (Tii) (1.0);Air Hockey (Original) (2009) (Tii) (1.0);Future Pinball;;;;;;;;;;;;;;
Airport (Gottlieb) (1969) (Popotte) (2.00);Airport (Gottlieb) (1969) (Popotte) (2.00);Future Pinball;;;;;;;;;;;;;;
Airship (Original) (2010) (Tii) (1.0);Airship (Original) (2010) (Tii) (1.0);Future Pinball;;;;;;;;;;;;;;
Aladdin's Castle (Bally) (1976) (Greywolf) (5.0);Aladdin's Castle (Bally) (1976) (Greywolf) (5.0);Future Pinball;;;;;;;;;;;;;;
Alberta Gamble (Original) (2010) (Lori) (3.0);Alberta Gamble (Original) (2010) (Lori) (3.0);Future Pinball;;;;;;;;;;;;;;
Alfa Romeo (Original) (2007) (Medo75) (1.0);Alfa Romeo (Original) (2007) (Medo75) (1.0);Future Pinball;;;;;;;;;;;;;;
Alien (Original) (2005) (RipleYYY) (1.1);Alien (Original) (2005) (RipleYYY) (1.1);Future Pinball;;;;;;;;;;;;;;
Alien Pinball (Original) (2006) (Shmithz) (0.1);Alien Pinball (Original) (2006) (Shmithz) (0.1);Future Pinball;;;;;;;;;;;;;;
