#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - Casino Royale (Original 2013);007 - Casino Royale;Future Pinball;;2013;Original;Pinball;;;;;0;;;;;
2001 (Gottlieb 1971);2001;Future Pinball;;1971;Gottlieb;Pinball;;;;;0;;;;;
24 (Stern 2009);24;Future Pinball;;2009;Stern;Pinball;;;;;0;;;;;
300 (Gottlieb 1975);300;Future Pinball;;1975;Gottlieb;Pinball;;;;;0;;;;;
300 (Maresa 1975);300;Future Pinball;;1975;Maresa;Pinball;;;;;0;;;;;
300 - Prepare for Glory (Original 2011);300 - Prepare for Glory;Future Pinball;;2011;Original;Pinball;;;;;0;;;;;
4 Square (Gottlieb 1971);4 Square;Future Pinball;;1971;Gottlieb;Pinball;;;;;0;;;;;
50_50 (Bally 1965);50_50;Future Pinball;;1965;Bally;Pinball;;;;;0;;;;;
5th Element, The (Original 2012);5th Element, The;Future Pinball;;2012;Original;Pinball;;;;;0;;;;;
8 Ball (Williams 1952);8 Ball;Future Pinball;;1952;Williams;Pinball;;;;;0;;;;;
AC_DC (Stern 2012);AC_DC;Future Pinball;;2012;Stern;Pinball;;;;;0;;;;;
Abra Ca Dabra (Gottlieb 1975);Abra Ca Dabra;Future Pinball;;1975;Gottlieb;Pinball;;;;;0;;;;;
Add-A-Ball (Williams 1961);Add-A-Ball;Future Pinball;;1961;Williams;Pinball;;;;;0;;;;;
Addams Family, The (Bally 1992);Addams Family, The;Future Pinball;;1992;Bally;Pinball;;;;;0;;;;;
Adventures of Tintin, The - The Secret of the Unicorn (Original 2013);Adventures of Tintin, The - The Secret of the Unicorn;Future Pinball;;2013;Original;Pinball;;;;;0;;;;;
Air Aces (Bally 1975);Air Aces;Future Pinball;;1975;Bally;Pinball;;;;;0;;;;;
Airport (Gottlieb 1969);Airport;Future Pinball;;1969;Gottlieb;Pinball;;;;;0;;;;;
Akira Pinball (Original 2011);Akira Pinball;Future Pinball;;2011;Original;Pinball;;;;;0;;;;;
Aladdin's Castle (Bally 1976);Aladdin's Castle;Future Pinball;;1976;Bally;Pinball;;;;;0;;;;;
Alaska (Recreativos Franco 1978);Alaska;Future Pinball;;1978;recreativos Franco;Pinball;;;;;0;;;;;
Ali (Stern 1980);Ali;Future Pinball;;1980;Stern;Pinball;;;;;0;;;;;
Alien Poker (Williams 1980);Alien Poker;Future Pinball;;1980;Williams;Pinball;;;;;0;;;;;
Aliens Infestation (Original 2012);Aliens Infestation;Future Pinball;;2012;Original;Pinball;;;;;0;;;;;
Aliens Legacy (Original 2014);Aliens Legacy;Future Pinball;;2014;Original;Pinball;;;;;0;;;;;
Aliens Legacy Hardcore (Original 2011);Aliens Legacy Hardcore;Future Pinball;;2011;Original;Pinball;;;;;0;;;;;
Aloha (Gottlieb 1961);Aloha;Future Pinball;;1961;Gottlieb;Pinball;;;;;0;;;;;
Amazing Spiderman, The (Gottlieb 1980);Amazing Spiderman, The;Future Pinball;;1980;Gottlieb;Pinball;;;;;0;;;;;
American Pinball (Tomy Toy 1991);American Pinball;Future Pinball;;1991;Tomy Toy;Pinball;;;;;0;;;;;
Amigo (Bally 1974);Amigo;Future Pinball;;1974;Bally;Pinball;;;;;0;;;;;
Amok Harvest (Original 2006);Amok Harvest;Future Pinball;;2006;Original;Pinball;;;;;0;;;;;
Anarchy Online Pinball (Original 2006);Anarchy Online Pinball;Future Pinball;;2006;Original;Pinball;;;;;0;;;;;
Anna's Colours (Original 2006);Anna's Colours;Future Pinball;;2006;Original;Pinball;;;;;0;;;;;
Aperture Science (Original 2009);Aperture Science;Future Pinball;;2009;Original;Pinball;;;;;0;;;;;
Apollo 13 (SEGA 1995);Apollo 13;Future Pinball;;1995;SEGA;Pinball;;;;;0;;;;;
Arcade Mayhem (Original 2012);Arcade Mayhem;Future Pinball;;2012;Original;Pinball;;;;;0;;;;;
Asteroid Annie and the Aliens (Gottlieb 1980);Asteroid Annie and the Aliens;Future Pinball;;1980;Gottlieb;Pinball;;;;;0;;;;;
Astro Shooter (Tomy 1985);Astro Shooter;Future Pinball;;1985;Tomy;Pinball;;;;;0;;;;;
AstroBlast (Original 2009);AstroBlast;Future Pinball;;2009;Original;Pinball;;;;;0;;;;;
Atlantis (Bally 1989);Atlantis;Future Pinball;;1989;Bally;Pinball;;;;;0;;;;;
Atomic Billiards (Original 2013);Atomic Billiards;Future Pinball;;2013;Original;Pinball;;;;;0;;;;;
Attack From Mars (Bally 1995);Attack From Mars;Future Pinball;;1995;Bally;Pinball;;;;;0;;;;;
Attack of the 50ft Woman (Original 2012);Attack of the 50ft Woman;Future Pinball;;2012;Original;Pinball;;;;;0;;;;;
Attack of the Killer Tomatoes (Original 2014);Attack of the Killer Tomatoes;Future Pinball;;2014;Original;Pinball;;;;;0;;;;;
Austin Powers (Stern 2001);Austin Powers;Future Pinball;;2001;Stern;Pinball;;;;;0;;;;;
Auto Race (Gottlieb 1956);Auto Race;Future Pinball;;1956;Gottlieb;Pinball;;;;;0;;;;;
Aztec (Williams 1976);Aztec;Future Pinball;;1976;Williams;Pinball;;;;;0;;;;;
Back to the Future (Data East 1990);Back to the Future;Future Pinball;;1990;Data East;Pinball;;;;;0;;;;;
