#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 Casino Royale (Original) (1.1);007 Casino Royale (Original) (1.1);Future Pinball;;;;;;;;;;;;;;
2001 (Gottlieb) (1971) (2.00);2001 (Gottlieb) (1971) (2.00);Future Pinball;;;;;;;;;;;;;;
24 (Stern) (2009) (Collectors Edition) (1.01);24 (Stern) (2009) (Collectors Edition) (1.01);Future Pinball;;;;;;;;;;;;;;
The 60's (Original) (2014) (1.0);The 60's (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
The 70's (Original) (2015) (2.0);The 70's (Original) (2015) (2.0);Future Pinball;;;;;;;;;;;;;;
The 80's (Original) (2014) (1.0);The 80's (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
The 90's (Original) (2014) (1.0);The 90's (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
ACDC (Stern) (Pro) (2012) (1.0);ACDC (Stern) (Pro) (2012) (1.0);Future Pinball;;;;;;;;;;;;;;
ACDC - Devil Girl (Stern) (2012) (Ultimate) (1.0);ACDC - Devil Girl (Stern) (2012) (Ultimate) (1.0);Future Pinball;;;;;;;;;;;;;;
Abra Ca Dabra (Gottlieb) (1975) (Ultimate) (1.01);Abra Ca Dabra (Gottlieb) (1975) (Ultimate) (1.01);Future Pinball;;;;;;;;;;;;;;
Adam Strange (Original) (2015) (1.0);Adam Strange (Original) (2015) (1.0);Future Pinball;;;;;;;;;;;;;;
Addams Family, The (Bally) (1992) (Ultimate) (1.02);Addams Family, The (Bally) (1992) (Ultimate) (1.02);Future Pinball;;;;;;;;;;;;;;
The Adventures Of Tintin - The Secret Of The Unicorn Tintin (Original) (1.0);The Adventures Of Tintin - The Secret Of The Unicorn Tintin (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Aerosmith (Original) (2015) (2.0);Aerosmith (Original) (2015) (2.0);Future Pinball;;;;;;;;;;;;;;
Air Aces (Bally) (1975) (1.0);Air Aces (Bally) (1975) (1.0);Future Pinball;;;;;;;;;;;;;;
Airport (Gottlieb) (1969) (2.0);Airport (Gottlieb) (1969) (2.0);Future Pinball;;;;;;;;;;;;;;
Akira (Original) (v0.9);Akira (Original) (v0.9);Future Pinball;;;;;;;;;;;;;;
Alien Dude (Original) (1.0);Alien Dude (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Alien Racing (Original) (1.0);Alien Racing (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Alien Science (Original) (1.0);Alien Science (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Aliens Infestation (Original) (1.1);Aliens Infestation (Original) (1.1);Future Pinball;;;;;;;;;;;;;;
Aliens Legacy (Original) (2011) (Ultimate Edition) (1.02);Aliens Legacy (Original) (2011) (Ultimate Edition) (1.02);Future Pinball;;;;;;;;;;;;;;
Alladin's Castle (Bally) (1976) (Ultimate) (1.01);Alladin's Castle (Bally) (1976) (Ultimate) (1.01);Future Pinball;;;;;;;;;;;;;;
Alone In The Dark (Original) (2014) (1.0);Alone In The Dark (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Angry Robot (Original) (2015) (1.0);Angry Robot (Original) (2015) (1.0);Future Pinball;;;;;;;;;;;;;;
Apollo 13 (Sega) (1995) (1a);Apollo 13 (Sega) (1995) (1a);Future Pinball;;;;;;;;;;;;;;
Arcade Mayhem (Original) (1.02);Arcade Mayhem (Original) (1.02);Future Pinball;;;;;;;;;;;;;;
Asteroid Annie and the Aliens (Gottlieb) (1980) (1.0);Asteroid Annie and the Aliens (Gottlieb) (1980) (1.0);Future Pinball;;;;;;;;;;;;;;
Atlantis (Bally) (1989) (WIP);Atlantis (Bally) (1989) (WIP);Future Pinball;;;;;;;;;;;;;;
Attack From Mars (Bally) (1995) (Ultimate Edition) (1.01);Attack From Mars (Bally) (1995) (Ultimate Edition) (1.01);Future Pinball;;;;;;;;;;;;;;
Attack of the Killer Tomatoes (Original) (2014) (1.0);Attack of the Killer Tomatoes (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Austin Powers (Stern) (2001) (1.0);Austin Powers (Stern) (2001) (1.0);Future Pinball;;;;;;;;;;;;;;
Avatar (Stern) (2010) (Ultimate Edition) (1.01);Avatar (Stern) (2010) (Ultimate Edition) (1.01);Future Pinball;;;;;;;;;;;;;;
Back To The Future (Data East) (1990) (Ultimate Edition) (1.01);Back To The Future (Data East) (1990) (Ultimate Edition) (1.01);Future Pinball;;;;;;;;;;;;;;
Back To The Future (Original) (2013) (1.15);Back To The Future (Original) (2013) (1.15);Future Pinball;;;;;;;;;;;;;;
Back to the Future;Back to the Future;Future Pinball;;;;;;;;;;;;;;
Bad Cats (Williams) (1989) (Ultimate) (1.01);Bad Cats (Williams) (1989) (Ultimate) (1.01);Future Pinball;;;;;;;;;;;;;;
Band Wagon (Bally) (1965) (Final);Band Wagon (Bally) (1965) (Final);Future Pinball;;;;;;;;;;;;;;
Banzai Run (Williams) (1988) (WIP);Banzai Run (Williams) (1988) (WIP);Future Pinball;;;;;;;;;;;;;;
Barb Wire (Gottlieb) (1996) (1.0);Barb Wire (Gottlieb) (1996) (1.0);Future Pinball;;;;;;;;;;;;;;
Bart and Homer (Original) (2015) (3.0);Bart and Homer (Original) (2015) (3.0);Future Pinball;;;;;;;;;;;;;;
Batman Joker Edition (Stern) (2015) (Ultimatum) (1.04c);Batman Joker Edition (Stern) (2015) (Ultimatum) (1.04c);Future Pinball;;;;;;;;;;;;;;
Batman The Dark Knight (Stern) (2008) (UE) (1.04);Batman The Dark Knight (Stern) (2008) (UE) (1.04);Future Pinball;;;;;;;;;;;;;;
Battlestar Galactica (Original) (2014) (1.0);Battlestar Galactica (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Belphegor (Original) (2014) (1.0);Belphegor (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Ben Ten (Original) (2015) (2.0);Ben Ten (Original) (2015) (2.0);Future Pinball;;;;;;;;;;;;;;
Big Bang Bar (Capcom) (1996) (Physics 2,5);Big Bang Bar (Capcom) (1996) (Physics 2,5);Future Pinball;;;;;;;;;;;;;;
Big Ben (Williams) (1954) (1.1);Big Ben (Williams) (1954) (1.1);Future Pinball;;;;;;;;;;;;;;
Big Guns (Williams) (1987) (Ultimate) (1.01);Big Guns (Williams) (1987) (Ultimate) (1.01);Future Pinball;;;;;;;;;;;;;;
Big Indian (Gottlieb) (1974) (1.50);Big Indian (Gottlieb) (1974) (1.50);Future Pinball;;;;;;;;;;;;;;
Big Spender (Original) (0.02);Big Spender (Original) (0.02);Future Pinball;;;;;;;;;;;;;;
Billion Dollar Game Show (Digital Illusions) (1992) (2.0);Billion Dollar Game Show (Digital Illusions) (1992) (2.0);Future Pinball;;;;;;;;;;;;;;
Black Gold (Williams) (1975) (1.0);Black Gold (Williams) (1975) (1.0);Future Pinball;;;;;;;;;;;;;;
Black Knight (Williams) (1989) (Ultimate) (1.01);Black Knight (Williams) (1989) (Ultimate) (1.01);Future Pinball;;;;;;;;;;;;;;
Black Knight 2000 (Williams) (1989) (1.1);Black Knight 2000 (Williams) (1989) (1.1);Future Pinball;;;;;;;;;;;;;;
Black Pyramid (Bally) (1984) (1.0);Black Pyramid (Bally) (1984) (1.0);Future Pinball;;;;;;;;;;;;;;
Black Rose (Bally) (1992) (WIP);Black Rose (Bally) (1992) (WIP);Future Pinball;;;;;;;;;;;;;;
Blood Rayne (Original) (v1.3);Blood Rayne (Original) (v1.3);Future Pinball;;;;;;;;;;;;;;
Blood Scream (Original) (2014) (1.3);Blood Scream (Original) (2014) (1.3);Future Pinball;;;;;;;;;;;;;;
Blue Vs Pink (Original) (1.0);Blue Vs Pink (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Bond 50 (Anniversary Edition) (1.0);Bond 50 (Anniversary Edition) (1.0);Future Pinball;;;;;;;;;;;;;;
Bow and Arrow (Bally) (1974) (1.0);Bow and Arrow (Bally) (1974) (1.0);Future Pinball;;;;;;;;;;;;;;
Bram Stoker's Dracula (Williams) (1993) (1.0);Bram Stoker's Dracula (Williams) (1993) (1.0);Future Pinball;;;;;;;;;;;;;;
Bubble Bobble (Original) (1.0);Bubble Bobble (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Buccaneer (Gottlieb) (1976) (1.0);Buccaneer (Gottlieb) (1976) (1.0);Future Pinball;;;;;;;;;;;;;;
Bugs Bunny Birthday Ball (Williams) (1991) (1.0);Bugs Bunny Birthday Ball (Williams) (1991) (1.0);Future Pinball;;;;;;;;;;;;;;
CSI (Stern) (2008) (0.60b);CSI (Stern) (2008) (0.60b);Future Pinball;;;;;;;;;;;;;;
Cactus Canyon (Midway) (1998) (1.0);Cactus Canyon (Midway) (1998) (1.0);Future Pinball;;;;;;;;;;;;;;
Captain Planet (Original) (2015) (1.0);Captain Planet (Original) (2015) (1.0);Future Pinball;;;;;;;;;;;;;;
Cartoons (Original) (2.0);Cartoons (Original) (2.0);Future Pinball;;;;;;;;;;;;;;
Castlevania (Original) (2015) (1.0);Castlevania (Original) (2015) (1.0);Future Pinball;;;;;;;;;;;;;;
Castlevania Symphony of the Night (Original) (2015) (1.1);Castlevania Symphony of the Night (Original) (2015) (1.1);Future Pinball;;;;;;;;;;;;;;
Castlevania Vampire Rising (Original) (2015) (1.2);Castlevania Vampire Rising (Original) (2015) (1.2);Future Pinball;;;;;;;;;;;;;;
Centaur (Bally) (1981) (Ultimate Edition) (1.01);Centaur (Bally) (1981) (Ultimate Edition) (1.01);Future Pinball;;;;;;;;;;;;;;
Centigrade 37 (Gottlieb) (1977) (UE) (1.02);Centigrade 37 (Gottlieb) (1977) (UE) (1.02);Future Pinball;;;;;;;;;;;;;;
Chamber Of Chills (Original) (2014) (1.0);Chamber Of Chills (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Checkpoint (Data East) (1991) (1.1);Checkpoint (Data East) (1991) (1.1);Future Pinball;;;;;;;;;;;;;;
Cirqus Voltaire;Cirqus Voltaire;Future Pinball;;;;;;;;;;;;;;
Classic Panic (Original) (1.0);Classic Panic (Original) (1.0);Future Pinball;;;;;;;;;;;;;;
Close Encounters of the Third Kind;Close Encounters of the Third Kind;Future Pinball;;;;;;;;;;;;;;
Conan (Original) (1.1);Conan (Original) (1.1);Future Pinball;;;;;;;;;;;;;;
Contra (Original) (2014) (1.0);Contra (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Cosmic Gunfight (Williams) (1982) (1.1);Cosmic Gunfight (Williams) (1982) (1.1);Future Pinball;;;;;;;;;;;;;;
Cow Poke (Gottlieb) (1965) (3.0);Cow Poke (Gottlieb) (1965) (3.0);Future Pinball;;;;;;;;;;;;;;
Creature From The Black Lagoon (Bally) (1992) (1.2);Creature From The Black Lagoon (Bally) (1992) (1.2);Future Pinball;;;;;;;;;;;;;;
Cross Country (Bally) (1963) (1.01);Cross Country (Bally) (1963) (1.01);Future Pinball;;;;;;;;;;;;;;
Cyclone (Williams) (1988) (Ultimate) (1.02);Cyclone (Williams) (1988) (Ultimate) (1.02);Future Pinball;;;;;;;;;;;;;;
Dakar (Game Plan) (1988) (1.0);Dakar (Game Plan) (1988) (1.0);Future Pinball;;;;;;;;;;;;;;
Dark Quest (Original) (1.0 Holo Fix);Dark Quest (Original) (1.0 Holo Fix);Future Pinball;;;;;;;;;;;;;;
Dark Rider (Geiger-Automatenbau GMBH) (1984) (1.0);Dark Rider (Geiger-Automatenbau GMBH) (1984) (1.0);Future Pinball;;;;;;;;;;;;;;
Dawn Of The Dead (Original) (2015) (1.0);Dawn Of The Dead (Original) (2015) (1.0);Future Pinball;;;;;;;;;;;;;;
Dead Hunters (Original) (UE) (1.01);Dead Hunters (Original) (UE) (1.01);Future Pinball;;;;;;;;;;;;;;
DeadShot (Original) (2015) (1.0);DeadShot (Original) (2015) (1.0);Future Pinball;;;;;;;;;;;;;;
Deadly Weapon (Gottlieb) (1990) (WIP);Deadly Weapon (Gottlieb) (1990) (WIP);Future Pinball;;;;;;;;;;;;;;
Dealer's Choice;Dealer's Choice;Future Pinball;;;;;;;;;;;;;;
Devils Dare  (Gottlieb) (1982) (1.0b);Devils Dare  (Gottlieb) (1982) (1.0b);Future Pinball;;;;;;;;;;;;;;
Die Hard (Original) (Physics 2.5);Die Hard (Original) (Physics 2.5);Future Pinball;;;;;;;;;;;;;;
Doctor Who (Bally) (1992) (beta);Doctor Who (Bally) (1992) (beta);Future Pinball;;;;;;;;;;;;;;
Dolly Parton (Bally) (1978) (1.2);Dolly Parton (Bally) (1978) (1.2);Future Pinball;;;;;;;;;;;;;;
Doodle Bug Second Edition;Doodle Bug Second Edition;Future Pinball;;;;;;;;;;;;;;
Dr Dude (Bally) (1990) (1.0);Dr Dude (Bally) (1990) (1.0);Future Pinball;;;;;;;;;;;;;;
Dragons Lair (Original) (2015) (1.00);Dragons Lair (Original) (2015) (1.00);Future Pinball;;;;;;;;;;;;;;
Dredd (Original) (2014) (1.0);Dredd (Original) (2014) (1.0);Future Pinball;;;;;;;;;;;;;;
Duck Tales (Original) (2014) (Special Edition);Duck Tales (Original) (2014) (Special Edition);Future Pinball;;;;;;;;;;;;;;
Duke Nukem Forever (Original) (1.3);Duke Nukem Forever (Original) (1.3);Future Pinball;;;;;;;;;;;;;;
Dungeons and Dragons;Dungeons and Dragons;Future Pinball;;;;;;;;;;;;;;
Earthshaker (Williams) (1989) (1.0);Earthshaker (Williams) (1989) (1.0);Future Pinball;;;;;;;;;;;;;;
Eight Ball (Bally) (1977)  (UE) (1.04);Eight Ball (Bally) (1977)  (UE) (1.04);Future Pinball;;;;;;;;;;;;;;
Eight Ball Champ (Bally) (1985) (1.3);Eight Ball Champ (Bally) (1985) (1.3);Future Pinball;;;;;;;;;;;;;;
Eight Ball Deluxe (Bally) (1980) (2.1);Eight Ball Deluxe (Bally) (1980) (2.1);Future Pinball;;;;;;;;;;;;;;
El Dorado (Gottlieb) (1976) (1.0);El Dorado (Gottlieb) (1976) (1.0);Future Pinball;;;;;;;;;;;;;;
Elektra (Bally) (1981) (1.0);Elektra (Bally) (1981) (1.0);Future Pinball;;;;;;;;;;;;;;
Elvira And The Party Monster (Bally) (1989) (beta);Elvira And The Party Monster (Bally) (1989) (beta);Future Pinball;;;;;;;;;;;;;;
Elvis (Stern) (2004) (1.1);Elvis (Stern) (2004) (1.1);Future Pinball;;;;;;;;;;;;;;
Elysium (Original) (2014) (1.2);Elysium (Original) (2014) (1.2);Future Pinball;;;;;;;;;;;;;;
Embryon (Bally) (1980) (1.2);Embryon (Bally) (1980) (1.2);Future Pinball;;;;;;;;;;;;;;
Evel Knievel (Bally) (1977) (1.02);Evel Knievel (Bally) (1977) (1.02);Future Pinball;;;;;;;;;;;;;;
Expo (Williams) (1969) (1.00);Expo (Williams) (1969) (1.00);Future Pinball;;;;;;;;;;;;;;
F-14 Tomcat (Williams) (Ultimate) (1.03);F-14 Tomcat (Williams) (Ultimate) (1.03);Future Pinball;;;;;;;;;;;;;;
FJ Holden (Hankin) (1978) (1.0);FJ Holden (Hankin) (1978) (1.0);Future Pinball;;;;;;;;;;;;;;
