#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
a51mxr3k;Area 51 / Maximum Force Duo (R3000);MAME (Advance);area51mx;1998;Atari Games;Gun;;;;;0;;;;;
a51mxr3k;Area 51 / Maximum Force Duo (R3000);MAME;area51mx;1998;Atari Games;Gun;;;;;0;;;;;
alien3;Alien3: The Gun (World);MAME (Advance);;1993;Sega;Gun;;;;;0;;;;;
alien3;Alien3: The Gun (World);MAME;;1993;Sega;Gun;;;;;0;;;;;
alien3u;Alien3: The Gun (US);MAME (Advance);alien3;1993;Sega;Gun;;;;;0;;;;;
alien3u;Alien3: The Gun (US);MAME;alien3;1993;Sega;Gun;;;;;0;;;;;
area51;Area 51 (R3000);MAME (Advance);;1996;Atari Games;Gun;;;;;0;;;;;
area51;Area 51 (R3000);MAME;;1996;Atari Games;Gun;;;;;0;;;;;
area51a;Area 51 (Atari Games license, Oct 25, 1995);MAME (Advance);area51;1995;Atari Games;Gun;;;;;0;;;;;
area51a;Area 51 (Atari Games license, Oct 25, 1995);MAME;area51;1995;Atari Games;Gun;;;;;0;;;;;
area51mx;Area 51 / Maximum Force Duo v2.0;MAME (Advance);;1998;Atari Games;Gun;;;;;0;;;;;
area51mx;Area 51 / Maximum Force Duo v2.0;MAME;;1998;Atari Games;Gun;;;;;0;;;;;
area51t;Area 51 (Time Warner license, Oct 17, 1996);MAME (Advance);area51;1995;Atari Games (Time Warner license);Gun;;;;;0;;;;;
area51t;Area 51 (Time Warner license, Oct 17, 1996);MAME;area51;1995;Atari Games (Time Warner license);Gun;;;;;0;;;;;
area51ta;Area 51 (Time Warner license, Nov 15, 1995);MAME (Advance);area51;1995;Atari Games (Time Warner license);Gun;;;;;0;;;;;
area51ta;Area 51 (Time Warner license, Nov 15, 1995);MAME;area51;1995;Atari Games (Time Warner license);Gun;;;;;0;;;;;
bang;Bang!;MAME (Advance);;1998;Gaelco;Gun;;;;;0;;;;;
bang;Bang!;MAME;;1998;Gaelco;Gun;;;;;0;;;;;
bangj;Gun Gabacho (Japan);MAME (Advance);bang;1998;Gaelco;Gun;;;;;0;;;;;
bangj;Gun Gabacho (Japan);MAME;bang;1998;Gaelco;Gun;;;;;0;;;;;
bbusters;Beast Busters (World);MAME (Advance);;1989;SNK;Gun;;;;;0;;;;;
bbusters;Beast Busters (World);MAME;;1989;SNK;Gun;;;;;0;;;;;
bbustersj;Beast Busters (Japan, Version 2);MAME (Advance);bbusters;1989;SNK;Gun;;;;;0;;;;;
bbustersj;Beast Busters (Japan, Version 2);MAME;bbusters;1989;SNK;Gun;;;;;0;;;;;
bbustersu;Beast Busters (US, Version 3);MAME (Advance);bbusters;1989;SNK;Gun;;;;;0;;;;;
bbustersu;Beast Busters (US, Version 3);MAME;bbusters;1989;SNK;Gun;;;;;0;;;;;
bbustersua;Beast Busters (US, Version 2);MAME (Advance);bbusters;1989;SNK;Gun;;;;;0;;;;;
bbustersua;Beast Busters (US, Version 2);MAME;bbusters;1989;SNK;Gun;;;;;0;;;;;
borntofi;Born To Fight;MAME (Advance);;19??;International Games;Gun;;;;;0;;;;;
borntofi;Born To Fight;MAME;;19??;International Games;Gun;;;;;0;;;;;
bronx;Bronx;MAME (Advance);cyclshtg;1986;bootleg;Gun;;;;;0;;;;;
bronx;Bronx;MAME;cyclshtg;1986;bootleg;Gun;;;;;0;;;;;
bubbletr;Bubble Trouble (World, Rev B);MAME (Advance);;1992;Namco;Gun;;;;;0;;;;;
bubbletr;Bubble Trouble (World, Rev B);MAME;;1992;Namco;Gun;;;;;0;;;;;
bubbletrj;Bubble Trouble (Japan, Rev C);MAME (Advance);bubbletr;1992;Namco;Gun;;;;;0;;;;;
bubbletrj;Bubble Trouble (Japan, Rev C);MAME;bubbletr;1992;Namco;Gun;;;;;0;;;;;
carnevil1;CarnEvil (v1.0.1);MAME (Advance);carnevil;1998;Midway Games;Gun;;;;;0;;;;;
carnevil1;CarnEvil (v1.0.1);MAME;carnevil;1998;Midway Games;Gun;;;;;0;;;;;
carnevil;CarnEvil (v1.0.3);MAME (Advance);;1998;Midway Games;Gun;;;;;0;;;;;
carnevil;CarnEvil (v1.0.3);MAME;;1998;Midway Games;Gun;;;;;0;;;;;
carnking;Carnival King (v1.00.11);MAME (Advance);;2002;Incredible Technologies;Gun;;;;;0;;;;;
carnking;Carnival King (v1.00.11);MAME;;2002;Incredible Technologies;Gun;;;;;0;;;;;
catch22;Catch-22 (version 8.0);MAME (Advance);combat;1985;Exidy;Gun;;;;;0;;;;;
catch22;Catch-22 (version 8.0);MAME;combat;1985;Exidy;Gun;;;;;0;;;;;
cheyenne;Cheyenne (version 1.0);MAME (Advance);;1984;Exidy;Gun;;;;;0;;;;;
cheyenne;Cheyenne (version 1.0);MAME;;1984;Exidy;Gun;;;;;0;;;;;
chiller;Chiller (version 3.0);MAME (Advance);;1986;Exidy;Gun;;;;;0;;;;;
chiller;Chiller (version 3.0);MAME;;1986;Exidy;Gun;;;;;0;;;;;
claybust;Claybuster;MAME (Advance);;1978;Model Racing;Gun;;;;;0;;;;;
claybust;Claybuster;MAME;;1978;Model Racing;Gun;;;;;0;;;;;
claypign;Clay Pigeon (version 2.0);MAME (Advance);;1986;Exidy;Gun;;;;;0;;;;;
claypign;Clay Pigeon (version 2.0);MAME;;1986;Exidy;Gun;;;;;0;;;;;
colt;Colt;MAME (Advance);nycaptor;1986;bootleg;Gun;;;;;0;;;;;
colt;Colt;MAME;nycaptor;1986;bootleg;Gun;;;;;0;;;;;
combat;Combat (version 3.0);MAME (Advance);;1985;Exidy;Gun;;;;;0;;;;;
combat;Combat (version 3.0);MAME;;1985;Exidy;Gun;;;;;0;;;;;
