#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;Mame;;1988;Konami;Track & Field;;;;;0;;;;;
flagrall;'96 Flag Rally;Mame;;1996;Promat?;Maze;;;;;0;;;;;
99lstwark;'99: The Last War (Kyugo);Mame;repulse;1985;Crux / Kyugo;Shoot-'Em-Up;;;;;0;;;;;
99lstwar;'99: The Last War (set 1);Mame;repulse;1985;Crux / Proma;Shoot-'Em-Up;;;;;0;;;;;
99lstwara;'99: The Last War (set 2);Mame;repulse;1985;Crux / Proma;Shoot-'Em-Up;;;;;0;;;;;
005;005;Mame;;1981;Sega;Shoot-'Em-Up;;;;;0;;;;;
1on1gov;1 on 1 Government (Japan);Mame;;2000;Tecmo;Basketball;;;;;0;;;;;
10yard85;10-Yard Fight '85 (US, Taito license);Mame;10yard;1985;Irem (Taito license);Football;;;;;0;;;;;
10yardj;10-Yard Fight (Japan);Mame;10yard;1983;Irem;Football;;;;;0;;;;;
10yard;10-Yard Fight (World, set 1);Mame;;1983;Irem;Football;;;;;0;;;;;
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);Mame;gtmr;1994;Kaneko;Driving;;;;;0;;;;;
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);Mame;gtmr;1994;Kaneko;Driving;;;;;0;;;;;
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Mame;gtmr;1994;Kaneko;Driving;;;;;0;;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);Mame;;1994;Kaneko;Driving;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette) (Japan);Mame;cprogolf;1982;Data East Corporation;Golf;;;;;0;;;;;
progolf;18 Holes Pro Golf (set 1);Mame;;1981;Data East Corporation;Golf;;;;;0;;;;;
1941j;1941: Counter Attack (Japan);Mame;1941;1990;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1941u;1941: Counter Attack (USA 900227);Mame;1941;1990;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1941;1941: Counter Attack (World 900227);Mame;;1990;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1941r1;1941: Counter Attack (World);Mame;1941;1990;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1942b;1942 (First Version);Mame;1942;1984;Capcom;Shoot-'Em-Up;;;;;0;;;;;
pc_1942;1942 (PlayChoice-10);Mame;;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1942a;1942 (Revision A);Mame;1942;1984;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1942abl;1942 (Revision A, bootleg);Mame;1942;1984;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1942;1942 (Revision B);Mame;;1984;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1942p;1942 (Tecfri PCB, bootleg?);Mame;1942;1984;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1942w;1942 (Williams Electronics license);Mame;1942;1985;Capcom (Williams Electronics license);Shoot-'Em-Up;;;;;0;;;;;
1943kai;1943 Kai: Midway Kaisen (Japan);Mame;;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943b;1943: Battle of Midway (bootleg, hack of Japan set);Mame;1943;1987;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1943ja;1943: Midway Kaisen (Japan);Mame;1943;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943j;1943: Midway Kaisen (Japan, Rev B);Mame;1943;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943bj;1943: Midway Kaisen (bootleg);Mame;1943;1987;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1943;1943: The Battle of Midway (Euro);Mame;;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943ua;1943: The Battle of Midway (US);Mame;1943;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943u;1943: The Battle of Midway (US, Rev C);Mame;1943;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943mii;1943: The Battle of Midway Mark II (US);Mame;;1987;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1944j;1944: The Loop Master (Japan 000620);Mame;1944;2000;Eighting / Raizing (Capcom license);Shoot-'Em-Up;;;;;0;;;;;
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);Mame;1944;2000;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1944;1944: The Loop Master (USA 000620);Mame;;2000;Eighting / Raizing (Capcom license);Shoot-'Em-Up;;;;;0;;;;;
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);Mame;bgaregga;1996;bootleg;Shoot-'Em-Up;;;;;0;;;;;
1945kiiin;1945k III (newer, OPCX1 PCB);Mame;1945kiii;2000;Oriental Soft;Shoot-'Em-Up;;;;;0;;;;;
1945kiii;1945k III (newer, OPCX2 PCB);Mame;;2000;Oriental Soft;Shoot-'Em-Up;;;;;0;;;;;
1945kiiio;1945k III (older, OPCX1 PCB);Mame;1945kiii;1999;Oriental Soft;Shoot-'Em-Up;;;;;0;;;;;
spikes91;1991 Spikes (Italian bootleg, set 1);Mame;pspikes;1991;bootleg;Volleyball;;;;;0;;;;;
spikes91b;1991 Spikes (Italian bootleg, set 2);Mame;pspikes;1991;bootleg;Volleyball;;;;;0;;;;;
19xxar1;19XX: The War Against Destiny (Asia 951207);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxa;19XX: The War Against Destiny (Asia 960104);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxb;19XX: The War Against Destiny (Brazil 951218);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxh;19XX: The War Against Destiny (Hispanic 951218);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxjr2;19XX: The War Against Destiny (Japan 951207);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxjr1;19XX: The War Against Destiny (Japan 951225);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);Mame;19xx;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);Mame;19xx;1996;bootleg;Shoot-'Em-Up;;;;;0;;;;;
19xx;19XX: The War Against Destiny (USA 951207);Mame;;1996;Capcom;Shoot-'Em-Up;;;;;0;;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);Mame;;1995;Midway;Hockey;;;;;0;;;;;
openicea;2 On 2 Open Ice Challenge (rev 1.2A);Mame;openice;1995;Midway;Hockey;;;;;0;;;;;
f2pbball;2 Player Baseball (Fonas);Mame;;1979;Fonas;Handheld Game;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);Mame;;1991;SNK / Pallas;Baseball;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);Mame;2020bb;1991;SNK / Pallas;Baseball;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);Mame;2020bb;1991;SNK / Pallas;Baseball;;;;;0;;;;;
m21;21 (Mirco);Mame;hitme;1976;Mirco Games;Card Battle;;;;;0;;;;;
280zzzap;280-ZZZAP;Mame;;1976;Dave Nutting Associates / Midway;Driving;;;;;0;;;;;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);Mame;3bagflvt;1996;Aristocrat;Fruit Machines;;;;;0;;;;;
