#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
mk2;Mortal Kombat II (rev L3.1);Arcade;;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);Final Burn Alpha;;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);HBMame;;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);MAME (Advance);;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);MAME (Libretro);;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);MAME (Mame4all);;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);MAME;;1993;Midway;Fighter / Versus;;;;;0;;;;;
mk2;Mortal Kombat II (rev L3.1);MAME;;1993;Midway;Fighter;;;;;0;;;;;
mk2;Mortal Kombat II (World);Final Burn Alpha;;1994;Acclaim Entertainment;;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);Arcade;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);Final Burn Alpha;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME (Advance);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME (Advance);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME (Libretro);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME (Libretro);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME (Mame4all);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME (Mame4all);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2chal;Mortal Kombat II Challenger (hack);MAME;mk2;1993;hack;Fighter;;;;;0;;;;;
mk2fr;Mortal Kombat II (French);HBMame;mk2;2007;Arkatrad;Fighter;;;;;0;;;;;
mk2r11;Mortal Kombat II (rev L1.1);Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r11;Mortal Kombat II (rev L1.1);Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r11;Mortal Kombat II (rev L1.1);MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r11;Mortal Kombat II (rev L1.1);MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r11;Mortal Kombat II (rev L1.1);MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r11;Mortal Kombat II (rev L1.1);MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r20;Mortal Kombat II (rev L2.0);Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r20;Mortal Kombat II (rev L2.0);Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r20;Mortal Kombat II (rev L2.0);MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r20;Mortal Kombat II (rev L2.0);MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r20;Mortal Kombat II (rev L2.0);MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r20;Mortal Kombat II (rev L2.0);MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r21;Mortal Kombat II (rev L2.1);Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r21;Mortal Kombat II (rev L2.1);Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r21;Mortal Kombat II (rev L2.1);MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r21;Mortal Kombat II (rev L2.1);MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r21;Mortal Kombat II (rev L2.1);MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r21;Mortal Kombat II (rev L2.1);MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r30;Mortal Kombat II (rev L3.0);Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r30;Mortal Kombat II (rev L3.0);Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r30;Mortal Kombat II (rev L3.0);MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r30;Mortal Kombat II (rev L3.0);MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r30;Mortal Kombat II (rev L3.0);MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r30;Mortal Kombat II (rev L3.0);MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r31e;Mortal Kombat II (rev L3.1 (European));Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r31e;Mortal Kombat II (rev L3.1 (European));Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r31e;Mortal Kombat II (rev L3.1 (European));MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r31e;Mortal Kombat II (rev L3.1 (European));MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r31e;Mortal Kombat II (rev L3.1 (European));MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r31e;Mortal Kombat II (rev L3.1 (European));MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r32e;Mortal Kombat II (rev L3.2 (European));Arcade;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r32e;Mortal Kombat II (rev L3.2 (European));Final Burn Alpha;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r32e;Mortal Kombat II (rev L3.2 (European));MAME (Advance);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r32e;Mortal Kombat II (rev L3.2 (European));MAME (Libretro);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r32e;Mortal Kombat II (rev L3.2 (European));MAME (Mame4all);mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r32e;Mortal Kombat II (rev L3.2 (European));MAME;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r33;Mortal Kombat II (rev L3.3 (prototype));HBMame;mk2;1993;Midway;Fighter;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);Arcade;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);Final Burn Alpha;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME (Advance);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME (Advance);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME (Libretro);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME (Libretro);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME (Mame4all);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME (Mame4all);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r42;Mortal Kombat II (rev L4.2, hack);MAME;mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);Arcade;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);Final Burn Alpha;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME (Advance);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME (Advance);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME (Libretro);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME (Libretro);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME (Mame4all);mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME (Mame4all);mk2;1993;hack;Fighter;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME;mk2;1993;hack;Fighter / Versus;;;;;0;;;;;
mk2r91;Mortal Kombat II (rev L9.1, hack);MAME;mk2;1993;hack;Fighter;;;;;0;;;;;
mk3;Mortal Kombat 3 (Euro);Final Burn Alpha;;1995;Acclaim Entertainment;;;;;;0;;;;;
mk3;Mortal Kombat 3 (rev 2.1);Arcade;;1994;Midway;Fighter;;;;;0;;;;;
mk3;Mortal Kombat 3 (rev 2.1);Final Burn Alpha;;1994;Midway;Fighter;;;;;0;;;;;
mk3;Mortal Kombat 3 (rev 2.1);MAME (Advance);;1994;Midway;Fighter;;;;;0;;;;;
mk3;Mortal Kombat 3 (rev 2.1);MAME (Libretro);;1994;Midway;Fighter;;;;;0;;;;;
mk3;Mortal Kombat 3 (rev 2.1);MAME (Mame4all);;1994;Midway;Fighter;;;;;0;;;;;
mk3;Mortal Kombat 3 (rev 2.1);MAME;;1994;Midway;Fighter;;;;;0;;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);Arcade;;1996;bootleg / Midway;Fighter;;;;;0;;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);Final Burn Alpha;;1996;bootleg / Midway;Fighter;;;;;0;;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);MAME (Advance);;1996;bootleg / Midway;Fighter;;;;;0;;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);MAME (Libretro);;1996;bootleg / Midway;Fighter;;;;;0;;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);MAME (Mame4all);;1996;bootleg / Midway;Fighter;;;;;0;;;;;
mk3mdb;Mortal Kombat 3 (bootleg of Megadrive version);MAME;;1996;bootleg / Midway;Fighter;;;;;0;;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);Arcade;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);Final Burn Alpha;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);MAME (Advance);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);MAME (Libretro);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);MAME (Mame4all);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0);MAME;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);Arcade;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);Final Burn Alpha;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);MAME (Advance);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);MAME (Libretro);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);MAME (Mame4all);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);MAME;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);Arcade;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);Final Burn Alpha;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);MAME (Advance);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);MAME (Libretro);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);MAME (Mame4all);mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3r20;Mortal Kombat 3 (rev 2.0);MAME;mk3;1994;Midway;Fighter;;;;;0;;;;;
mk3u;Mortal Kombat 3 (USA);Final Burn Alpha;mk3;1995;Williams;;;;;;0;;;;;
mk4;Mortal Kombat 4 (version 3.0);Arcade;;1997;Midway;Fighter;;;;;0;;;;;
mk4;Mortal Kombat 4 (version 3.0);Final Burn Alpha;;1997;Midway;Fighter;;;;;0;;;;;
mk4;Mortal Kombat 4 (version 3.0);MAME (Advance);;1997;Midway;Fighter;;;;;0;;;;;
mk4;Mortal Kombat 4 (version 3.0);MAME (Libretro);;1997;Midway;Fighter;;;;;0;;;;;
mk4;Mortal Kombat 4 (version 3.0);MAME (Mame4all);;1997;Midway;Fighter;;;;;0;;;;;
mk4;Mortal Kombat 4 (version 3.0);MAME;;1997;Midway;Fighter;;;;;0;;;;;
mk4a;Mortal Kombat 4 (version 2.1);Arcade;mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4a;Mortal Kombat 4 (version 2.1);Final Burn Alpha;mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4a;Mortal Kombat 4 (version 2.1);MAME (Advance);mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4a;Mortal Kombat 4 (version 2.1);MAME (Libretro);mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4a;Mortal Kombat 4 (version 2.1);MAME (Mame4all);mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4a;Mortal Kombat 4 (version 2.1);MAME;mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4b;Mortal Kombat 4 (version 1.0);Arcade;mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4b;Mortal Kombat 4 (version 1.0);Final Burn Alpha;mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4b;Mortal Kombat 4 (version 1.0);MAME (Advance);mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4b;Mortal Kombat 4 (version 1.0);MAME (Libretro);mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4b;Mortal Kombat 4 (version 1.0);MAME (Mame4all);mk4;1997;Midway;Fighter;;;;;0;;;;;
mk4b;Mortal Kombat 4 (version 1.0);MAME;mk4;1997;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);Arcade;;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);Final Burn Alpha;;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);HBMame;;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);MAME (Advance);;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);MAME (Libretro);;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);MAME (Mame4all);;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);MAME;;1992;Midway;Fighter;;;;;0;;;;;
mk;Mortal Kombat (World, v1.1);Final Burn Alpha;;1993;Arena;;;;;;0;;;;;
mka;Mortal Kombat (World);Final Burn Alpha;mk;1993;Arena;;;;;;0;;;;;
mkfr;Mortal Kombat (French);HBMame;mk;2007;Arkatrad;Fighter;;;;;0;;;;;
mkla1;Mortal Kombat (rev 1.0 08/09/92);Arcade;mk;1992;Midway;Fighter;;;;;0;;;;;
mkla1;Mortal Kombat (rev 1.0 08/09/92);Final Burn Alpha;mk;1992;Midway;Fighter;;;;;0;;;;;
mkla1;Mortal Kombat (rev 1.0 08/09/92);MAME (Advance);mk;1992;Midway;Fighter;;;;;0;;;;;
mkla1;Mortal Kombat (rev 1.0 08/09/92);MAME (Libretro);mk;1992;Midway;Fighter;;;;;0;;;;;
mkla1;Mortal Kombat (rev 1.0 08/09/92);MAME (Mame4all);mk;1992;Midway;Fighter;;;;;0;;;;;
mkla1;Mortal Kombat (rev 1.0 08/09/92);MAME;mk;1992;Midway;Fighter;;;;;0;;;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);Arcade;mk;1992;Midway;Fighter;;;;;0;;;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);Final Burn Alpha;mk;1992;Midway;Fighter;;;;;0;;;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);MAME (Advance);mk;1992;Midway;Fighter;;;;;0;;;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);MAME (Libretro);mk;1992;Midway;Fighter;;;;;0;;;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);MAME (Mame4all);mk;1992;Midway;Fighter;;;;;0;;;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);MAME;mk;1992;Midway;Fighter;;;;;0;;;;;
