#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
64 Hanafuda - Tenshi no Yakusoku (Japan);64 Hanafuda - Tenshi no Yakusoku (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Oozumou (Japan);64 Oozumou (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Oozumou 2 (Japan);64 Oozumou 2 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 Trump Collection - Alice no Wakuwaku Trump World (Japan);64 Trump Collection - Alice no Wakuwaku Trump World (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan);64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
AI Shougi 3 (Japan);AI Shougi 3 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Bakuretsu Muteki Bangaioh (Japan);Bakuretsu Muteki Bangaioh (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan);Bakushou Jinsei 64 - Mezase! Resort Ou (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Bass Rush - ECOGEAR PowerWorm Championship (Japan);Bass Rush - ECOGEAR PowerWorm Championship (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Bomber Man 64 (Japan);Bomber Man 64 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Choro Q 64 II - Hacha Mecha Grand Prix Race (Japan);Choro Q 64 II - Hacha Mecha Grand Prix Race (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Chou Kuukan Nighter Pro Yakyuu King (Japan);Chou Kuukan Nighter Pro Yakyuu King (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan);Chou Kuukan Nighter Pro Yakyuu King 2 (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
Custom Robo (Japan);Custom Robo (Japan);Nintendo 64 Japan;;;;;;;;;;;;;;
