#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942 - Cold Winter (USA) (Hack);1942 - Cold Winter (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
2600 Bros. (USA) (Hack);2600 Bros. (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
8 Eyes - Belmont's Quest (USA) (Hack);8 Eyes - Belmont's Quest (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
8-Bit Xmas 2011 (USA) (Hack);8-Bit Xmas 2011 (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
ALF Escapes! (USA) (Hack);ALF Escapes! (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Adan y Eva (Spain) (Unl);Adan y Eva (Spain) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Adventure Island - Girls Island (USA) (Hack);Adventure Island - Girls Island (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Adventures in the Magic Kingdom - Sora Edition (USA) (Hack);Adventures in the Magic Kingdom - Sora Edition (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Adventures of Ice Mario (USA) (Hack);Adventures of Ice Mario (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Alfombra Magica, La (Spain) (Unl);Alfombra Magica, La (Spain) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Alter Ego (World) (Unl);Alter Ego (World) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Arkanoid - Advanced (USA) (Hack);Arkanoid - Advanced (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Armed for Battle (USA) (Demo);Armed for Battle (USA) (Demo);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Assimilate (USA) (Unl);Assimilate (USA) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Batman - The Dark Knight (USA) (Hack);Batman - The Dark Knight (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Battle Kid - Fortress of Peril (USA) (Unl);Battle Kid - Fortress of Peril (USA) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Battle Kid 2 - Mountain of Torment (USA) (Unl);Battle Kid 2 - Mountain of Torment (USA) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Big Trouble in Little China (USA) (Hack);Big Trouble in Little China (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Blade Buster (World) (Unl);Blade Buster (World) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Blaster reMaster (USA) (Hack);Blaster reMaster (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Bloque Magico, El (Spain) (Unl);Bloque Magico, El (Spain) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Bomb Sweeper (World) (Unl);Bomb Sweeper (World) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Bomber Remilia (Japan) (Hack);Bomber Remilia (Japan) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Booky Man (Spain) (Unl);Booky Man (Spain) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Bowser's Revenge (USA) (Hack);Bowser's Revenge (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Box Boy (World) (Unl);Box Boy (World) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Breakout (USA) (Hack);Breakout (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Bubble Bath Babes (USA) (Unl);Bubble Bath Babes (USA) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Captain America - The Winter Soldier (USA) (Hack);Captain America - The Winter Soldier (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Castlevania - Blood Moon (USA) (Hack);Castlevania - Blood Moon (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Castlevania - Chorus of Mysteries (USA) (Hack);Castlevania - Chorus of Mysteries (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Castlevania V - Legacy (USA) (Hack);Castlevania V - Legacy (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Chase (World) (Unl);Chase (World) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Circus Mario (USA) (Hack);Circus Mario (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Contra - Revenge of the Red Falcon (USA) (Hack);Contra - Revenge of the Red Falcon (USA) (Hack);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
Corre Benny (Spain) (Unl);Corre Benny (Spain) (Unl);Nintendo Entertainment System Hacks;;;;;;;;;;;;;;
