#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 Legends (USA);007 Legends (USA);Nintendo Wii U;;2012;Activision;Shooter;;;;;0;;;;;
Adventure Time - Explore the Dungeon Because I Don't Know! (USA);Adventure Time: Explore the Dungeon Because I Don't Know! (USA);Nintendo Wii U;;2013;D3Publisher;Adventure;;;;;0;;;;;
Adventure Time - Finn and Jake Investigations (USA);Adventure Time: Finn and Jake Investigations (USA);Nintendo Wii U;;2015;Little Orbit;Adventure;;;;;0;;;;;
Amazing Spider-Man 2, The (USA);Amazing Spider-Man 2, The (USA);Nintendo Wii U;;2014;Activision;Action;;;;;0;;;;;
Amazing Spider-Man, The - Ultimate Edition (USA);Amazing Spider-Man, The: Ultimate Edition (USA);Nintendo Wii U;;2013;Activision;Action;;;;;0;;;;;
Angry Birds Star Wars (USA);Angry Birds Star Wars (USA);Nintendo Wii U;;2013;Activision;Miscellaneous;;;;;0;;;;;
Angry Birds Trilogy (USA);Angry Birds Trilogy (USA);Nintendo Wii U;;2013;Activision;Miscellaneous;;;;;0;;;;;
Animal Crossing - amiibo Festival (USA);Animal Crossing: amiibo Festival (USA);Nintendo Wii U;;2015;Nintendo;Board Games;;;;;0;;;;;
Art Academy - Atelier (Europe);Art Academy: Atelier (Europe);Nintendo Wii U;;2015;Nintendo;Educational;;;;;0;;;;;
Assassin's Creed III (USA);Assassin's Creed III (USA);Nintendo Wii U;;2012;Ubisoft;Action;;;;;0;;;;;
Assassin's Creed IV - Black Flag (USA);Assassin's Creed IV: Black Flag (USA);Nintendo Wii U;;2013;Ubisoft;Action;;;;;0;;;;;
Baila Latino (Europe);Baila Latino (Europe);Nintendo Wii U;;2015;Oxygene;Rhythm;;;;;0;;;;;
Barbie Dreamhouse Party (USA);Barbie Dreamhouse Party (USA);Nintendo Wii U;;2013;Little Orbit;Adventure;;;;;0;;;;;
Barbie and Her Sisters - Puppy Rescue (USA);Barbie and Her Sisters: Puppy Rescue (USA);Nintendo Wii U;;2015;Little Orbit;Virtual Life;;;;;0;;;;;
Batman - Arkham City - Armored Edition (USA);Batman: Arkham City - Armored Edition (USA);Nintendo Wii U;;2012;Warner Bros. Interactive Entertainment;Action;;;;;0;;;;;
Batman - Arkham Origins (USA);Batman: Arkham Origins (USA);Nintendo Wii U;;2013;Warner Bros. Interactive Entertainment;Action;;;;;0;;;;;
Bayonetta (USA);Bayonetta (USA);Nintendo Wii U;;2014;Nintendo;Action;;;;;0;;;;;
Bayonetta 2 (USA);Bayonetta 2 (USA);Nintendo Wii U;;2014;Nintendo;Action;;;;;0;;;;;
Ben 10 - Omniverse (USA);Ben 10: Omniverse (USA);Nintendo Wii U;;2012;D3Publisher;Action;;;;;0;;;;;
Ben 10 - Omniverse 2 (USA);Ben 10: Omniverse 2 (USA);Nintendo Wii U;;2013;D3Publisher;Action;;;;;0;;;;;
Book of Unwritten Tales 2, The (USA);Book of Unwritten Tales 2, The (USA);Nintendo Wii U;;2016;Nordic Games Publishing; Adventure;;;;;0;;;;;
Brunswick Pro Bowling (USA);Brunswick Pro Bowling (USA);Nintendo Wii U;;2015;Alliance Digital Media;Sports/Bowling;;;;;0;;;;;
Cabela's Big Game Hunter - Pro Hunts (USA);Cabela's Big Game Hunter: Pro Hunts (USA);Nintendo Wii U;;2014;Activision;Sports/Hunting;;;;;0;;;;;
Cabela's Dangerous Hunts 2013 (USA);Cabela's Dangerous Hunts 2013 (USA);Nintendo Wii U;;2012;Activision;Sports/Hunting;;;;;0;;;;;
Call of Duty - Black Ops II (USA);Call of Duty: Black Ops II (USA);Nintendo Wii U;;2012;Activision;Shooter;;;;;0;;;;;
Call of Duty - Ghosts (USA);Call of Duty: Ghosts (USA);Nintendo Wii U;;2013;Activision;Shooter;;;;;0;;;;;
Captain Toad - Treasure Tracker (USA);Captain Toad: Treasure Tracker (USA);Nintendo Wii U;;2014;Nintendo;Platform;;;;;0;;;;;
Cocoto Magic Circus 2 (Europe);Cocoto Magic Circus 2 (Europe);Nintendo Wii U;;2014;Bigben Interactive;Gun;;;;;0;;;;;
Croods, The - Prehistoric Party! (USA);Croods, The: Prehistoric Party! (USA);Nintendo Wii U;;2013;D3Publisher;Mini-Games;;;;;0;;;;;
Darksiders II (USA);Darksiders II (USA);Nintendo Wii U;;2012;THQ;Action;;;;;0;;;;;
Deus Ex - Human Revolution - Director's Cut (USA);Deus Ex: Human Revolution - Director's Cut (USA);Nintendo Wii U;;2013;Square Enix;Action;;;;;0;;;;;
Devil's Third (USA);Devil's Third (USA);Nintendo Wii U;;2015;Nintendo;Shooter;;;;;0;;;;;
Disney Infinity (USA);Disney Infinity (USA);Nintendo Wii U;;2013;Disney Interactive Studios;Adventure;;;;;0;;;;;
Disney Infinity 2.0 Edition (USA);Disney Infinity 2.0 Edition (USA);Nintendo Wii U;;2014;Disney Interactive Studios;Adventure;;;;;0;;;;;
Disney Infinity 3.0 Edition (USA);Disney Infinity 3.0 Edition (USA);Nintendo Wii U;;2015;Disney Interactive Studios;Adventure;;;;;0;;;;;
Donkey Kong Country - Tropical Freeze (USA);Donkey Kong Country: Tropical Freeze (USA);Nintendo Wii U;;2014;Nintendo;Platform;;;;;0;;;;;
DuckTales - Remastered (USA);DuckTales: Remastered (USA);Nintendo Wii U;;2013;Capcom;Platform;;;;;0;;;;;
ESPN Sports Connection (USA);ESPN Sports Connection (USA);Nintendo Wii U;;2012;Ubisoft;Sports;;;;;0;;;;;
Epic Mickey 2 - The Power of Two (USA);Epic Mickey 2: The Power of Two (USA);Nintendo Wii U;;2012;Disney Interactive Studios;Platform;;;;;0;;;;;
F1 Race Stars - Powered Up Edition (Japan);F1 Race Stars: Powered Up Edition (Japan);Nintendo Wii U;;2013;Codemasters;Racing;;;;;0;;;;;
FAST Racing NEO (Europe);FAST Racing NEO (Europe);Nintendo Wii U;;2016;Shin'en;Driving;;;;;0;;;;;
FIFA Soccer 13 (USA);FIFA Soccer 13 (USA);Nintendo Wii U;;2012;EA Sports;Sports/Soccer;;;;;0;;;;;
Family Party - 30 Great Games Obstacle Arcade (USA);Family Party: 30 Great Games Obstacle Arcade (USA);Nintendo Wii U;;2012;D3Publisher;Mini-Games;;;;;0;;;;;
Fast & Furious - Showdown (USA);Fast & Furious: Showdown (USA);Nintendo Wii U;;2013;Activision;Driving;;;;;0;;;;;
Fit Music for Wii U (Europe);Fit Music for Wii U (Europe);Nintendo Wii U;;2014;Oxygene;Miscellaneous;;;;;0;;;;;
Fujiko F. Fujio Characters Daishuugou! SF Dotabata Party! (Japan);Fujiko F. Fujio Characters Daishuugou! SF Dotabata Party! (Japan);Nintendo Wii U;;2014;Bandai Namco Games;Party;;;;;0;;;;;
Funky Barn (USA);Funky Barn (USA);Nintendo Wii U;;2012;505 Games;Simulation;;;;;0;;;;;
Game & Wario (USA);Game & Wario (USA);Nintendo Wii U;;2013;Nintendo;Mini-Games;;;;;0;;;;;
Game Party Champions (USA);Game Party Champions (USA);Nintendo Wii U;;2012;Warner Bros. Interactive Entertainment;Mini-Games;;;;;0;;;;;
Giana Sisters - Twisted Dreams - Director's Cut (USA);Giana Sisters: Twisted Dreams - Director's Cut (USA);Nintendo Wii U;;2015;Alliance Digital Media;Platform;;;;;0;;;;;
Ginsei Shogi - Kyoutendo Toufuu Raijin (Japan);Ginsei Shogi: Kyoutendo Toufuu Raijin (Japan);Nintendo Wii U;;2016;SilverStar;Board Games;;;;;0;;;;;
Gotouchi Tetsudou - Gotouchi Chara to Nihon Zenkoku no Tabi (Japan);Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi (Japan);Nintendo Wii U;;2014;Bandai Namco Games;Board Games;;;;;0;;;;;
Guitar Hero Live (USA);Guitar Hero Live (USA);Nintendo Wii U;;2015;Activision;Rhythm;;;;;0;;;;;
Hello Kitty Kruisers (USA);Hello Kitty Kruisers (USA);Nintendo Wii U;;2014;Bergsala-Lightweight;Driving;;;;;0;;;;;
Hot Wheels - World's Best Driver (USA);Hot Wheels: World's Best Driver (USA);Nintendo Wii U;;2013;Warner Bros. Interactive Entertainment;Driving;;;;;0;;;;;
How to Train Your Dragon 2 (USA);How to Train Your Dragon 2 (USA);Nintendo Wii U;;2014;Little Orbit;Adventure;;;;;0;;;;;
Hunter's Trophy 2 - Europa (Europe);Hunter's Trophy 2 - Europa (Europe);Nintendo Wii U;;2013;Bigben Interactive;Sports/Hunting;;;;;0;;;;;
Hyrule Warriors (USA);Hyrule Warriors (USA);Nintendo Wii U;;2014;Nintendo;Beat-'Em-Up;;;;;0;;;;;
Injustice - Gods Among Us (USA);Injustice: Gods Among Us (USA);Nintendo Wii U;;2013;Warner Bros. Interactive Entertainment;Fighter;;;;;0;;;;;
Jeopardy! (USA);Jeopardy! (USA);Nintendo Wii U;;2012;THQ;Game Show;;;;;0;;;;;
Jett Tailfin (Europe);Jett Tailfin (Europe);Nintendo Wii U;;2014;Hoplite Research;Driving;;;;;0;;;;;
Just Dance 2014 (Europe);Just Dance 2014 (Europe);Nintendo Wii U;;2013;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 2014 (USA);Just Dance 2014 (USA);Nintendo Wii U;;2013;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 2015 (Europe);Just Dance 2015 (Europe);Nintendo Wii U;;2014;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 2015 (USA);Just Dance 2015 (USA);Nintendo Wii U;;2014;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 2016 (Europe);Just Dance 2016 (Europe);Nintendo Wii U;;2015;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 2016 (USA);Just Dance 2016 (USA);Nintendo Wii U;;2015;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 2017 (USA);Just Dance 2017 (USA);Nintendo Wii U;;2016;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 4 (Europe);Just Dance 4 (Europe);Nintendo Wii U;;2012;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance 4 (USA);Just Dance 4 (USA);Nintendo Wii U;;2012;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance Kids 2014 (USA);Just Dance Kids 2014 (USA);Nintendo Wii U;;2013;Ubisoft;Rhythm;;;;;0;;;;;
Just Dance Wii U (Japan);Just Dance Wii U (Japan);Nintendo Wii U;;2014;Nintendo;Rhythm;;;;;0;;;;;
Just Dance - Disney Party 2 (USA);Just Dance: Disney Party 2 (USA);Nintendo Wii U;;2015;Ubisoft;Rhythm;;;;;0;;;;;
Kamen Rider - Battride War II (Japan);Kamen Rider: Battride War II (Japan);Nintendo Wii U;;2014;Bandai Namco Games;Beat-'Em-Up;;;;;0;;;;;
Kamen Rider - SummonRide (Japan);Kamen Rider: SummonRide (Japan);Nintendo Wii U;;2014;Bandai Namco Games;Action;;;;;0;;;;;
Kirby and the Rainbow Curse (USA);Kirby and the Rainbow Curse (USA);Nintendo Wii U;;2015;Nintendo;Platform;;;;;0;;;;;
Kung Fu Panda - Showdown of Legendary Legends (USA);Kung Fu Panda: Showdown of Legendary Legends (USA);Nintendo Wii U;;2015;Little Orbit;Action;;;;;0;;;;;
LEGO Batman 2 - DC Super Heroes (USA);LEGO Batman 2: DC Super Heroes (USA);Nintendo Wii U;;2013;Warner Bros. Interactive Entertainment;Adventure;;;;;0;;;;;
LEGO Batman 3 - Beyond Gotham (USA);LEGO Batman 3: Beyond Gotham (USA);Nintendo Wii U;;2014;Warner Bros. Interactive Entertainment;Adventure;;;;;0;;;;;
LEGO City Undercover (USA);LEGO City Undercover (USA);Nintendo Wii U;;2013;Nintendo;Adventure;;;;;0;;;;;
