#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons

64streetj;64th. Street - A Detective Story (Japan);Arcade;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);Arcade;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);Arcade;;2001;Unico;Fighter / 2.5D;;;;;0;;;;;
astorm;Alien Storm (World, 2 Players, FD1094 317-0154);Arcade;;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
avsp;Alien vs. Predator (Euro 940520);Arcade;;1994;Capcom;Fighter / 2.5D;;;;;0;;;;;
altbeast;Altered Beast (set 8, 8751 317-0078);Arcade;;1988;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
arabfgt;Arabian Fight (World);Arcade;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
armwara;Armored Warriors (Asia 941024);Arcade;armwar;1994;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
avengers;Avengers (US set 1);Arcade;;1987;Capcom;Fighter / Vertical;;;;;0;;;;;
brapboys;B.Rap Boys (World);Arcade;;1992;Kaneko;Fighter / 2.5D;;;;;0;;;;;
baddudes;Bad Dudes vs. Dragonninja (US);Arcade;;1988;Data East USA;Platform / Fighter Scrolling;;;;;0;;;;;
batcir;Battle Circuit (Euro 970319);Arcade;;1997;Capcom;Fighter / 2.5D;;;;;0;;;;;
btoads;Battletoads;Arcade;;1994;Rare / Electronic Arts;Fighter / 2.5D;;;;;0;;;;;
bigfight;Big Fight - Big Trouble In The Atlantic Ocean;Arcade;;1992;Tatsumi;Fighter / 2.5D;;;;;0;;;;;
bmaster;Blade Master (World);Arcade;;1991;Irem;Fighter / 2.5D;;;;;0;;;;;
burningf;Burning Fight (NGM-018)(NGH-018);Arcade;;1991;SNK;Fighter / 2.5D;;;;;0;;;;;
dino;Cadillacs and Dinosaurs (World 930201);Arcade;;1993;Capcom;Fighter / 2.5D;;;;;0;;;;;
captaven;Captain America and The Avengers (Asia Rev 1.4);Arcade;;1991;Data East Corporation;Fighter / 2.5D;;;;;0;;;;;
captcomm;Captain Commando (World 911202);Arcade;;1991;Capcom;Fighter / 2.5D;;;;;0;;;;;
edrandy;The Cliffhanger - Edward Randy (World ver 3);Arcade;;1990;Data East Corporation;Fighter / 2D;;;;;0;;;;;
ctribe;The Combatribes (US);Arcade;;1990;Technos Japan;Fighter / 2.5D;;;;;0;;;;;
crysking;The Crystal of Kings;Arcade;;2001;BrezzaSoft;Fighter / 2.5D;;;;;0;;;;;
crimfght;Crime Fighters (US 4 players);Arcade;;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
