#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons

alexkidd;Alex Kidd The Lost Stars (set 2, unprotected);Arcade;;1986;Sega;Platform / Run Jump Scrolling;;;;;0;;;;;
arabian;Arabian;Arcade;;1983;Sun Electronics;Platform / Run Jump;;;;;0;;;;;
athena;Athena;Arcade;;1986;SNK;Platform / Fighter Scrolling;;;;;0;;;;;
bigkarnk;Big Karnak;Arcade;;1991;Gaelco;Platform / Fighter Scrolling;;;;;0;;;;;
bombjack;Bomb Jack (set 1);Arcade;;1984;Tehkan;Platform / Run Jump;;;;;0;;;;;
bonkadv;B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin;Arcade;;1994;Kaneko;Platform / Run Jump Scrolling;;;;;0;;;;;
blktiger;Black Tiger;Arcade;;1987;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);Arcade;;1990;Alpha Denshi Co.;Platform / Fighter Scrolling;;;;;0;;;;;
bnzabros;Bonanza Bros (US, Floppy DS3-5000-07d? Based);Arcade;;1990;Sega;Platform / Shooter;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);Arcade;;1986;Taito Corporation;Platform / Run Jump;;;;;0;;;;;
bublbob2;Bubble Bobble II (Ver 2.5O 1994/10/05);Arcade;;1994;Taito Corporation Japan;Platform / Run Jump;;;;;0;;;;;
bubblem;Bubble Memories The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);Arcade;;1995;Taito Corporation Japan;Platform / Run Jump;;;;;0;;;;;
cadash;Cadash (World);Arcade;;1989;Taito Corporation Japan;Platform / Fighter Scrolling;;;;;0;;;;;
cninja;Caveman Ninja (World ver 4);Arcade;;1991;Data East Corporation;Platform / Shooter Scrolling;;;;;0;;;;;
chinagat;China Gate (US);Arcade;;1988;Technos Japan (Taito / Romstar license);Platform / Fighter;;;;;0;;;;;
dondokod;Don Doko Don (World);Arcade;;1989;Taito Corporation Japan;Platform / Run Jump;;;;;0;;;;;
drgnbstr;Dragon Buster;Arcade;;1984;Namco;Platform / Fighter Scrolling;;;;;0;;;;;
