
2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It);2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En,Ja,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;Sega;Fighter/Pinball;;;;;0;;;;;
2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En,Ja,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2006;Sega;Pinball/Puzzle;;;;;0;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;0;;;;;
3-D Pinball - Pinball Power (Europe);3-D Pinball - Pinball Power (Europe);Commodore 64;;1990;Mastertronic;Action;;;;;0;;;;;
3-D Ultra Pinball - Thrillride (USA);3-D Ultra Pinball - Thrillride (USA);Nintendo Game Boy Color;;1995;Sierra Entertainment;Pinball;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Amstrad CPC;;1988;Codemasters;Pinball;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Commodore 64;;1989;Codemasters;Action;;;;;0;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Sinclair ZX Spectrum;;1990;Codemasters;Pinball;;;;;0;;;;;
Alien Crush (USA);Alien Crush (USA);NEC TurboGrafx-16;;1989;Turbo Technologies, Inc.;Pinball;;;;;0;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PSP;;2002;Gotham Games;Pinball;;;;;0;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PlayStation;;2002;Gotham Games;Pinball;;;;;0;;;;;
Battle Pinball (Japan);Battle Pinball (Japan);Nintendo Super Famicom;;1995;Banpresto;Pinball;;;;;0;;;;;
Bumper Bash (USA);Bumper Bash (USA);Atari 2600;;1983;Spectravideo;Pinball;;;;;0;;;;;
Cobra Pinball (Europe);Cobra Pinball (Europe);Amstrad CPC;;1985;Cobra Soft;Pinball;;;;;0;;;;;
Combo Pack - Sonic Advance + Sonic Pinball Party (USA) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It);Combo Pack - Sonic Advance + Sonic Pinball Party (USA) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;Sega;Pinball/Platform;;;;;0;;;;;
Crash Bandicoot Purple - Ripto's Rampage (USA);Crash Bandicoot Purple - Ripto's Rampage (USA);Nintendo Game Boy Advance;;2004;VU Games;Pinball;;;;;0;;;;;
Crue Ball - Heavy Metal Pinball (USA, Europe);Crue Ball - Heavy Metal Pinball (USA, Europe);Sega Genesis;;1992;NuFX;Pinball;;;;;0;;;;;
Devil Crash - Naxat Pinball (Japan);Devil Crash - Naxat Pinball;NEC PC Engine;;;;;;;;;0;;;;;
