#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Alien_Isolation;Alien_Isolation;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
Alien_vs_Predator;Alien_vs_Predator;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
Aliens;Aliens;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
AmericanDad;AmericanDad;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
Archer;Archer;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
BioLab;Biolab;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
BobsBurgers;BobsBurgers;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
CastleStorm;CastleStorm;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
EarthDefense;Earth Defense;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
Eldorado;El Dorado;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
Looter;Epic Quest;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
Excalibur;Excalibur;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
FamilyGuy;FamilyGuy;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
Football_Milan;Football Super League - A.C. Milan;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football_Roma;Football Super League - A.S. Roma;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football_Arsenal;Football Super League - Arsenal;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football_Barcelona;Football Super League - FC Barcelona;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football_Juventus;Football Super League - Juventus;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football_Liverpool;Football Super League - Liverpool F.C.;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football_RealMadrid;Football Super League - Real Madrid C.F.;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
Football;Football Super League - Zen Studios F.C.;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_Ant-Man;MARVEL_Ant-Man;Pinball FX2;;2015;Zen Studios;Pinball;;;;;0;;;;;
Mars;Mars;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_Blade;Marvel - Blade;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_CaptainAmerica;Marvel - Captain America;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_CivilWar;Marvel - Civil War;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_Deadpool;Marvel - Deadpool;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_DrStrange;Marvel - Doctor Strange;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_FantasticFour;Marvel - Fantastic Four;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_FearItSelf;Marvel - Fear Itself;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_GhostRider;Marvel - Ghost Rider;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_Guardians;Marvel - Guardians of the Galaxy;Pinball FX2;;2014;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_IronMan;Marvel - Iron Man;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
MARVEL_MoonKnight;Marvel - Moon Knight;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
