#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
5 in 1 Funpak (USA);5 in 1 Funpak (USA);Sega Gamegear;;;;;;;;;;;;;;
Addams Family, The (World);Addams Family, The (World);Sega Gamegear;;;;;;;;;;;;;;
Adventures of Batman & Robin, The (USA, Europe);Adventures of Batman & Robin, The (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Aerial Assault (World);Aerial Assault (World);Sega Gamegear;;;;;;;;;;;;;;
Aladdin (USA, Europe);Aladdin (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Alien 3 (USA, Europe);Alien 3 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Alien Syndrome (USA, Europe);Alien Syndrome (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Sega Gamegear;;;;;;;;;;;;;;
Arcade Classics (USA);Arcade Classics (USA);Sega Gamegear;;;;;;;;;;;;;;
Arch Rivals (USA);Arch Rivals (USA);Sega Gamegear;;;;;;;;;;;;;;
Arena (USA, Europe);Arena (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Ariel the Little Mermaid (USA, Europe);Ariel the Little Mermaid (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Asterix and the Great Rescue (USA);Asterix and the Great Rescue (USA);Sega Gamegear;;;;;;;;;;;;;;
Ax Battler - A Legend of Golden Axe (USA, Europe);Ax Battler - A Legend of Golden Axe (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Ayrton Senna's Super Monaco GP II (USA, Europe);Ayrton Senna's Super Monaco GP II (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Baku Baku Animal (USA);Baku Baku Animal (USA);Sega Gamegear;;;;;;;;;;;;;;
Bartman Meets Radioactive Man (USA, Europe);Bartman Meets Radioactive Man (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Batman Forever (World);Batman Forever (World);Sega Gamegear;;;;;;;;;;;;;;
Batman Returns (World);Batman Returns (World);Sega Gamegear;;;;;;;;;;;;;;
Batter Up (USA, Europe);Batter Up (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Battleship (USA, Europe);Battleship (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Battletoads (USA);Battletoads (USA);Sega Gamegear;;;;;;;;;;;;;;
Beavis and Butt-head (USA);Beavis and Butt-head (USA);Sega Gamegear;;;;;;;;;;;;;;
Berenstain Bears' Camping Adventure, The (USA);Berenstain Bears' Camping Adventure, The (USA);Sega Gamegear;;;;;;;;;;;;;;
Bonkers Wax Up! (USA, Europe);Bonkers Wax Up! (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
