#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Action Fighter (Japan, Europe) (Rev 1);Action Fighter (Japan, Europe) (Rev 1);Sega MarkIII;;;;;;;;;;;;;;
After Burner (USA);After Burner (USA);Sega MarkIII;;;;;;;;;;;;;;
After Burner (World);After Burner (World);Sega MarkIII;;;;;;;;;;;;;;
Aleste (Japan);Aleste (Japan);Sega MarkIII;;;;;;;;;;;;;;
Alex Kidd - The Lost Stars (World);Alex Kidd - The Lost Stars (World);Sega MarkIII;;;;;;;;;;;;;;
Alex Kidd BMX Trial (Japan);Alex Kidd BMX Trial (Japan);Sega MarkIII;;;;;;;;;;;;;;
Alex Kidd no Miracle World (Japan);Alex Kidd no Miracle World (Japan);Sega MarkIII;;;;;;;;;;;;;;
Alien Syndrome (Japan);Alien Syndrome (Japan);Sega MarkIII;;;;;;;;;;;;;;
Anmitsu Hime (Japan);Anmitsu Hime (Japan);Sega MarkIII;;;;;;;;;;;;;;
Argos no Juujiken (Japan);Argos no Juujiken (Japan);Sega MarkIII;;;;;;;;;;;;;;
Ashura (Japan);Ashura (Japan);Sega MarkIII;;;;;;;;;;;;;;
Astro Warrior (Japan, USA);Astro Warrior (Japan, USA);Sega MarkIII;;;;;;;;;;;;;;
Aztec Adventure - The Golden Road to Paradise (World);Aztec Adventure - The Golden Road to Paradise (World);Sega MarkIII;;;;;;;;;;;;;;
Blade Eagle (World);Blade Eagle (World);Sega MarkIII;;;;;;;;;;;;;;
Bomber Raid (World);Bomber Raid (World);Sega MarkIII;;;;;;;;;;;;;;
Captain Silver (Japan, Europe);Captain Silver (Japan, Europe);Sega MarkIII;;;;;;;;;;;;;;
Chouon Senshi Borgman (Japan);Chouon Senshi Borgman (Japan);Sega MarkIII;;;;;;;;;;;;;;
Circuit, The (Japan);Circuit, The (Japan);Sega MarkIII;;;;;;;;;;;;;;
Doki Doki Penguin Land - Uchuu Daibouken (Japan);Doki Doki Penguin Land - Uchuu Daibouken (Japan);Sega MarkIII;;;;;;;;;;;;;;
Double Dragon (World);Double Dragon (World);Sega MarkIII;;;;;;;;;;;;;;
Double Target - Cynthia no Nemuri (Japan);Double Target - Cynthia no Nemuri (Japan);Sega MarkIII;;;;;;;;;;;;;;
Enduro Racer (Japan);Enduro Racer (Japan);Sega MarkIII;;;;;;;;;;;;;;
Family Games (Japan);Family Games (Japan);Sega MarkIII;;;;;;;;;;;;;;
Fantasy Zone (Japan);Fantasy Zone (Japan);Sega MarkIII;;;;;;;;;;;;;;
Fantasy Zone II - Opa-Opa no Namida (Japan);Fantasy Zone II - Opa-Opa no Namida (Japan);Sega MarkIII;;;;;;;;;;;;;;
Final Bubble Bobble (Japan);Final Bubble Bobble (Japan);Sega MarkIII;;;;;;;;;;;;;;
Galactic Protector (Japan);Galactic Protector (Japan);Sega MarkIII;;;;;;;;;;;;;;
Gokuaku Doumei Dump Matsumoto (Japan);Gokuaku Doumei Dump Matsumoto (Japan);Sega MarkIII;;;;;;;;;;;;;;
Great Basketball (World);Great Basketball (World);Sega MarkIII;;;;;;;;;;;;;;
Great Football (World);Great Football (World);Sega MarkIII;;;;;;;;;;;;;;
Great Golf (Japan);Great Golf (Japan);Sega MarkIII;;;;;;;;;;;;;;
Great Volleyball (Japan);Great Volleyball (Japan);Sega MarkIII;;;;;;;;;;;;;;
Haja no Fuuin (Japan);Haja no Fuuin (Japan);Sega MarkIII;;;;;;;;;;;;;;
High School! Kimengumi (Japan);High School! Kimengumi (Japan);Sega MarkIII;;;;;;;;;;;;;;
Hokuto no Ken (Japan);Hokuto no Ken (Japan);Sega MarkIII;;;;;;;;;;;;;;
Hoshi wo Sagasite... (Japan);Hoshi wo Sagasite... (Japan);Sega MarkIII;;;;;;;;;;;;;;
Kenseiden (Japan);Kenseiden (Japan);Sega MarkIII;;;;;;;;;;;;;;
Kujaku Ou (Japan);Kujaku Ou (Japan);Sega MarkIII;;;;;;;;;;;;;;
Lord of Sword (Japan);Lord of Sword (Japan);Sega MarkIII;;;;;;;;;;;;;;
Loretta no Shouzou (Japan);Loretta no Shouzou (Japan);Sega MarkIII;;;;;;;;;;;;;;
Mahjong Sengoku Jidai (Japan);Mahjong Sengoku Jidai (Japan);Sega MarkIII;;;;;;;;;;;;;;
Makai Retsuden (Japan);Makai Retsuden (Japan);Sega MarkIII;;;;;;;;;;;;;;
Maou Golvellius (Japan);Maou Golvellius (Japan);Sega MarkIII;;;;;;;;;;;;;;
Maze Walker (Japan);Maze Walker (Japan);Sega MarkIII;;;;;;;;;;;;;;
Megumi Rescue (Japan);Megumi Rescue (Japan);Sega MarkIII;;;;;;;;;;;;;;
Nekkyuu Koushien (Japan);Nekkyuu Koushien (Japan);Sega MarkIII;;;;;;;;;;;;;;
Ninja (Japan);Ninja (Japan);Sega MarkIII;;;;;;;;;;;;;;
Opa Opa (Japan);Opa Opa (Japan);Sega MarkIII;;;;;;;;;;;;;;
Out Run (World);Out Run (World);Sega MarkIII;;;;;;;;;;;;;;
Phantasy Star (Japan);Phantasy Star (Japan);Sega MarkIII;;;;;;;;;;;;;;
Pro Yakyuu Pennant Race, The (Japan);Pro Yakyuu Pennant Race, The (Japan);Sega MarkIII;;;;;;;;;;;;;;
R-Type (World);R-Type (World);Sega MarkIII;;;;;;;;;;;;;;
Rocky (World);Rocky (World);Sega MarkIII;;;;;;;;;;;;;;
SDI (Japan);SDI (Japan);Sega MarkIII;;;;;;;;;;;;;;
Shinobi (Japan);Shinobi (Japan);Sega MarkIII;;;;;;;;;;;;;;
