#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
astrass;Astra SuperStars (J 980514 V1.002);Arcade;;1998;Sunsoft;Fighter;;;;;0;;;;;
astrass;Astra SuperStars (J 980514 V1.002);Final Burn Alpha;;1998;Sunsoft;Fighter;;;;;0;;;;;
astrass;Astra SuperStars (J 980514 V1.002);Mame (Advance);;1998;Sunsoft;Fighter;;;;;0;;;;;
astrass;Astra SuperStars (J 980514 V1.002);Mame (Libretro);;1998;Sunsoft;Fighter;;;;;0;;;;;
astrass;Astra SuperStars (J 980514 V1.002);Mame (Mame4all);;1998;Sunsoft;Fighter;;;;;0;;;;;
astrass;Astra SuperStars (J 980514 V1.002);Mame;;1998;Sunsoft;Fighter;;;;;0;;;;;
bakubaku;Baku Baku Animal (J 950407 V1.000);Arcade;;1995;Sega;Puzzle;;;;;0;;;;;
bakubaku;Baku Baku Animal (J 950407 V1.000);Final Burn Alpha;;1995;Sega;Puzzle;;;;;0;;;;;
bakubaku;Baku Baku Animal (J 950407 V1.000);Mame (Advance);;1995;Sega;Puzzle;;;;;0;;;;;
bakubaku;Baku Baku Animal (J 950407 V1.000);Mame (Libretro);;1995;Sega;Puzzle;;;;;0;;;;;
bakubaku;Baku Baku Animal (J 950407 V1.000);Mame (Mame4all);;1995;Sega;Puzzle;;;;;0;;;;;
bakubaku;Baku Baku Animal (J 950407 V1.000);Mame;;1995;Sega;Puzzle;;;;;0;;;;;
batmanfr;Batman Forever (JUE 960507 V1.000);Arcade;;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
batmanfr;Batman Forever (JUE 960507 V1.000);Final Burn Alpha;;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
batmanfr;Batman Forever (JUE 960507 V1.000);Mame (Advance);;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
batmanfr;Batman Forever (JUE 960507 V1.000);Mame (Libretro);;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
batmanfr;Batman Forever (JUE 960507 V1.000);Mame (Mame4all);;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
batmanfr;Batman Forever (JUE 960507 V1.000);Mame;;1996;Acclaim;Beat-'Em-Up;;;;;0;;;;;
colmns97;Columns '97 (JET 961209 V1.000);Arcade;;1996;Sega;Puzzle;;;;;0;;;;;
colmns97;Columns '97 (JET 961209 V1.000);Final Burn Alpha;;1996;Sega;Puzzle;;;;;0;;;;;
colmns97;Columns '97 (JET 961209 V1.000);Mame (Advance);;1996;Sega;Puzzle;;;;;0;;;;;
colmns97;Columns '97 (JET 961209 V1.000);Mame (Libretro);;1996;Sega;Puzzle;;;;;0;;;;;
colmns97;Columns '97 (JET 961209 V1.000);Mame (Mame4all);;1996;Sega;Puzzle;;;;;0;;;;;
colmns97;Columns '97 (JET 961209 V1.000);Mame;;1996;Sega;Puzzle;;;;;0;;;;;
cotton2;Cotton 2 (JUET 970902 V1.000);Arcade;;1997;Success;Shooter;;;;;0;;;;;
cotton2;Cotton 2 (JUET 970902 V1.000);Final Burn Alpha;;1997;Success;Shooter;;;;;0;;;;;
cotton2;Cotton 2 (JUET 970902 V1.000);Mame (Advance);;1997;Success;Shooter;;;;;0;;;;;
cotton2;Cotton 2 (JUET 970902 V1.000);Mame (Libretro);;1997;Success;Shooter;;;;;0;;;;;
cotton2;Cotton 2 (JUET 970902 V1.000);Mame (Mame4all);;1997;Success;Shooter;;;;;0;;;;;
cotton2;Cotton 2 (JUET 970902 V1.000);Mame;;1997;Success;Shooter;;;;;0;;;;;
cottonbm;Cotton Boomerang (JUET 980709 V1.000);Arcade;;1998;Success;Shooter;;;;;0;;;;;
cottonbm;Cotton Boomerang (JUET 980709 V1.000);Final Burn Alpha;;1998;Success;Shooter;;;;;0;;;;;
cottonbm;Cotton Boomerang (JUET 980709 V1.000);Mame (Advance);;1998;Success;Shooter;;;;;0;;;;;
cottonbm;Cotton Boomerang (JUET 980709 V1.000);Mame (Libretro);;1998;Success;Shooter;;;;;0;;;;;
cottonbm;Cotton Boomerang (JUET 980709 V1.000);Mame (Mame4all);;1998;Success;Shooter;;;;;0;;;;;
