#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Batsugun (Japan);Batsugun (Japan);Sega Saturn;;;;;;;;;0;;;;;
Battle Garegga (Japan);Battle Garegga (Japan);Sega Saturn;;;;;;;;;0;;;;;
Blast Wind (Japan);Blast Wind (Japan);Sega Saturn;;;;;;;;;0;;;;;
Bokan to Ippatsu! Doronboo Kanpekiban (Japan);Bokan to Ippatsu! Doronboo Kanpekiban (Japan);Sega Saturn;;;;;;;;;0;;;;;
Cho Aniki - Kyuukyoku ... Otoko no Gyakushuu (Japan);Cho Aniki - Kyuukyoku ... Otoko no Gyakushuu (Japan);Sega Saturn;;;;;;;;;0;;;;;
Choujikuu Yousei Macross - Ai Oboete Imasu ka (Japan) (Disc 1);Choujikuu Yousei Macross - Ai Oboete Imasu ka (Japan) (Disc 1);Sega Saturn;;;;;;;;;0;;;;;
Choujikuu Yousei Macross - Ai Oboete Imasu ka (Japan) (Disc 2);Choujikuu Yousei Macross - Ai Oboete Imasu ka (Japan) (Disc 2);Sega Saturn;;;;;;;;;0;;;;;
Choujikuu Yousei Macross - Ai Oboete Imasu ka (Japan);Choujikuu Yousei Macross - Ai Oboete Imasu ka (Japan);Sega Saturn;;;;;;;;;0;;;;;
Cotton 2 (Japan);Cotton 2 (Japan);Sega Saturn;;;;;;;;;0;;;;;
Cotton Boomerang (Japan);Cotton Boomerang (Japan);Sega Saturn;;;;;;;;;0;;;;;
Darius Gaiden (USA);Darius Gaiden (USA);Sega Saturn;;;;;;;;;0;;;;;
Darius II (Europe);Darius II (Europe);Sega Saturn;;;;;;;;;0;;;;;
Detana TwinBee Yahoo! Deluxe Pack (Japan);Detana TwinBee Yahoo! Deluxe Pack (Japan);Sega Saturn;;;;;;;;;0;;;;;
DoDonPachi (Japan);DoDonPachi (Japan);Sega Saturn;;;;;;;;;0;;;;;
Donpachi (Japan);Donpachi (Japan);Sega Saturn;;;;;;;;;0;;;;;
Game Tengoku (Japan);Game Tengoku (Japan);Sega Saturn;;;;;;;;;0;;;;;
