#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
astormj;Alien Storm (Japan, 2 Players, FD1094 317-0146);Arcade;astorm;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astormj;Alien Storm (Japan, 2 Players, FD1094 317-0146);Final Burn Alpha;astorm;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astormj;Alien Storm (Japan, 2 Players, FD1094 317-0146);MAME (Advance);astorm;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astormj;Alien Storm (Japan, 2 Players, FD1094 317-0146);MAME (Libretro);astorm;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astormj;Alien Storm (Japan, 2 Players, FD1094 317-0146);MAME (Mame4all);astorm;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
astormj;Alien Storm (Japan, 2 Players, FD1094 317-0146);MAME;astorm;1990;Sega;Platform / Shooter Scrolling;;;;;0;;;;;
bloxeed;Bloxeed (Japan, FD1094 317-0139);Arcade;;1989;Sega;Puzzle / Drop;;;;;0;;;;;
bloxeed;Bloxeed (Japan, FD1094 317-0139);Final Burn Alpha;;1989;Sega;Puzzle / Drop;;;;;0;;;;;
bloxeed;Bloxeed (Japan, FD1094 317-0139);MAME (Advance);;1989;Sega;Puzzle / Drop;;;;;0;;;;;
bloxeed;Bloxeed (Japan, FD1094 317-0139);MAME (Libretro);;1989;Sega;Puzzle / Drop;;;;;0;;;;;
bloxeed;Bloxeed (Japan, FD1094 317-0139);MAME (Mame4all);;1989;Sega;Puzzle / Drop;;;;;0;;;;;
bloxeed;Bloxeed (Japan, FD1094 317-0139);MAME;;1989;Sega;Puzzle / Drop;;;;;0;;;;;
cltchitr;Clutch Hitter (US, FD1094 317-0176);Arcade;;1991;Sega;Sports / Baseball;;;;;0;;;;;
cltchitr;Clutch Hitter (US, FD1094 317-0176);Final Burn Alpha;;1991;Sega;Sports / Baseball;;;;;0;;;;;
cltchitr;Clutch Hitter (US, FD1094 317-0176);MAME (Advance);;1991;Sega;Sports / Baseball;;;;;0;;;;;
cltchitr;Clutch Hitter (US, FD1094 317-0176);MAME (Libretro);;1991;Sega;Sports / Baseball;;;;;0;;;;;
cltchitr;Clutch Hitter (US, FD1094 317-0176);MAME (Mame4all);;1991;Sega;Sports / Baseball;;;;;0;;;;;
cltchitr;Clutch Hitter (US, FD1094 317-0176);MAME;;1991;Sega;Sports / Baseball;;;;;0;;;;;
ddcrew;D. D. Crew (World, 3 Players, FD1094 317-0190);Arcade;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
ddcrew;D. D. Crew (World, 3 Players, FD1094 317-0190);Final Burn Alpha;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
ddcrew;D. D. Crew (World, 3 Players, FD1094 317-0190);MAME (Advance);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
ddcrew;D. D. Crew (World, 3 Players, FD1094 317-0190);MAME (Libretro);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
ddcrew;D. D. Crew (World, 3 Players, FD1094 317-0190);MAME (Mame4all);;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
ddcrew;D. D. Crew (World, 3 Players, FD1094 317-0190);MAME;;1991;Sega;Fighter / 2.5D;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);Arcade;;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);Final Burn Alpha;;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);MAME (Advance);;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);MAME (Libretro);;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);MAME (Mame4all);;1992;Sega;Shooter / Walking;;;;;0;;;;;
desertbr;Desert Breaker (World, FD1094 317-0196);MAME;;1992;Sega;Shooter / Walking;;;;;0;;;;;
hamaway;Hammer Away (Japan, prototype);Arcade;;1991;Sega / Santos;Shooter / Flying Vertical;;;;;0;;;;;
hamaway;Hammer Away (Japan, prototype);Final Burn Alpha;;1991;Sega / Santos;Shooter / Flying Vertical;;;;;0;;;;;
hamaway;Hammer Away (Japan, prototype);MAME (Advance);;1991;Sega / Santos;Shooter / Flying Vertical;;;;;0;;;;;
hamaway;Hammer Away (Japan, prototype);MAME (Libretro);;1991;Sega / Santos;Shooter / Flying Vertical;;;;;0;;;;;
hamaway;Hammer Away (Japan, prototype);MAME (Mame4all);;1991;Sega / Santos;Shooter / Flying Vertical;;;;;0;;;;;
hamaway;Hammer Away (Japan, prototype);MAME;;1991;Sega / Santos;Shooter / Flying Vertical;;;;;0;;;;;
lghost;Laser Ghost (World, FD1094 317-0166);Arcade;;1990;Sega;Shooter / Gun;;;;;0;;;;;
lghost;Laser Ghost (World, FD1094 317-0166);Final Burn Alpha;;1990;Sega;Shooter / Gun;;;;;0;;;;;
lghost;Laser Ghost (World, FD1094 317-0166);MAME (Advance);;1990;Sega;Shooter / Gun;;;;;0;;;;;
lghost;Laser Ghost (World, FD1094 317-0166);MAME (Libretro);;1990;Sega;Shooter / Gun;;;;;0;;;;;
lghost;Laser Ghost (World, FD1094 317-0166);MAME (Mame4all);;1990;Sega;Shooter / Gun;;;;;0;;;;;
lghost;Laser Ghost (World, FD1094 317-0166);MAME;;1990;Sega;Shooter / Gun;;;;;0;;;;;
mwalk;Michael Jackson's Moonwalker (World, FD1094/8751 317-0159);Arcade;;1990;Sega;Maze / Fighter;;;;;0;;;;;
mwalk;Michael Jackson's Moonwalker (World, FD1094/8751 317-0159);Final Burn Alpha;;1990;Sega;Maze / Fighter;;;;;0;;;;;
mwalk;Michael Jackson's Moonwalker (World, FD1094/8751 317-0159);MAME (Advance);;1990;Sega;Maze / Fighter;;;;;0;;;;;
mwalk;Michael Jackson's Moonwalker (World, FD1094/8751 317-0159);MAME (Libretro);;1990;Sega;Maze / Fighter;;;;;0;;;;;
mwalk;Michael Jackson's Moonwalker (World, FD1094/8751 317-0159);MAME (Mame4all);;1990;Sega;Maze / Fighter;;;;;0;;;;;
mwalk;Michael Jackson's Moonwalker (World, FD1094/8751 317-0159);MAME;;1990;Sega;Maze / Fighter;;;;;0;;;;;
shdancer;Shadow Dancer (World);Arcade;;1989;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
shdancer;Shadow Dancer (World);Final Burn Alpha;;1989;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
shdancer;Shadow Dancer (World);MAME (Advance);;1989;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
shdancer;Shadow Dancer (World);MAME (Libretro);;1989;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
shdancer;Shadow Dancer (World);MAME (Mame4all);;1989;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
shdancer;Shadow Dancer (World);MAME;;1989;Sega;Platform / Fighter Scrolling;;;;;0;;;;;
wwallyj;Wally wo Sagase! (rev B, Japan, FD1094 317-0197B);Arcade;;1992;Sega;Multiplay / Mini-Games;;;;;0;;;;;
wwallyj;Wally wo Sagase! (rev B, Japan, FD1094 317-0197B);Final Burn Alpha;;1992;Sega;Multiplay / Mini-Games;;;;;0;;;;;
