#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
10101: Will the Starship (Japan);10101: Will the Starship (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
3D Shooting Tsukuru (Japan);3D Shooting Tsukuru (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
3x3 Eyes: Kyuusei Koushu (Japan);3x3 Eyes: Kyuusei Koushu (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
3x3 Eyes: Tenrinou Genmu3x3 Eyes: Tenrinou GenmuSony Playstation Japan;;;;;;;;;0;;;;;
4th Super Robot Wars Scramble (Japan);4th Super Robot Wars Scramble (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
70's Robot Anime Geppy-X (Japan);70's Robot Anime Geppy-X (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
98 Kōshien (Japan);98 Kōshien (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
99 Kōshien (Japan);99 Kōshien (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
A.IV Evolution: A-Ressha de Ikou 4 (Japan);A.IV Evolution: A-Ressha de Ikou 4 (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
AbalaBurn (Japan);AbalaBurn (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Acid (Japan);Acid (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Aconcagua (Japan);Aconcagua (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Advan Racing (Japan);Advan Racing (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Advanced V.G. (Japan);Advanced V.G. (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Advanced V.G. 2 (Japan);Advanced V.G. 2 (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Afraid Gear (Japan);Afraid Gear (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Afraid Gear Another (Japan);Afraid Gear Another (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Ainori (Japan);Ainori (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Alice in Cyberland (Japan);Alice in Cyberland (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
ALIVE (Japan);ALIVE (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
All Woman Pro Wrestling (Japan);All Woman Pro Wrestling (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Angel Blade: Neo Tokyo Guardians (Japan);Angel Blade: Neo Tokyo Guardians (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Angel Graffiti: Anathe no Profile (Japan);Angel Graffiti: Anathe no Profile (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Animetic Story Game 1: Cardcaptor Sakura (Japan);Animetic Story Game 1: Cardcaptor Sakura (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Aquanaut's Holiday: Memories of Summer 1996 (Japan);Aquanaut's Holiday: Memories of Summer 1996 (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Arc the Lad (Japan);Arc the Lad (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Arc the Lad II (Japan);Arc the Lad II (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Arc the Lad III (Japan);Arc the Lad III (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Arc the Lad: Monster Game with Casino Game (Japan);Arc the Lad: Monster Game with Casino Game (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Arkanoid Returns (Japan);Arkanoid Returns (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Armored Trooper Votoms: Lightning Slash (Japan);Armored Trooper Votoms: Lightning Slash (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
Assault Suits Valken 2 (Japan);Assault Suits Valken 2 (Japan);Sony Playstation Japan;;;;;;;;;0;;;;;
