Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Nintendo Game Boy Advance;;2004;Majesco Games;Miscellaneous;;;;;0;;;;;
Nickelodeon Teenage Mutant Ninja Turtles (USA);Nickelodeon Teenage Mutant Ninja Turtles (USA);Nintendo 3DS;;2013;Activision;Beat-'Em-Up;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II The Arcade Game (PlayChoice-10);Arcade;;1990;Konami (Nintendo of America license);Fighter / 2.5D;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II The Arcade Game (PlayChoice-10);MAME (Advance);;1990;Konami (Nintendo of America license);Fighter / 2.5D;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II The Arcade Game (PlayChoice-10);MAME (Libretro);;1990;Konami (Nintendo of America license);Fighter / 2.5D;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II The Arcade Game (PlayChoice-10);MAME (Mame4all);;1990;Konami (Nintendo of America license);Fighter / 2.5D;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II The Arcade Game (PlayChoice-10);MAME;;1990;Konami (Nintendo of America license);Fighter / 2.5D;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II: The Arcade Game (PlayChoice-10);Arcade;;1990;Konami (Nintendo of America license);Beat-'Em-Up;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II: The Arcade Game (PlayChoice-10);Final Burn Alpha;;1990;Konami (Nintendo of America license);Beat-'Em-Up;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II: The Arcade Game (PlayChoice-10);MAME (Advance);;1990;Konami (Nintendo of America license);Beat-'Em-Up;;;;;0;;;;;
pc_tmnt2;Teenage Mutant Ninja Turtles II: The Arcade Game (PlayChoice-10);MAME (Libretro);;1990;Konami (Nintendo of America license);Beat-'Em-Up;;;;;0;;;;;
