#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
250cc_VP91x_1.1FS;250CC;Visual Pinball;;1992;INDER;;;;;;0;;;;;
AbraCaDabra_FS_B2S;ABRACADABRA;Visual Pinball;;1975;Gottlieb;;;;;;0;;;;;
ACDC_B2S_FS;AC/DC;Visual Pinball;;2012;Original;;;;;;0;;;;;
Airborne (Capcom)(1996)(Bodydump Jimmyfingers)(1.0)(FS);AIRBORNE;Visual Pinball;;1996;Capcom;;;;;;0;;;;;
Ali_VP91x_1.3FS;ALI;Visual Pinball;;1980;Stern;;;;;;0;;;;;
Apollo 13_VP9.2_1.0.2_FS;APOLLO 13;Visual Pinball;;1995;Sega;;;;;;0;;;;;
Atlantis_VP9.2_1.2_FS;ATLANTIS;Visual Pinball;;1989;Bally;;;;;;0;;;;;
AFM_vp914_v2.4FS;ATTACK FROM MARS;Visual Pinball;;1995;Bally;;;;;;0;;;;;
Attack_From_Mars_NIGHT MOD_VP920_v3.5_FS_3-WAY-GI;ATTACK FROM MARS NIGHT;Visual Pinball;;1995;Bally;;;;;;0;;;;;
ARFM_VP91x_v2.3FS;ATTACK REVENGE FROM MARS;Visual Pinball;;1999;Bally;;;;;;0;;;;;
Austin Powers (Stern 2001) HR_ FS_VP9.2.1_Rev_1.3;AUSTIN POWERS;Visual Pinball;;2001;Stern;;;;;;0;;;;;
BTTF_v1.4_JPG-PINSFS;BACK TO THE FUTURE;Visual Pinball;;1990;Sega;;;;;;0;;;;;
Bad-Cats_VP915_1.1.3FS;BAD CATS;Visual Pinball;;1989;Williams;;;;;;0;;;;;
Batman - DE - LH FS - V01;BATMAN;Visual Pinball;;1991;Data East;;;;;;0;;;;;
Batman-DE-ALPHA_BMPR_MOD.1.2;BATMAN - Alpha Mod;Visual Pinball;;1991;Data East;;;;;;0;;;;;
BatmanF_FS_1_1;BATMAN FOREVER;Visual Pinball;;1995;Sega;;;;;;0;;;;;
VP912_Baywatch_HR_FS_2.0.3;BAYWATCH;Visual Pinball;;1995;Sega;;;;;;0;;;;;
Big Bang Bar (Capcom) (1996) (Uw Jf G) (2.0) (FS);BIG BANG BAR;Visual Pinball;;1996;Capcom;;;;;;0;;;;;
Black_Knight_vp91x_2.2.1_FS;BLACK KNIGHT;Visual Pinball;;1980;Williams;;;;;;0;;;;;
BK2K_ FS_B2S;BLACK KNIGHT 2000;Visual Pinball;;2000;Williams;;;;;;0;;;;;
Black Rose-LH-FS-01-05-2012 HighRes;BLACK ROSE;Visual Pinball;;1992;Bally;;;;;;0;;;;;
Black Sabbath 70s;BLACK SABBATH 70s;Visual Pinball;;2012;Original;;;;;;0;;;;;
Black Sabbath 80s;BLACK SABBATH 80s;Visual Pinball;;2012;Original;;;;;;0;;;;;
BlueChip (Williams)(1976)(Bodydump)(1.2)(FS)DOF;BLUE CHIP;Visual Pinball;;1976;Williams;;;;;;0;;;;;
Bram-Stokers-Dracula_vp91x_1.04FS;BRAM STOKERS DRACULA;Visual Pinball;;1993;Williams;;;;;;0;;;;;
Bram Stoker's Dracula_GI8_BMPR_FS;BRAM STOKERS DRACULA - MOD;Visual Pinball;;1993;Williams;;;;;;0;;;;;
BrideOfPinbot.uw.V1.01.FS;BRIDE OF PINBOT;Visual Pinball;;1991;Williams;;;;;;0;;;;;
Cactus Canyon VP9 Rotado Final 18-08-09 speed;CACTUS CANYON;Visual Pinball;;1998;Bally;;;;;;0;;;;;
Cactus Canyon(High Noon MOD)FS_1.31;CACTUS CANYON - Mod;Visual Pinball;;1998;Bally;;;;;;0;;;;;
Cactus_Canyon_(HIGH_NOON_NIGHT_MOD)_FS_VP916_1.2;CACTUS CANYON NIGHT;Visual Pinball;;1998;Bally;;;;;;0;;;;;
Centaur - VP9 - FS - 20Nov2009 - LH ;CENTAUR;Visual Pinball;;1981;Bally;;;;;;0;;;;;
Centigrade37_FS_B2S;CENTIGRADE 37 - NO VA;Visual Pinball;;1977;Gottlieb;;;;;;0;;;;;
Checkpoint;CHECKPOINT;Visual Pinball;;1991;Data East;;;;;;0;;;;;
Cirqus_Voltaire_VP913_v1.31FS;CIRCUS VOLTAIRE;Visual Pinball;;1997;Bally;;;;;;0;;;;;
Cirqus_Voltaire_Platinum_Edition-JPSALAS-ROSVE-AARONJAMES-TEPPOTEE-KOADIC_v1.5_FS_B2S;CIRCUS VOLTAIRE NIGHT;Visual Pinball;;1997;Bally;;;;;;0;;;;;
Class-of-1812_VP912_1.0FS;CLASS OF 1812;Visual Pinball;;1991;Gottlieb;;;;;;0;;;;;
Class of 1812_NM_LoadedWeapon_2.0;CLASS OF 1812 NIGHT;Visual Pinball;;1991;Gottlieb;;;;;;0;;;;;
Congo_VP91x_1.01FS;CONGO;Visual Pinball;;1995;Williams;;;;;;0;;;;;
Congo_NightMod_LoadedWeapon;CONGO NIGHT;Visual Pinball;;1995;Williams;;;;;;0;;;;;
Cosmic Gunfight VP91x FS v1.1.1;COSMIC GUNFIGHT;Visual Pinball;;1982;Williams;;;;;;0;;;;;
Cosmic_Princess_VP91x_1.02FS;COSMIC PRINCESS;Visual Pinball;;1979;LAI;;;;;;0;;;;;
Creature_from_the_Black_Lagoon_FSHD_Mod_1.1;CREATURE FROM THE BLACK LAGOON;Visual Pinball;;1992;Bally;;;;;;0;;;;;
Creature_from_the_Black_Lagoon_Mod_FS_VP912;CREATURE FROM THE BLACK LAGOON - Mod;Visual Pinball;;1992;Bally;;;;;;0;;;;;
Cueball_Wizard_VP91x_1.3FS;CUE BALL WIZARD;Visual Pinball;;1992;Gottlieb;;;;;;0;;;;;
Cyclone_FS_B2S;CYCLONE;Visual Pinball;;1988;Williams;;;;;;0;;;;;
FS_HR_Demolition Man v1.06b_Final;DEMOLITION MAN;Visual Pinball;;1994;Williams;;;;;;0;;;;;
Demolition Man_FS_MOD_teppotee-aaronjames_1.0;DEMOLITION MAN - Mod;Visual Pinball;;1994;Williams;;;;;;0;;;;;
Diner_FS_B2S;DINER;Visual Pinball;;1990;Williams;;;;;;0;;;;;
doctor who OzPinUW_FS v1.0;DOCTOR WHO;Visual Pinball;;1992;Bally;;;;;;0;;;;;
VP912_FS_DrDude_HR;DR.DUDE;Visual Pinball;;1990;Bally;;;;;;0;;;;;
VP912_FS_HR_WILLIAMS - EARTHSHAKER_2.0.1;EARTHSHAKER;Visual Pinball;;1989;Williams;;;;;;0;;;;;
Eight_Ball_Deluxe_VP91x_1.2FS;EIGHT BALL DELUXE;Visual Pinball;;1980;Bally;;;;;;0;;;;;
ScaredStiff_FS_B2S;ELVIRA - SCARED STIFF;Visual Pinball;;1996;Bally;;;;;;0;;;;;
Scared_Stiff_921_FOM - JPSalas - Dozer316 - SUNKEN - NIGHT;ELVIRA - SCARED STIFF NIGHT;Visual Pinball;;1996;Bally;;;;;;0;;;;;
Elvira_and_the_Party_Monsters_VP91x_v1.2FS;ELVIRA AND THE PARTY MONSTER;Visual Pinball;;1989;Bally;;;;;;0;;;;;
Elvis_VP912_2.0FS;ELVIS;Visual Pinball;;2004;Stern;;;;;;0;;;;;
Elvis_Night_Mod_VP916_1.0_JPSALAS-AARONJAMES_TEPPOTEE;ELVIS NIGHT;Visual Pinball;;2004;Stern;;;;;;0;;;;;
F-14 Tomcat (Williams)(1987)(JPSalas, Rosve, chinzman93)(2.1)(FS)(9.2+)DayMod;F-14 TOMCAT;Visual Pinball;;1987;Williams;;;;;;0;;;;;
FS GOTTLIEB - Fast_Draw_VP9_1.01EM;FAST DRAW;Visual Pinball;;1975;Gottlieb;;;;;;0;;;;;
