Avenger Vs X-Men;Avenger Vs X-Men;MUGEN;;;;;;;;;0;;;;;
MARVEL_XMen;Marvel - X-Men;Pinball FX2;;2013;Zen Studios;Pinball;;;;;0;;;;;
Spider-Man and the X-Men - Arcade's Revenge (USA);Spider-Man and the X-Men - Arcade's Revenge (USA);Super Nintendo Entertainment System;;1992;LJN;Platform;;;;;0;;;;;
Spider-Man and the X-Men in Arcade's Revenge (USA);Spider-Man and the X-Men in Arcade's Revenge (USA);Sega Game Gear;;1994;Flying Edge;Platform;;;;;0;;;;;
Spider-Man and X-Men - Arcade's Revenge (USA, Europe);Spider-Man and X-Men - Arcade's Revenge (USA, Europe);Sega Genesis;;1994;Software Creations;Platform;;;;;0;;;;;
Spider-Man and X-Men - Arcade's Revenge (USA, Europe);Spider-Man and X-Men - Arcade's Revenge (USA, Europe);Sega Mega Drive;;1994;Software Creations;Platform;;;;;0;;;;;
Spider-Man-X-Men (USA, Europe);Spider-Man-X-Men (USA, Europe);Nintendo Game Boy;;1993;LJN Ltd.;Platform;;;;;0;;;;;
spidxmen;Spider-Man and X-Men - Arcade's Revenge (Euro, USA);Final Burn Alpha;;1994;Flying Edge;;;;;;0;;;;;
TMNT vs X-Men;TMNT vs X-Men;MUGEN;;;;;;;;;0;;;;;
Uncanny X-Men, The (USA);Uncanny X-Men, The (USA);Nintendo Entertainment System;;1989;LJN Ltd.;Action;;;;;0;;;;;
Wolverine And The X-men Mugen;Wolverine And The X-men Mugen;MUGEN;;;;;;;;;0;;;;;
X-Men (Stern 2012);X-Men;Future Pinball;;2012;Stern;Pinball;;;;;0;;;;;
X-Men (Stern) (2012) (1.21);X-Men (Stern) (2012) (1.21);Future Pinball;;;;;;;;;;;;;;
X-Men (USA);X-Men (USA);Sega Game Gear;;1994;Sega;Platform;;;;;0;;;;;
X-Men (USA);X-Men (USA);Sega Genesis;;1993;Western Technologies;Action;;;;;0;;;;;
X-Men (USA);X-Men (USA);Sega Mega Drive;;1993;Western Technologies;Action;;;;;0;;;;;
X-Men (USA);X-Men (USA);Sega Mega Drive;;;;;;;;;;;;;;
X-Men - Children of the Atom (USA);X-Men - Children of the Atom (USA);Sega Saturn;;1995;Rutubo Games;Fighter;;;;;0;;;;;
X-Men - Children of the Atom (USA);X-Men - Children of the Atom (USA);Sony PlayStation;;1998;Acclaim;Fighter;;;;;0;;;;;
X-Men - Children of the Atom (USA);X-Men - Children of the Atom (USA);Sony PSP;;1998;Acclaim;Fighter;;;;;0;;;;;
X-Men - Destiny (USA);X-Men - Destiny;Nintendo DS;;;;;;;;;0;;;;;
X-Men - Gamemaster's Legacy (USA, Europe);X-Men - Gamemaster's Legacy (USA, Europe);Sega Game Gear;;1995;Sega;Platform;;;;;0;;;;;
X-Men - Guerra dos Clones (w English);X-Men - Guerra dos Clones (w English);OpenBOR;;;;;;;;;;;;;;
X-Men - Madness in Murderworld (USA) (Side A);X-Men - Madness in Murderworld (USA) (Side A);Commodore 64;;1989;Paragon Software;Adventure;;;;;0;;;;;
X-Men - Madness in Murderworld (USA) (Side B);X-Men - Madness in Murderworld (USA) (Side B);Commodore 64;;1989;Paragon Software;Adventure;;;;;0;;;;;
X-Men - Mojo World (Brazil);X-Men - Mojo World (Brazil);Sega Master System;;1996;Sega;Platform;;;;;0;;;;;
X-Men - Mojo World (USA, Europe);X-Men - Mojo World (USA, Europe);Sega Game Gear;;1996;Sega;Beat-'Em-Up;;;;;0;;;;;
X-Men - Mutant Academy (USA);X-Men - Mutant Academy (USA);Sony PlayStation;;2000;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy (USA);X-Men - Mutant Academy (USA);Sony PSP;;2000;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy (USA, Europe);X-Men - Mutant Academy (USA, Europe);Nintendo Game Boy Color;;2000;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy 2 (USA);X-Men - Mutant Academy 2 (USA);Sony PlayStation;;2001;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Academy 2 (USA);X-Men - Mutant Academy 2 (USA);Sony PSP;;2001;Activision;Fighter;;;;;0;;;;;
X-Men - Mutant Apocalypse (USA);X-Men - Mutant Apocalypse (USA);Nintendo SNES;;;;;;;;;;;;;;
X-Men - Mutant Apocalypse (USA);X-Men - Mutant Apocalypse (USA);Super Nintendo Entertainment System;;1995;Capcom;Platform;;;;;0;;;;;
X-Men - Mutant Wars (USA, Europe);X-Men - Mutant Wars (USA, Europe);Nintendo Game Boy Color;;2000;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men - Next Dimension (USA);X-Men - Next Dimension (USA);Nintendo GameCube;;2002;Paradox Development;Fighter;;;;;0;;;;;
X-Men - Next Dimension (USA);X-Men - Next Dimension (USA);Sony PlayStation 2;;2002;Paradox Development;Fighter;;;;;0;;;;;
X-Men - Reign of Apocalypse (USA, Europe);X-Men - Reign of Apocalypse (USA, Europe);Nintendo Game Boy Advance;;2001;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men - Sagas;X-Men - Sagas;OpenBOR;;;;;;;;;;;;;;
X-Men - The Official Game (USA);X-Men - The Official Game (USA);Nintendo Game Boy Advance;;2006;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men - The Official Game (USA);X-Men - The Official Game (USA);Nintendo GameCube;;2006;Hypnos;Beat-'Em-Up;;;;;0;;;;;
X-Men - The Official Game (USA);X-Men - The Official Game (USA);Sony PlayStation 2;;2006;Z - Axis, Ltd.;Beat-'Em-Up;;;;;0;;;;;
X-Men - The Official Game (USA);X-Men - The Official Game;Nintendo DS;;;;;;;;;0;;;;;
X-Men - Wolverine's Rage (USA);X-Men - Wolverine's Rage (USA);Nintendo Game Boy Color;;2001;Activision;Platform;;;;;0;;;;;
X-Men 2 - Clone Wars (USA, Europe);X-Men 2 - Clone Wars (USA, Europe);Sega Genesis;;1995;HeadGames;Platform;;;;;0;;;;;
X-Men 2 - Clone Wars (USA, Europe);X-Men 2 - Clone Wars (USA, Europe);Sega Mega Drive;;1995;HeadGames;Platform;;;;;0;;;;;
X-Men 2 - Clone Wars (USA, Europe);X-Men 2 - Clone Wars (USA, Europe);Sega Mega Drive;;;;;;;;;;;;;;
X-Men Destiny (USA);X-Men Destiny (USA);Nintendo Wii;;2011;Activision;Platform;;;;;0;;;;;
X-men Hunter for Mutants;X-men Hunter for Mutants;OpenBOR;;;;;;;;;;;;;;
X-Men Legends (USA);X-Men Legends (USA);Nintendo GameCube;;2004;Raven Software;Role-Playing;;;;;0;;;;;
X-Men Legends (USA);X-Men Legends (USA);Sony PlayStation 2;;2004;Raven Software;Role-Playing;;;;;0;;;;;
X-Men Legends II - Rise of Apocalypse (USA);X-Men Legends II - Rise of Apocalypse (USA);Nintendo GameCube;;2005;Raven Software;Role-Playing;;;;;0;;;;;
X-Men Legends II - Rise of Apocalypse (USA);X-Men Legends II - Rise of Apocalypse (USA);Sony PlayStation 2;;2005;Raven Software;Role-Playing;;;;;0;;;;;
X-Men Legends II - Rise of Apocalypse (USA);X-Men Legends II - Rise of Apocalypse (USA);Sony PSP;;2005;Activision;Role-Playing;;;;;0;;;;;
X-Men Origins - Wolverine (USA) (En,Fr) [b];X-Men Origins - Wolverine;Nintendo DS;;;;;;;;;0;;;;;
X-Men Origins - Wolverine (USA);X-Men Origins - Wolverine (USA);Nintendo Wii;;2009;Activision;Action;;;;;0;;;;;
X-Men Origins - Wolverine (USA);X-Men Origins - Wolverine (USA);Sony PlayStation 2;;2009;Amaze Entertainment;Beat-'Em-Up;;;;;0;;;;;
X-Men Origins - Wolverine (USA);X-Men Origins - Wolverine (USA);Sony PSP;;2009;Activision;Beat-'Em-Up;;;;;0;;;;;
X-Men Second Coming;X-Men Second Coming;MUGEN;;;;;;;;;0;;;;;
X-Men Vs Street Fighter - Galaxy Clash;X-Men Vs Street Fighter - Galaxy Clash;OpenBOR;;;;;;;;;;;;;;
X-Men vs. Street Fighter (Japan);X-Men vs. Street Fighter (Japan);Sega Saturn;;;;;;;;;0;;;;;
X-Men vs. Street Fighter (USA);X-Men vs. Street Fighter (USA);Sony PlayStation;;1998;Capcom;Fighter;;;;;0;;;;;
X-Men vs. Street Fighter (USA);X-Men vs. Street Fighter (USA);Sony PSP;;1998;Capcom;Fighter;;;;;0;;;;;
X-Men;X-Men;OpenBOR;;;;;;;;;;;;;;
XeXMenu;XeXMenu;Microsoft XBOX 360;;;;;;;;;0;;;;;
xmcota;X-Men - children of the atom (950331 Euro);Final Burn Alpha;;1995;Capcom;;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);Arcade;;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);Mame (Advance);;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);Mame (Libretro);;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);Mame (Mame4all);;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men Children of the Atom (Euro 950331);Mame;;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Arcade;;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Final Burn Alpha;;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);HBMame;;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame (Advance);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame (libretro);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);MAME (Mame (Libretro)4all);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame (Mame4all);;1994;Capcom;Fighter;;;;;0;;;;;
xmcota;X-Men: Children of the Atom (Euro 950331);Mame;;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaa;X-Men - children of the atom (950105 Asia);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaa;X-Men Children of the Atom (Asia 950105);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
