#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
+Start ZEsarUX;+Start ZEsarUX;ZX Spectrum;;;;;;;;;;;;;;
007 - A View to a Kill (1985)(Domark);007 - A View to a Kill (1985)(Domark);ZX Spectrum;;;;;;;;;;;;;;
007 - Licence To Kill (1989)(Domark Ltd);007 - Licence To Kill (1989)(Domark Ltd);ZX Spectrum;;;;;;;;;;;;;;
007 - Licence To Kill (1989)(Domark Ltd)(48k);007 - Licence To Kill (1989)(Domark Ltd)(48k);ZX Spectrum;;;;;;;;;;;;;;
007 - Licence To Kill (1989)(The Hit Squad)(128k);007 - Licence To Kill (1989)(The Hit Squad)(128k);ZX Spectrum;;;;;;;;;;;;;;
007 - Licence to Kill (1989)(Domark)[128K];007 - Licence to Kill (1989)(Domark)[128K];ZX Spectrum;;;;;;;;;;;;;;
007 - Live and Let Die (1988)(Domark);007 - Live and Let Die (1988)(Domark);ZX Spectrum;;;;;;;;;;;;;;
007 - The Living Daylights (1987)(Domark);007 - The Living Daylights (1987)(Domark);ZX Spectrum;;;;;;;;;;;;;;
007 - The Spy Who Loved Me (1990)(Domark);007 - The Spy Who Loved Me (1990)(Domark);ZX Spectrum;;;;;;;;;;;;;;
10th Frame (1986)(US Gold);10th Frame (1986)(US Gold);ZX Spectrum;;;;;;;;;;;;;;
11 Up (unknown);11 Up (unknown);ZX Spectrum;;;;;;;;;;;;;;
123 Maze (2009)(YRS)(aka Number Maze);123 Maze (2009)(YRS)(aka Number Maze);ZX Spectrum;;;;;;;;;;;;;;
15 Puzzle (1983)(Sinclair Programs);15 Puzzle (1983)(Sinclair Programs);ZX Spectrum;;;;;;;;;;;;;;
180! (1986)(Mastertronic Added Dimension);180! (1986)(Mastertronic Added Dimension);ZX Spectrum;;;;;;;;;;;;;;
19 Part 1 - Boot Camp (1988)(Cascade Games Ltd);19 Part 1 - Boot Camp (1988)(Cascade Games Ltd);ZX Spectrum;;;;;;;;;;;;;;
1984 (1983)(Incentive Software Ltd);1984 (1983)(Incentive Software Ltd);ZX Spectrum;;;;;;;;;;;;;;
1985 - The Day After (1985)(Mastertronic);1985 - The Day After (1985)(Mastertronic);ZX Spectrum;;;;;;;;;;;;;;
1994 - Ten Years After (1983)(Visions Software Factory);1994 - Ten Years After (1983)(Visions Software Factory);ZX Spectrum;;;;;;;;;;;;;;
1K Othello (2008)(YRS);1K Othello (2008)(YRS);ZX Spectrum;;;;;;;;;;;;;;
